Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03.mzML
P28495	CAPZA_YEAST	CAP1	F-actin-capping protein subunit alpha	7.03838e+06	6.82127e+06	6.43979e+06	3.70315e+06	3.19241e+06	3.34382e+06
P28548	CSK2B_CAEEL	kin-10	Casein kinase II subunit beta		1.69099e+07	1.69831e+07	2.32832e+07	1.82958e+07	1.88742e+07
P28625	YIM1_YEAST	YIM1	Protein YIM1	3.09191e+06	3.1826e+06	2.89409e+06	1.33174e+06	1.11389e+06	1.48719e+06
P28702	RXRB_HUMAN	RXRB	Retinoic acid receptor RXR-beta	1.62732e+06	1.55603e+06	1.51632e+06	1.31805e+06	1.55499e+06	1.48221e+06
P28715	ERCC5_HUMAN	ERCC5	DNA repair protein complementing XP-G cells	1.631e+06	1.49048e+06	1.31855e+06	1.5826e+06	1.70016e+06	1.545e+06
P28737	MSP1_YEAST	MSP1	Protein MSP1		255224	264786			
P28777	AROC_YEAST	ARO2	Chorismate synthase	1.00851e+07	1.1056e+07	1.08855e+07	5.47253e+06	5.75381e+06	5.18144e+06
P28778	RT06_YEAST	MRP17	37S ribosomal protein MRP17, mitochondrial	305321	339529	284942	148259	73208	132603
P28789	HEM3_YEAST	HEM3	Porphobilinogen deaminase	1.87697e+06	1.56441e+06	1.94417e+06			
P28799	GRN_HUMAN	GRN	Progranulin	7.83492e+06	7.57599e+06	7.10331e+06	7.39876e+06	7.43935e+06	7.76331e+06
P28817	HIBCH_YEAST	EHD3	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	4.26381e+06	4.3188e+06				2.89818e+06
P28834	IDH1_YEAST	IDH1	Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial	2.60325e+07	2.56264e+07	2.54401e+07	1.33315e+07	1.35378e+07	1.31009e+07
P28838	AMPL_HUMAN	LAP3	Cytosol aminopeptidase	8.92684e+06	8.49485e+06	8.04851e+06	8.88642e+06	8.36034e+06	8.54755e+06
P29083	T2EA_HUMAN	GTF2E1	General transcription factor IIE subunit 1	2.38002e+06	1.87376e+06	2.04396e+06	1.88641e+06	2.18211e+06	2.07573e+06
P29084	T2EB_HUMAN	GTF2E2	Transcription initiation factor IIE subunit beta	2.23626e+06	2.48283e+06	1.82552e+06	2.0644e+06	2.11814e+06	2.27713e+06
P29144	TPP2_HUMAN	TPP2	Tripeptidyl-peptidase 2	1.10992e+07	1.30074e+07	1.67153e+07	1.45566e+07	1.96581e+07	1.0391e+07
P29218	IMPA1_HUMAN	IMPA1	Inositol monophosphatase 1	5.87176e+06	6.21282e+06	6.87515e+06	6.28374e+06	6.54462e+06	6.44629e+06
P29295	HRR25_YEAST	HRR25	Casein kinase I homolog HRR25	2.70222e+06	2.50709e+06	3.34165e+06	2.15917e+06	2.24289e+06	2.18947e+06
P29311	BMH1_YEAST	BMH1	Protein BMH1	9.24789e+07	9.52642e+07	1.03594e+08	4.90601e+07	5.01489e+07	5.21425e+07
P29317	EPHA2_HUMAN	EPHA2	Ephrin type-A receptor 2	1.83219e+06	2.07856e+06	1.44264e+06	1.49648e+06	1.46131e+06	1.80696e+06
P29350	PTN6_HUMAN	PTPN6	Tyrosine-protein phosphatase non-receptor type 6	564550	500629	574141	626136	644935	585795
P29353	SHC1_HUMAN	SHC1	SHC-transforming protein 1	5.41006e+06	5.31158e+06	3.29934e+06	3.78049e+06	3.50494e+06	2.81788e+06
P29372	3MG_HUMAN	MPG	DNA-3-methyladenine glycosylase	3.83471e+07	3.75927e+07	3.79828e+07	3.60981e+07	3.69131e+07	3.73868e+07
P29401	TKT_HUMAN	TKT	Transketolase	5.23416e+08	5.22139e+08	5.0334e+08	5.03788e+08	5.05423e+08	4.95172e+08
P29453	RL8B_YEAST	RPL8B	60S ribosomal protein L8-B	6.64067e+07	7.30539e+07	7.28978e+07	3.32062e+07	3.23972e+07	3.57148e+07
P29468	PAP_YEAST	PAP1	Poly(A) polymerase	371086	258744	353522	257212	132380	84023.9
P29478	SEC65_YEAST	SEC65	Signal recognition particle subunit SEC65	2.58291e+06	2.2665e+06	2.36299e+06	1.16332e+06	1.2469e+06	1.36718e+06
P29508	SPB3_HUMAN	SERPINB3	Serpin B3	3.07268e+06	3.02534e+06	3.27728e+06	3.13475e+06	3.059e+06	2.9348e+06
P29509	TRXB1_YEAST	TRR1	Thioredoxin reductase 1	2.60365e+07	2.60879e+07	2.81903e+07	1.28274e+07	1.30034e+07	1.37509e+07
P29547	EF1G1_YEAST	CAM1	Elongation factor 1-gamma 1	3.33736e+07	2.68501e+07	3.01793e+07	1.63641e+07	1.58632e+07	1.4533e+07
P29558;Q6XE24	RBMS1_HUMAN;RBMS3_HUMAN	RBMS1;RBMS3	RNA-binding motif, single-stranded-interacting protein 1	578778	827653	686206	721590	638596	600404
P29590	PML_HUMAN	PML	Protein PML	1.33923e+06	1.02943e+06	622601	1.58242e+06	1.08795e+06	1.2709e+06
P29691	EF2_CAEEL	eef-2	Elongation factor 2	3.98277e+08	4.00815e+08	3.9958e+08	4.69548e+08	4.84015e+08	4.78716e+08
P29692	EF1D_HUMAN	EEF1D	Elongation factor 1-delta	8.92421e+07	9.15244e+07	9.09179e+07	9.10542e+07	9.44012e+07	8.99606e+07
P29704	FDFT_YEAST	ERG9	Squalene synthase	1.28771e+07	1.18118e+07	1.06904e+07	6.62962e+06	6.31665e+06	5.28599e+06
P29952	MPI_YEAST	PMI40	Mannose-6-phosphate isomerase	2.04558e+07	1.91997e+07	1.93334e+07	9.54268e+06	1.00201e+07	9.76457e+06
P29992	GNA11_HUMAN	GNA11	Guanine nucleotide-binding protein subunit alpha-11	5.62943e+06	5.61241e+06	5.52733e+06	5.23878e+06	5.3321e+06	4.95974e+06
P30038	AL4A1_HUMAN	ALDH4A1	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	738753	785515		597028	662040	747808
P30040	ERP29_HUMAN	ERP29	Endoplasmic reticulum resident protein 29	4.3857e+07	4.63781e+07	4.28383e+07	4.38893e+07	4.10954e+07	4.26821e+07
P30041	PRDX6_HUMAN	PRDX6	Peroxiredoxin-6	2.68372e+08	2.58727e+08	2.531e+08	2.39706e+08	2.59007e+08	2.52251e+08
P30043	BLVRB_HUMAN	BLVRB	Flavin reductase (NADPH)	6.36862e+07	6.79045e+07	6.90317e+07	6.67318e+07	6.64364e+07	6.60649e+07
P30044	PRDX5_HUMAN	PRDX5	Peroxiredoxin-5, mitochondrial	1.23854e+08	1.22712e+08	1.19619e+08	1.20823e+08	1.21989e+08	1.17119e+08
P30046	DOPD_HUMAN	DDT	D-dopachrome decarboxylase	2.28354e+07	2.38839e+07	2.51689e+07	2.6759e+07	2.63631e+07	2.66977e+07
P30047	GFRP_HUMAN	GCHFR	GTP cyclohydrolase 1 feedback regulatory protein	5.26216e+06	5.00781e+06	4.19319e+06	4.57655e+06	4.81494e+06	4.39208e+06
P30048	PRDX3_HUMAN	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial	1.36797e+08	1.51673e+08	1.384e+08	1.34744e+08	1.44143e+08	1.37351e+08
P30049	ATPD_HUMAN	ATP5F1D	ATP synthase subunit delta, mitochondrial	6.51405e+07	7.0968e+07	6.32275e+07	6.35375e+07	7.30126e+07	7.75209e+07
P30050	RL12_HUMAN	RPL12	60S ribosomal protein L12	2.31708e+08	2.25616e+08	2.17849e+08	2.0398e+08	2.13459e+08	2.16128e+08
P30084	ECHM_HUMAN	ECHS1	Enoyl-CoA hydratase, mitochondrial	1.41591e+08	1.44532e+08	1.43534e+08	1.38256e+08	1.46816e+08	1.50291e+08
P30085	KCY_HUMAN	CMPK1	UMP-CMP kinase	1.52557e+07	1.42989e+07	1.33604e+07	1.48862e+07	1.28472e+07	1.37249e+07
P30086	PEBP1_HUMAN	PEBP1	Phosphatidylethanolamine-binding protein 1	1.51598e+08	1.50476e+08	1.69169e+08	1.46995e+08	1.51907e+08	1.50672e+08
P30101	PDIA3_HUMAN	PDIA3	Protein disulfide-isomerase A3	2.67344e+08	2.80059e+08	2.65584e+08	2.52615e+08	2.6141e+08	2.54429e+08
P30153	2AAA_HUMAN	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	2.93503e+07	3.11956e+07	2.97972e+07	2.93378e+07	3.05197e+07	3.04942e+07
P30154	2AAB_HUMAN	PPP2R1B	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform	5.06616e+06	5.74119e+06	5.9261e+06	5.30468e+06	5.21453e+06	5.66346e+06
P30260	CDC27_HUMAN	CDC27	Cell division cycle protein 27 homolog	2.9163e+06	2.52829e+06	2.87407e+06	2.8875e+06	3.27859e+06	2.40249e+06
P30402	PYRX_YEAST	URA10	Orotate phosphoribosyltransferase 2	1.25482e+07	1.21788e+07	1.11117e+07	6.62574e+06	6.23016e+06	6.90758e+06
P30405	PPIF_HUMAN	PPIF	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	1.4404e+07	1.909e+07	2.27917e+07	1.6543e+07	1.81833e+07	2.04254e+07
P30408	T4S1_HUMAN	TM4SF1	Transmembrane 4 L6 family member 1	4.60479e+07	4.41829e+07	3.97807e+07	5.11365e+07	4.29767e+07	4.01034e+07
P30419	NMT1_HUMAN	NMT1	Glycylpeptide N-tetradecanoyltransferase 1	1.31695e+07	1.25728e+07	1.27972e+07	1.18757e+07	1.20102e+07	1.21418e+07
P30519	HMOX2_HUMAN	HMOX2	Heme oxygenase 2	5.13974e+06	5.02674e+06	5.0825e+06	5.13208e+06	5.11689e+06	5.3495e+06
P30520	PURA2_HUMAN	ADSS2	Adenylosuccinate synthetase isozyme 2	1.05208e+07	1.07831e+07	1.01625e+07	1.03114e+07	1e+07	1.01338e+07
P30533	AMRP_HUMAN	LRPAP1	Alpha-2-macroglobulin receptor-associated protein	1.18132e+07	1.30043e+07	1.14227e+07	1.16046e+07	1.21566e+07	1.27471e+07
P30536	TSPO_HUMAN	TSPO	Translocator protein	1.81555e+07	1.76656e+07	1.59182e+07	1.72382e+07	1.69806e+07	1.52496e+07
P30566	PUR8_HUMAN	ADSL	Adenylosuccinate lyase	1.04363e+07	1.1063e+07	1.00403e+07	1.08918e+07	1.1006e+07	1.07251e+07
P30605	ITR1_YEAST	ITR1	Myo-inositol transporter 1	7.50933e+06	7.26297e+06	6.84661e+06	4.35523e+06	3.96482e+06	4.60915e+06
P30613	KPYR_HUMAN	PKLR	Pyruvate kinase PKLR	2.93302e+06	2.9233e+06		3.37762e+06	3.90901e+06	3.46607e+06
P30619	SEC1_YEAST	SEC1	Protein transport protein SEC1	964952	987257	828720	451323	457405	593942
P30622	CLIP1_HUMAN	CLIP1	CAP-Gly domain-containing linker protein 1	4.59831e+06	4.89465e+06	4.67121e+06	4.40353e+06	4.55591e+06	4.46542e+06
P30624	LCF1_YEAST	FAA1	Long-chain-fatty-acid--CoA ligase 1	1.76523e+07	1.77375e+07	1.80515e+07	8.52744e+06	8.83109e+06	8.3896e+06
P30625	KAPR_CAEEL	kin-2	cAMP-dependent protein kinase regulatory subunit	2.18743e+07	1.91643e+07	2.16399e+07	2.48857e+07	2.56599e+07	2.49959e+07
P30626	SORCN_HUMAN	SRI	Sorcin	2.33399e+07	8.77129e+07	2.18076e+07	2.50522e+07	2.09064e+07	2.29261e+07
P30627	GLBH_CAEEL	glb-1	Globin-like protein	4.81637e+06	4.90045e+06	4.23007e+06	5.85758e+06	5.84788e+06	5.89734e+06
P30628	VPP1_CAEEL	unc-32	Probable V-type proton ATPase 116 kDa subunit a	1.76278e+06	1.94568e+06	2.78663e+06	2.56895e+06	2.77188e+06	2.6534e+06
P30629	YOU2_CAEEL	ZK637.2	Uncharacterized protein ZK637.2	1.31911e+07	1.26037e+07	1.22601e+07	1.54221e+07	1.40122e+07	1.36e+07
P30632	ASNA_CAEEL	asna-1	ATPase asna-1	3.68826e+06	4.01418e+06	3.69476e+06	5.05571e+06	4.67936e+06	4.10064e+06
P30639	LNKN1_CAEEL	lnkn-1	Protein linkin	194634	266214	256418	301798	303097	327473
P30642	EIF3D_CAEEL	eif-3.D	Eukaryotic translation initiation factor 3 subunit D	8.95442e+06	8.04569e+06	8.56e+06	1.06892e+07	1.01851e+07	1.02967e+07
P30656	PSB5_YEAST	PRE2	Proteasome subunit beta type-5	1.57756e+07	1.56008e+07	1.56347e+07	7.9594e+06	8.09447e+06	7.0202e+06
P30657	PSB7_YEAST	PRE4	Proteasome subunit beta type-7	4.666e+06	5.36774e+06	6.29596e+06	2.47412e+06	3.21734e+06	3.17011e+06
P30665	MCM4_YEAST	MCM4	DNA replication licensing factor MCM4	1.79501e+07	1.83011e+07	1.82528e+07	1.89982e+07	1.84139e+07	2.06096e+07
P30740	ILEU_HUMAN	SERPINB1	Leukocyte elastase inhibitor	2.16731e+07	2.07281e+07	2.06487e+07	2.01007e+07	2.09963e+07	2.06106e+07
P30771	NAM7_YEAST	NAM7	ATP-dependent helicase NAM7		847745				
P30822	XPO1_YEAST	CRM1	Exportin-1	3.16831e+06	3.70396e+06	3.32667e+06	1.52191e+06	1.67361e+06	1.49829e+06
P30825	SL7A1_HUMAN	SLC7A1	High affinity cationic amino acid transporter 1	3.85716e+06	3.6036e+06	3.53538e+06	3.51326e+06	3.08586e+06	3.22978e+06
P30837	AL1B1_HUMAN	ALDH1B1	Aldehyde dehydrogenase X, mitochondrial	2.00934e+06	2.07752e+06	2.62287e+06	2.59085e+06	2.78537e+06	2.96867e+06
P30838	AL3A1_HUMAN	ALDH3A1	Aldehyde dehydrogenase, dimeric NADP-preferring					317026	460680
P30876	RPB2_HUMAN	POLR2B	DNA-directed RNA polymerase II subunit RPB2	7.66685e+06	7.58484e+06	7.4676e+06	7.5142e+06	7.26694e+06	7.7334e+06
P30902	ATP7_YEAST	ATP7	ATP synthase subunit d, mitochondrial	4.15284e+07	4.03909e+07	4.30877e+07	2.16288e+07	2.15214e+07	2.16744e+07
P30952	MLS1_YEAST	MLS1	Malate synthase 1	569552	557191	542095	278052	273114	233597
P30990	NEUT_HUMAN	NTS	Neurotensin/neuromedin N	1.08917e+06	1.32358e+06	1.21763e+06			1.40781e+06
P31040	SDHA_HUMAN	SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	7.06725e+07	7.30472e+07	6.87514e+07	6.7233e+07	6.44224e+07	6.45118e+07
P31116	DHOM_YEAST	HOM6	Homoserine dehydrogenase	4.07591e+07	4.27765e+07	4.3898e+07	2.05198e+07	2.1446e+07	2.13187e+07
P31150	GDIA_HUMAN	GDI1	Rab GDP dissociation inhibitor alpha	4.86426e+06	4.6592e+06	4.4309e+06	4.78616e+06	4.65889e+06	4.6079e+06
P31153	METK2_HUMAN	MAT2A	S-adenosylmethionine synthase isoform type-2	2.91198e+08	2.89296e+08	3.02621e+08	2.53377e+08	2.67603e+08	2.58332e+08
P31161	SODM1_CAEEL	sod-2	Superoxide dismutase [Mn] 1, mitochondrial	1.66692e+07	1.50155e+07	1.78788e+07	2.02793e+07	1.81095e+07	1.81816e+07
P31260	HXA10_HUMAN	HOXA10	Homeobox protein Hox-A10	955728	1.00881e+06	899438	1.06536e+06	1.02084e+06	916179
P31321	KAP1_HUMAN	PRKAR1B	cAMP-dependent protein kinase type I-beta regulatory subunit	1.17269e+06	977625	1.34369e+06	1.21507e+06	1.1649e+06	1.29967e+06
P31327	CPSM_HUMAN	CPS1	Carbamoyl-phosphate synthase [ammonia], mitochondrial	3.99138e+08	3.9706e+08	3.92111e+08	3.80883e+08	3.78249e+08	3.83819e+08
P31350	RIR2_HUMAN	RRM2	Ribonucleoside-diphosphate reductase subunit M2	1.782e+07	1.60778e+07	1.4771e+07	1.61115e+07	1.61964e+07	1.68454e+07
P31373	CYS3_YEAST	CYS3	Cystathionine gamma-lyase	8.20221e+07	8.01133e+07	8.14348e+07	3.95419e+07	4.19174e+07	3.75665e+07
P31374	PSK1_YEAST	PSK1	Serine/threonine-protein kinase PSK1	902795	1.1043e+06	1.06132e+06	620275		263592
P31382	PMT2_YEAST	PMT2	Dolichyl-phosphate-mannose--protein mannosyltransferase 2	1.00232e+07	1.05066e+07	9.49845e+06	5.59054e+06	4.74478e+06	4.76136e+06
P31383	2AAA_YEAST	TPD3	Protein phosphatase PP2A regulatory subunit A	5.79298e+06	5.97086e+06	6.29818e+06	2.99155e+06	2.94568e+06	2.96181e+06
P31384	CCR4_YEAST	CCR4	Glucose-repressible alcohol dehydrogenase transcriptional effector	918076	663342	865705			
P31412	VATC_YEAST	VMA5	V-type proton ATPase subunit C	1.62201e+07	1.78839e+07	1.66509e+07	7.99683e+06	8.24694e+06	8.54718e+06
P31431	SDC4_HUMAN	SDC4	Syndecan-4	2.30177e+06	2.37654e+06	2.23826e+06	2.32059e+06	2.26909e+06	2.08578e+06
P31483	TIA1_HUMAN	TIA1	Nucleolysin TIA-1 isoform p40	4.96757e+06	5.23517e+06	5.52202e+06	5.08388e+06	5.02915e+06	4.99391e+06
P31539	HS104_YEAST	HSP104	Heat shock protein 104	4.86217e+07	5.16158e+07	4.82713e+07	2.81811e+07	2.61561e+07	2.65241e+07
P31641	SC6A6_HUMAN	SLC6A6	Sodium- and chloride-dependent taurine transporter		714619	826870	1.18439e+06	799721	
P31688	TPS2_YEAST	TPS2	Trehalose-phosphatase	2.1162e+07	1.84437e+07	1.92891e+07	1.00614e+07	1.06147e+07	9.70163e+06
P31689	DNJA1_HUMAN	DNAJA1	DnaJ homolog subfamily A member 1	1.89318e+07	1.82208e+07	1.71731e+07	1.77526e+07	1.70084e+07	1.59019e+07
P31751	AKT2_HUMAN	AKT2	RAC-beta serine/threonine-protein kinase	2.46346e+06	2.80838e+06	2.26347e+06	2.57907e+06	2.4608e+06	2.58695e+06
P31755	OCH1_YEAST	OCH1	Initiation-specific alpha-1,6-mannosyltransferase	3.00578e+06	3.75837e+06	2.54315e+06			
P31787	ACBP_YEAST	ACB1	Acyl-CoA-binding protein	1.32757e+08	1.26752e+08	1.12177e+08	6.46605e+07	5.85944e+07	5.7577e+07
P31930	QCR1_HUMAN	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	5.60383e+07	5.4298e+07	5.7783e+07	5.09973e+07	5.253e+07	5.62926e+07
P31937	3HIDH_HUMAN	HIBADH	3-hydroxyisobutyrate dehydrogenase, mitochondrial	6.20611e+06	6.1481e+06	5.82643e+06	5.98908e+06	5.98894e+06	6.11437e+06
P31939	PUR9_HUMAN	ATIC	Bifunctional purine biosynthesis protein ATIC	4.51787e+07	4.48831e+07	4.26579e+07	4.32057e+07	4.32163e+07	4.21378e+07
P31942	HNRH3_HUMAN	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	5.06577e+07	5.02021e+07	5.45138e+07	5.09921e+07	5.02832e+07	5.35234e+07
P31943	HNRH1_HUMAN	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	2.20552e+08	2.28817e+08	2.35751e+08	2.17098e+08	2.30741e+08	2.40664e+08
P31944	CASPE_HUMAN	CASP14	Caspase-14	745457	827028	636963	796059	742683	889190
P31946	1433B_HUMAN	YWHAB	14-3-3 protein beta/alpha	1.64235e+08	1.5442e+08	1.5911e+08	1.45186e+08	1.55243e+08	1.4989e+08
P31947	1433S_HUMAN	SFN	14-3-3 protein sigma	9.09029e+07	8.80552e+07	1.02294e+08	9.10924e+07	8.69827e+07	9.38079e+07
P31948	STIP1_HUMAN	STIP1	Stress-induced-phosphoprotein 1	1.00128e+08	1.05388e+08	1.08295e+08	1.02605e+08	1.04219e+08	1.05437e+08
P31949	S10AB_HUMAN	S100A11	Protein S100-A11	7.25252e+08	7.12409e+08	7.49484e+08	6.76545e+08	6.89032e+08	7.26214e+08
P32004	L1CAM_HUMAN	L1CAM	Neural cell adhesion molecule L1	1.00059e+07	1.04016e+07	1.022e+07	9.69584e+06	9.79926e+06	9.67202e+06
P32074	COPG_YEAST	SEC21	Coatomer subunit gamma	6.21299e+06	6.00884e+06	6.29721e+06	3.14708e+06	2.96025e+06	2.63952e+06
P32119	PRDX2_HUMAN	PRDX2	Peroxiredoxin-2	2.01705e+08	2.1099e+08	1.95031e+08	1.91197e+08	1.92865e+08	1.94969e+08
P32178	CHMU_YEAST	ARO7	Chorismate mutase	2.71854e+06	2.70698e+06	2.71544e+06	1.54895e+06	1.19428e+06	1.2641e+06
P32179	MET22_YEAST	MET22	3'(2'),5'-bisphosphate nucleotidase	1.04343e+07	9.51885e+06	1.07054e+07	5.08769e+06	5.46153e+06	5.08904e+06
P32189;Q14409	GLPK3_HUMAN;GLPK_HUMAN	GK;GK3P	Glycerol kinase				441048	482503	342585
P32190	GLPK_YEAST	GUT1	Glycerol kinase	1.90708e+06	1.44763e+06	1.41595e+06	747629	726027	593857
P32191	GPDM_YEAST	GUT2	Glycerol-3-phosphate dehydrogenase, mitochondrial	1.12128e+07	1.09942e+07	1.07112e+07	5.41188e+06	5.44859e+06	5.7963e+06
P32242	OTX1_HUMAN	OTX1	Homeobox protein OTX1					187322	
P32263	P5CR_YEAST	PRO3	Pyrroline-5-carboxylate reductase	1.70757e+07	1.71936e+07	1.86773e+07	8.14132e+06	9.1922e+06	9.40118e+06
P32264	PROB_YEAST	PRO1	Glutamate 5-kinase	611533	438246	545311	181603		239189
P32288	GLNA_YEAST	GLN1	Glutamine synthetase	1.35784e+07	1.46035e+07	1.5771e+07	7.12499e+06	7.73554e+06	7.14799e+06
P32316	ACH1_YEAST	ACH1	Acetyl-CoA hydrolase	2.37262e+07	2.12728e+07	2.03575e+07	1.18859e+07	1.12456e+07	1.09076e+07
P32319	VPS10_YEAST	PEP1	Vacuolar protein sorting/targeting protein VPS10		359232	338738			
P32320	CDD_HUMAN	CDA	Cytidine deaminase	1.27151e+07	1.28254e+07	1.2313e+07	1.32038e+07	1.26223e+07	1.27953e+07
P32321	DCTD_HUMAN	DCTD	Deoxycytidylate deaminase	956549	927264	1.1011e+06	1.01601e+06	973204	1.0155e+06
P32322	P5CR1_HUMAN	PYCR1	Pyrroline-5-carboxylate reductase 1, mitochondrial	2.41291e+07	2.335e+07	2.41643e+07	2.36319e+07	2.4057e+07	2.34738e+07
P32324	EF2_YEAST	EFT1	Elongation factor 2	1.75391e+08	1.7634e+08	1.76542e+08	9.01007e+07	8.7476e+07	8.64349e+07
P32327	PYC2_YEAST	PYC2	Pyruvate carboxylase 2	1.49615e+07	1.44783e+07	1.43202e+07	7.29871e+06	7.24933e+06	7.36908e+06
P32329	YPS1_YEAST	YPS1	Aspartic proteinase 3	4.79169e+06	5.1705e+06	4.82298e+06	2.54158e+06	2.51322e+06	1.93722e+06
P32331	YMC1_YEAST	YMC1	Mitochondrial glycine transporter YMC1	943471	945640	845157			
P32332	OAC1_YEAST	OAC1	Mitochondrial oxaloacetate transport protein	3.76141e+06	3.64741e+06	3.66932e+06	1.75803e+06	1.80638e+06	1.85662e+06
P32335	MSS51_YEAST	MSS51	Protein MSS51, mitochondrial	651212	684390	907003	374107	341578	429382
P32337	IMB3_YEAST	PSE1	Importin subunit beta-3	1.80049e+06	1.82782e+06	1.76887e+06	810412	837784	1.04339e+06
P32340	NDI1_YEAST	NDI1	Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial	8.10453e+06	8.08135e+06	8.12053e+06	4.35114e+06	4.02958e+06	4.12659e+06
P32342	SRP21_YEAST	SRP21	Signal recognition particle subunit SRP21	404215	414586	437352	194390	189753	259637
P32347	DCUP_YEAST	HEM12	Uroporphyrinogen decarboxylase	496682	620839	604210		237975	177179
P32351	IMPX_YEAST	IMP2'	Sugar utilization regulatory protein IMP2	3.19366e+06	3.24573e+06	3.27773e+06	1.29437e+06	1.95128e+06	927683
P32352	ERG2_YEAST	ERG2	C-8 sterol isomerase	8.29337e+06	8.61766e+06	1.09412e+07	3.41387e+06	4.03092e+06	4.35228e+06
P32353	ERG3_YEAST	ERG3	Delta(7)-sterol 5(6)-desaturase	1.54134e+07	1.8064e+07	1.7709e+07	1.55457e+07	1.57118e+07	2.11424e+07
P32356	TREA_YEAST	NTH1	Neutral trehalase	6.82616e+06	6.56441e+06	6.99303e+06	3.8881e+06	3.66923e+06	3.46764e+06
P32366	VA0D_YEAST	VMA6	V-type proton ATPase subunit d	1.142e+07	1.14949e+07	1.1475e+07	5.75028e+06	5.71866e+06	5.82259e+06
P32368	SAC1_YEAST	SAC1	Phosphatidylinositol-3-phosphatase SAC1	3.05705e+06	3.17935e+06	3.25475e+06	1.91616e+06	1.54123e+06	1.87638e+06
P32377	MVD1_YEAST	MVD1	Diphosphomevalonate decarboxylase	2.03009e+07	1.93512e+07	1.96931e+07	1.05883e+07	9.53424e+06	9.56612e+06
P32379	PSA5_YEAST	PUP2	Proteasome subunit alpha type-5	1.57121e+07	1.52469e+07	1.58806e+07	7.90226e+06	7.89105e+06	7.91464e+06
P32381	ARP2_YEAST	ARP2	Actin-related protein 2	1.22692e+07	1.45022e+07	1.23912e+07	7.83432e+06	6.96755e+06	6.85416e+06
P32386	YBT1_YEAST	YBT1	ATP-dependent bile acid permease	865974	837584	919375			
P32387	RM41_YEAST	MRP20	54S ribosomal protein L41, mitochondrial		1.58811e+06	2.24868e+06			
P32388	RM49_YEAST	MRP49	54S ribosomal protein MRP49, mitochondrial	716824	716575	659486		252333	
P32419	MDHP_YEAST	MDH3	Malate dehydrogenase, peroxisomal	1.54618e+07	1.60056e+07	1.63298e+07	7.5665e+06	7.53542e+06	7.31204e+06
P32445	RIM1_YEAST	RIM1	Single-stranded DNA-binding protein RIM1, mitochondrial	3.9484e+07	3.88475e+07	3.71677e+07	1.84937e+07	1.7455e+07	1.71219e+07
P32447	ASF1_YEAST	ASF1	Histone chaperone ASF1	2.68573e+06					
P32449	AROG_YEAST	ARO4	Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited	2.58555e+07	2.6628e+07	2.30164e+07	1.28737e+07	1.39489e+07	1.41491e+07
P32451	BIOB_YEAST	BIO2	Biotin synthase, mitochondrial	2.15689e+06	2.2442e+06	2.3402e+06	983043	1.49208e+06	1.35637e+06
P32453	ATP11_YEAST	ATP11	Protein ATP11, mitochondrial	1.46731e+06	1.65912e+06	1.53546e+06	622752	710387	1.03026e+06
P32454	APE2_YEAST	APE2	Aminopeptidase 2, mitochondrial	9.49186e+06	9.46165e+06	9.96607e+06	5.08103e+06	5.16325e+06	4.86545e+06
P32456	GBP2_HUMAN	GBP2	Guanylate-binding protein 2			199347		182396	
P32457	CDC3_YEAST	CDC3	Cell division control protein 3	7.57193e+06	7.39619e+06	6.91813e+06	3.86317e+06	3.45532e+06	3.50521e+06
P32458	CDC11_YEAST	CDC11	Cell division control protein 11	2.59224e+06	2.31486e+06	1.98469e+06	1.32363e+06	1.38967e+06	1.08854e+06
P32462	ERG24_YEAST	ERG24	Delta(14)-sterol reductase	886821	1.0139e+06	863194	478886	352217	340504
P32463	ACPM_YEAST	ACP1	Acyl carrier protein, mitochondrial	7.96814e+06	7.72239e+06	8.04166e+06	4.343e+06	4.53608e+06	4.75753e+06
