Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03.mzML
P24894	COX2_CAEEL	ctc-2	Cytochrome c oxidase subunit 2	2.30958e+07
P24896	NU5M_CAEEL	nduo-5	NADH-ubiquinone oxidoreductase chain 5	791989
P24928	RPB1_HUMAN	POLR2A	DNA-directed RNA polymerase II subunit RPB1	5.81613e+06
P24941	CDK2_HUMAN	CDK2	Cyclin-dependent kinase 2	6.25026e+07
P25039	EFGM_YEAST	MEF1	Elongation factor G, mitochondrial	1.19845e+06
P25043	PSB2_YEAST	PUP1	Proteasome subunit beta type-2	4.78019e+06
P25087	ERG6_YEAST	ERG6	Sterol 24-C-methyltransferase	1.47577e+07
P25098	ARBK1_HUMAN	GRK2	Beta-adrenergic receptor kinase 1	1.15144e+06
P25205	MCM3_HUMAN	MCM3	DNA replication licensing factor MCM3	3.59133e+07
P25208	NFYB_HUMAN	NFYB	Nuclear transcription factor Y subunit beta	4.33932e+06
P25293	NAP1_YEAST	NAP1	Nucleosome assembly protein	3.50542e+06
P25294	SIS1_YEAST	SIS1	Protein SIS1	8.59695e+06
P25296	CANB_YEAST	CNB1	Calcineurin subunit B	2.99128e+06
P25303	SCJ1_YEAST	SCJ1	DnaJ-related protein SCJ1	721532
P25325	THTM_HUMAN	MPST	3-mercaptopyruvate sulfurtransferase	7.15424e+06
P25340	ERG4_YEAST	ERG4	Delta(24(24(1)))-sterol reductase	1.50569e+06
P25342	CDC10_YEAST	CDC10	Cell division control protein 10	3.16151e+06
P25343	RV161_YEAST	RVS161	Reduced viability upon starvation protein 161	4.61746e+06
P25349	YCP4_YEAST	YCP4	Flavoprotein-like protein YCP4	1.88103e+07
P25367	RNQ1_YEAST	RNQ1	[PIN+] prion protein RNQ1	3.32291e+06
P25369	LSB5_YEAST	LSB5	LAS seventeen-binding protein 5	2.58109e+06
P25372	TRX3_YEAST	TRX3	Thioredoxin-3, mitochondrial	1.24828e+07
P25373	GLRX1_YEAST	GRX1	Glutaredoxin-1	4.238e+07
P25374	NFS1_YEAST	NFS1	Cysteine desulfurase, mitochondrial	3.75978e+06
P25375	PRTD_YEAST	PRD1	Saccharolysin	1.43246e+06
P25398	RS12_HUMAN	RPS12	40S ribosomal protein S12	1.42396e+08
P25440	BRD2_HUMAN	BRD2	Bromodomain-containing protein 2	2.6282e+06
P25443	RS2_YEAST	RPS2	40S ribosomal protein S2	5.04956e+07
P25451	PSB3_YEAST	PUP3	Proteasome subunit beta type-3	4.6289e+06
P25490	TYY1_HUMAN	YY1	Transcriptional repressor protein YY1	1.02335e+07
P25491	MAS5_YEAST	YDJ1	Mitochondrial protein import protein MAS5	3.3396e+06
P25553				1.21923e+06
P25567	SRO9_YEAST	SRO9	RNA-binding protein SRO9	781037
P25605	ILV6_YEAST	ILV6	Acetolactate synthase small subunit, mitochondrial	1.40269e+07
P25619	HSP30_YEAST	HSP30	30 kDa heat shock protein	8.12596e+06
P25623	SYP1_YEAST	SYP1	Suppressor of yeast profilin deletion	1.95598e+06
P25626	IMG1_YEAST	IMG1	54S ribosomal protein IMG1, mitochondrial	789270
P25631	YCU1_YEAST	YCR051W	Ankyrin repeat-containing protein YCR051W	1.17113e+06
P25685	DNJB1_HUMAN	DNAJB1	DnaJ homolog subfamily B member 1	1.99389e+07
P25694	CDC48_YEAST	CDC48	Cell division control protein 48	4.46652e+07
P25705	ATPA_HUMAN	ATP5F1A	ATP synthase subunit alpha, mitochondrial	1.22119e+08
P25719	CYPC_YEAST	CPR3	Peptidyl-prolyl cis-trans isomerase C, mitochondrial	2.05566e+07
P25786	PSA1_HUMAN	PSMA1	Proteasome subunit alpha type-1	1.15893e+08
P25787	PSA2_HUMAN	PSMA2	Proteasome subunit alpha type-2	4.24262e+07
P25788	PSA3_HUMAN	PSMA3	Proteasome subunit alpha type-3	5.29164e+07
P25789	PSA4_HUMAN	PSMA4	Proteasome subunit alpha type-4	5.92208e+07
P25791	RBTN2_HUMAN	LMO2	Rhombotin-2	4.8573e+06
P25807	CPR1_CAEEL	cpr-1	Gut-specific cysteine proteinase	3.29885e+06
P25815	S100P_HUMAN	S100P	Protein S100-P	1.63776e+08
P26006	ITA3_HUMAN	ITGA3	Integrin alpha-3	6.7046e+06
P26038	MOES_HUMAN	MSN	Moesin	1.16188e+08
P26196	DDX6_HUMAN	DDX6	Probable ATP-dependent RNA helicase DDX6	1.10773e+07
P26232	CTNA2_HUMAN	CTNNA2	Catenin alpha-2	1.1318e+06
P26321	RL5_YEAST	RPL5	60S ribosomal protein L5	4.99227e+07
P26358	DNMT1_HUMAN	DNMT1	DNA (cytosine-5)-methyltransferase 1	1.06908e+07
P26368	U2AF2_HUMAN	U2AF2	Splicing factor U2AF 65 kDa subunit	3.69081e+07
P26373	RL13_HUMAN	RPL13	60S ribosomal protein L13	2.62188e+08
P26440	IVD_HUMAN	IVD	Isovaleryl-CoA dehydrogenase, mitochondrial	1.54301e+07
P26447	S10A4_HUMAN	S100A4	Protein S100-A4	4.0368e+08
P26583	HMGB2_HUMAN	HMGB2	High mobility group protein B2	7.94898e+07
P26599	PTBP1_HUMAN	PTBP1	Polypyrimidine tract-binding protein 1	1.38834e+08
P26637	SYLC_YEAST	CDC60	Leucine--tRNA ligase, cytoplasmic	7.87215e+06
P26639	SYTC_HUMAN	TARS1	Threonine--tRNA ligase 1, cytoplasmic	5.84493e+07
P26640	SYVC_HUMAN	VARS1	Valine--tRNA ligase	2.06407e+07
P26641	EF1G_HUMAN	EEF1G	Elongation factor 1-gamma	9.9083e+07
P26754	RFA2_YEAST	RFA2	Replication factor A protein 2	1.70982e+06
P26755	RFA3_YEAST	RFA3	Replication factor A protein 3	1.50003e+06
P26783	RS5_YEAST	RPS5	40S ribosomal protein S5	9.13152e+07
P26784	RL16A_YEAST	RPL16A	60S ribosomal protein L16-A	2.09201e+07
P26785	RL16B_YEAST	RPL16B	60S ribosomal protein L16-B	5.71132e+07
P26786	RS7A_YEAST	RPS7A	40S ribosomal protein S7-A	3.24818e+07
P26885	FKBP2_HUMAN	FKBP2	Peptidyl-prolyl cis-trans isomerase FKBP2	2.33784e+07
P27105	STOM_HUMAN	STOM	Erythrocyte band 7 integral membrane protein	6.00102e+07
P27144	KAD4_HUMAN	AK4	Adenylate kinase 4, mitochondrial	1.66179e+07
P27348	1433T_HUMAN	YWHAQ	14-3-3 protein theta	1.27837e+08
P27361	MK03_HUMAN	MAPK3	Mitogen-activated protein kinase 3	5.4194e+06
P27420	HSP7C_CAEEL	hsp-3	Heat shock 70 kDa protein C	2.19604e+08
P27448	MARK3_HUMAN	MARK3	MAP/microtubule affinity-regulating kinase 3	1.21343e+06
P27449	VATL_HUMAN	ATP6V0C	V-type proton ATPase 16 kDa proteolipid subunit	3.54477e+06
P27466	KCC1_YEAST	CMK1	Calcium/calmodulin-dependent protein kinase I	1.74825e+06
P27472	GYS2_YEAST	GSY2	Glycogen [starch] synthase isoform 2	4.69419e+06
P27476	NSR1_YEAST	NSR1	Nuclear localization sequence-binding protein	7.95922e+06
P27540	ARNT_HUMAN	ARNT	Aryl hydrocarbon receptor nuclear translocator	1.58281e+06
P27604	SAHH_CAEEL	ahcy-1	Adenosylhomocysteinase	3.31965e+08
P27614	CBPS_YEAST	CPS1	Carboxypeptidase S	3.0512e+06
P27616	PUR7_YEAST	ADE1	Phosphoribosylaminoimidazole-succinocarboxamide synthase	4.18458e+06
P27635	RL10_HUMAN	RPL10	60S ribosomal protein L10	1.80512e+08
P27639	IF4A_CAEEL	inf-1	Eukaryotic initiation factor 4A	3.09529e+07
P27692	SPT5_YEAST	SPT5	Transcription elongation factor SPT5	1.34519e+06
P27694	RFA1_HUMAN	RPA1	Replication protein A 70 kDa DNA-binding subunit	1.96714e+08
P27695	APEX1_HUMAN	APEX1	DNA-(apurinic or apyrimidinic site) endonuclease	6.04999e+07
P27707	DCK_HUMAN	DCK	Deoxycytidine kinase	3.9362e+06
P27708	PYR1_HUMAN	CAD	CAD protein	2.22299e+07
P27796	THIK_YEAST	POT1	3-ketoacyl-CoA thiolase, peroxisomal	2.4846e+06
P27797	CALR_HUMAN	CALR	Calreticulin	1.11975e+08
P27798	CALR_CAEEL	crt-1	Calreticulin	1.09839e+08
P27809	KRE2_YEAST	KRE2	Glycolipid 2-alpha-mannosyltransferase	972900
P27810	KTR1_YEAST	KTR1	Alpha-1,2 mannosyltransferase KTR1	1.34955e+06
P27816	MAP4_HUMAN	MAP4	Microtubule-associated protein 4	2.46541e+07
P27824	CALX_HUMAN	CANX	Calnexin	1.21758e+08
P28000	RPAC2_YEAST	RPC19	DNA-directed RNA polymerases I and III subunit RPAC2	3.25344e+06
P28007	GAR1_YEAST	GAR1	H/ACA ribonucleoprotein complex subunit GAR1	2.95783e+06
P28062	PSB8_HUMAN	PSMB8	Proteasome subunit beta type-8	1.59864e+07
P28066	PSA5_HUMAN	PSMA5	Proteasome subunit alpha type-5	7.69534e+07
P28070	PSB4_HUMAN	PSMB4	Proteasome subunit beta type-4	2.68542e+07
P28072	PSB6_HUMAN	PSMB6	Proteasome subunit beta type-6	5.51167e+07
P28074	PSB5_HUMAN	PSMB5	Proteasome subunit beta type-5	2.49706e+07
P28241	IDH2_YEAST	IDH2	Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial	1.16614e+07
P28272	PYRD_YEAST	URA1	Dihydroorotate dehydrogenase (fumarate)	2.06391e+07
P28274	URA7_YEAST	URA7	CTP synthase 1	1.64713e+06
P28288	ABCD3_HUMAN	ABCD3	ATP-binding cassette sub-family D member 3	8.92695e+06
P28290	ITPI2_HUMAN	ITPRID2	Protein ITPRID2	2.8318e+06
P28321	MGLL_YEAST	YJU3	Monoglyceride lipase	2.33796e+06
P28331	NDUS1_HUMAN	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	1.34323e+07
P28340	DPOD1_HUMAN	POLD1	DNA polymerase delta catalytic subunit	1.33367e+07
P28347	TEAD1_HUMAN	TEAD1	Transcriptional enhancer factor TEF-1	3.23162e+06
P28482	MK01_HUMAN	MAPK1	Mitogen-activated protein kinase 1	9.54148e+06
P28495	CAPZA_YEAST	CAP1	F-actin-capping protein subunit alpha	4.35227e+06
P28548	CSK2B_CAEEL	kin-10	Casein kinase II subunit beta	7.77607e+06
P28625	YIM1_YEAST	YIM1	Protein YIM1	1.39195e+06
P28702	RXRB_HUMAN	RXRB	Retinoic acid receptor RXR-beta	1.45279e+06
P28707	SBA1_YEAST	SBA1	Co-chaperone protein SBA1	1.70139e+07
P28715	ERCC5_HUMAN	ERCC5	DNA repair protein complementing XP-G cells	1.7494e+06
P28777	AROC_YEAST	ARO2	Chorismate synthase	2.88425e+06
P28789	HEM3_YEAST	HEM3	Porphobilinogen deaminase	1.50735e+06
P28799	GRN_HUMAN	GRN	Progranulin	6.5709e+06
P28834	IDH1_YEAST	IDH1	Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial	1.33437e+07
P28838	AMPL_HUMAN	LAP3	Cytosol aminopeptidase	8.93901e+06
P29083	T2EA_HUMAN	GTF2E1	General transcription factor IIE subunit 1	2.62765e+06
P29084	T2EB_HUMAN	GTF2E2	Transcription initiation factor IIE subunit beta	2.27537e+06
P29144	TPP2_HUMAN	TPP2	Tripeptidyl-peptidase 2	1.74161e+07
P29218	IMPA1_HUMAN	IMPA1	Inositol monophosphatase 1	7.03523e+06
P29311	BMH1_YEAST	BMH1	Protein BMH1	8.67985e+07
P29317	EPHA2_HUMAN	EPHA2	Ephrin type-A receptor 2	2.00913e+06
P29350	PTN6_HUMAN	PTPN6	Tyrosine-protein phosphatase non-receptor type 6	676003
P29353	SHC1_HUMAN	SHC1	SHC-transforming protein 1	2.44996e+06
P29355	SEM5_CAEEL	sem-5	Sex muscle abnormal protein 5	838662
P29372	3MG_HUMAN	MPG	DNA-3-methyladenine glycosylase	1.06136e+07
P29374	ARI4A_HUMAN	ARID4A	AT-rich interactive domain-containing protein 4A	1.03243e+07
P29401	TKT_HUMAN	TKT	Transketolase	4.79514e+08
P29453	RL8B_YEAST	RPL8B	60S ribosomal protein L8-B	3.20885e+07
P29478	SEC65_YEAST	SEC65	Signal recognition particle subunit SEC65	1.37137e+06
P29496	MCM5_YEAST	MCM5	Minichromosome maintenance protein 5	883624
P29508	SPB3_HUMAN	SERPINB3	Serpin B3	5.64283e+06
P29509	TRXB1_YEAST	TRR1	Thioredoxin reductase 1	1.14489e+07
P29547	EF1G1_YEAST	CAM1	Elongation factor 1-gamma 1	1.63598e+07
P29558	RBMS1_HUMAN	RBMS1	RNA-binding motif, single-stranded-interacting protein 1	5.15757e+06
P29590	PML_HUMAN	PML	Protein PML	3.00639e+06
P29691	EF2_CAEEL	eef-2	Elongation factor 2	4.95211e+08
P29692	EF1D_HUMAN	EEF1D	Elongation factor 1-delta	1.03236e+08
P29704	FDFT_YEAST	ERG9	Squalene synthase	6.2297e+06
P29952	MPI_YEAST	PMI40	Mannose-6-phosphate isomerase	9.08553e+06
P29992	GNA11_HUMAN	GNA11	Guanine nucleotide-binding protein subunit alpha-11	6.14751e+06
P30040	ERP29_HUMAN	ERP29	Endoplasmic reticulum resident protein 29	3.54141e+07
P30041	PRDX6_HUMAN	PRDX6	Peroxiredoxin-6	1.99318e+08
P30042				1.76511e+07
P30043	BLVRB_HUMAN	BLVRB	Flavin reductase (NADPH)	6.29896e+07
P30044	PRDX5_HUMAN	PRDX5	Peroxiredoxin-5, mitochondrial	1.64479e+08
P30046	DOPD_HUMAN	DDT	D-dopachrome decarboxylase	2.57895e+07
P30047	GFRP_HUMAN	GCHFR	GTP cyclohydrolase 1 feedback regulatory protein	6.2801e+06
P30048	PRDX3_HUMAN	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial	1.33738e+08
P30049	ATPD_HUMAN	ATP5F1D	ATP synthase subunit delta, mitochondrial	6.63205e+07
P30050	RL12_HUMAN	RPL12	60S ribosomal protein L12	2.02984e+08
P30084	ECHM_HUMAN	ECHS1	Enoyl-CoA hydratase, mitochondrial	1.67954e+08
P30085	KCY_HUMAN	CMPK1	UMP-CMP kinase	1.73006e+07
P30086	PEBP1_HUMAN	PEBP1	Phosphatidylethanolamine-binding protein 1	1.35e+08
P30101	PDIA3_HUMAN	PDIA3	Protein disulfide-isomerase A3	2.55418e+08
P30153	2AAA_HUMAN	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	2.84228e+07
P30154	2AAB_HUMAN	PPP2R1B	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform	2.52622e+07
P30260	CDC27_HUMAN	CDC27	Cell division cycle protein 27 homolog	3.91832e+06
P30291	WEE1_HUMAN	WEE1	Wee1-like protein kinase	751035
P30405	PPIF_HUMAN	PPIF	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	3.07422e+07
P30408	T4S1_HUMAN	TM4SF1	Transmembrane 4 L6 family member 1	5.3354e+07
P30414	NKTR_HUMAN	NKTR	NK-tumor recognition protein	2.68808e+06
P30419	NMT1_HUMAN	NMT1	Glycylpeptide N-tetradecanoyltransferase 1	1.68371e+07
P30447				9.91121e+06
P30464				2.01255e+07
P30508				5.09154e+07
P30519	HMOX2_HUMAN	HMOX2	Heme oxygenase 2	5.75335e+06
P30520	PURA2_HUMAN	ADSS2	Adenylosuccinate synthetase isozyme 2	1.04211e+07
P30533	AMRP_HUMAN	LRPAP1	Alpha-2-macroglobulin receptor-associated protein	1.42622e+07
P30536	TSPO_HUMAN	TSPO	Translocator protein	1.47687e+07
P30566	PUR8_HUMAN	ADSL	Adenylosuccinate lyase	1.19517e+07
P30622	CLIP1_HUMAN	CLIP1	CAP-Gly domain-containing linker protein 1	6.06222e+06
P30624	LCF1_YEAST	FAA1	Long-chain-fatty-acid--CoA ligase 1	9.00216e+06
P30625	KAPR_CAEEL	kin-2	cAMP-dependent protein kinase regulatory subunit	1.95318e+07
P30626	SORCN_HUMAN	SRI	Sorcin	2.2376e+07
P30627	GLBH_CAEEL	glb-1	Globin-like protein	6.0627e+06
P30628	VPP1_CAEEL	unc-32	Probable V-type proton ATPase 116 kDa subunit a	2.0258e+06
P30629	YOU2_CAEEL	ZK637.2	Uncharacterized protein ZK637.2	1.35568e+07
P30632	ASNA_CAEEL	asna-1	ATPase asna-1	4.70339e+06
P30642	EIF3D_CAEEL	eif-3.D	Eukaryotic translation initiation factor 3 subunit D	1.77814e+07
P30656	PSB5_YEAST	PRE2	Proteasome subunit beta type-5	4.72559e+06
P30657	PSB7_YEAST	PRE4	Proteasome subunit beta type-7	2.61908e+06
P30711	GSTT1_HUMAN	GSTT1	Glutathione S-transferase theta-1	1.94989e+06
P30740	ILEU_HUMAN	SERPINB1	Leukocyte elastase inhibitor	2.22398e+07
P30822	XPO1_YEAST	CRM1	Exportin-1	1.37464e+06
P30825	SL7A1_HUMAN	SLC7A1	High affinity cationic amino acid transporter 1	2.5601e+06
P30837	AL1B1_HUMAN	ALDH1B1	Aldehyde dehydrogenase X, mitochondrial	2.15982e+06
P30876	RPB2_HUMAN	POLR2B	DNA-directed RNA polymerase II subunit RPB2	1.51725e+07
P30902	ATP7_YEAST	ATP7	ATP synthase subunit d, mitochondrial	2.06994e+07
P30952	MLS1_YEAST	MLS1	Malate synthase 1	1.26454e+06
P30990	NEUT_HUMAN	NTS	Neurotensin/neuromedin N	1.45997e+06
P31040	SDHA_HUMAN	SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	1.85618e+08
P31116	DHOM_YEAST	HOM6	Homoserine dehydrogenase	1.9538e+07
P31150	GDIA_HUMAN	GDI1	Rab GDP dissociation inhibitor alpha	6.02498e+06
P31153	METK2_HUMAN	MAT2A	S-adenosylmethionine synthase isoform type-2	1.97669e+08
P31161	SODM1_CAEEL	sod-2	Superoxide dismutase [Mn] 1, mitochondrial	1.75757e+07
P31260	HXA10_HUMAN	HOXA10	Homeobox protein Hox-A10	862124
P31321	KAP1_HUMAN	PRKAR1B	cAMP-dependent protein kinase type I-beta regulatory subunit	823974
P31327	CPSM_HUMAN	CPS1	Carbamoyl-phosphate synthase [ammonia], mitochondrial	3.47037e+08
P31350	RIR2_HUMAN	RRM2	Ribonucleoside-diphosphate reductase subunit M2	1.69375e+07
P31373	CYS3_YEAST	CYS3	Cystathionine gamma-lyase	2.76387e+07
P31382	PMT2_YEAST	PMT2	Dolichyl-phosphate-mannose--protein mannosyltransferase 2	7.04278e+06
P31383	2AAA_YEAST	TPD3	Protein phosphatase PP2A regulatory subunit A	2.69978e+06
P31412	VATC_YEAST	VMA5	V-type proton ATPase subunit C	7.79946e+06
P31431	SDC4_HUMAN	SDC4	Syndecan-4	2.5579e+06
P31483	TIA1_HUMAN	TIA1	Nucleolysin TIA-1 isoform p40	3.00994e+06
P31539	HS104_YEAST	HSP104	Heat shock protein 104	2.23265e+07
P31688	TPS2_YEAST	TPS2	Trehalose-phosphatase	1.09157e+07
P31689	DNJA1_HUMAN	DNAJA1	DnaJ homolog subfamily A member 1	2.98517e+07
P31787	ACBP_YEAST	ACB1	Acyl-CoA-binding protein	5.45174e+07
P31930	QCR1_HUMAN	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	4.23483e+07
P31937	3HIDH_HUMAN	HIBADH	3-hydroxyisobutyrate dehydrogenase, mitochondrial	5.86585e+06
P31939	PUR9_HUMAN	ATIC	Bifunctional purine biosynthesis protein ATIC	3.14056e+07
P31942	HNRH3_HUMAN	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	5.19974e+07
P31943	HNRH1_HUMAN	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	1.93662e+08
P31944	CASPE_HUMAN	CASP14	Caspase-14	694327
P31946	1433B_HUMAN	YWHAB	14-3-3 protein beta/alpha	1.37078e+08
P31947	1433S_HUMAN	SFN	14-3-3 protein sigma	5.06575e+08
P31948	STIP1_HUMAN	STIP1	Stress-induced-phosphoprotein 1	7.76435e+07
P31949	S10AB_HUMAN	S100A11	Protein S100-A11	6.68657e+08
P32004	L1CAM_HUMAN	L1CAM	Neural cell adhesion molecule L1	1.34144e+07
P32074	COPG_YEAST	SEC21	Coatomer subunit gamma	2.5153e+06
P32119	PRDX2_HUMAN	PRDX2	Peroxiredoxin-2	1.20592e+08
P32178	CHMU_YEAST	ARO7	Chorismate mutase	866959
P32179	MET22_YEAST	MET22	3'(2'),5'-bisphosphate nucleotidase	5.46003e+06
P32189	GLPK_HUMAN	GK	Glycerol kinase	1.50269e+06
P32190	GLPK_YEAST	GUT1	Glycerol kinase	6.31868e+06
P32191	GPDM_YEAST	GUT2	Glycerol-3-phosphate dehydrogenase, mitochondrial	7.51844e+06
P32263	P5CR_YEAST	PRO3	Pyrroline-5-carboxylate reductase	8.94527e+06
P32288	GLNA_YEAST	GLN1	Glutamine synthetase	1.1147e+07
P32316	ACH1_YEAST	ACH1	Acetyl-CoA hydrolase	1.19866e+08
P32320	CDD_HUMAN	CDA	Cytidine deaminase	1.39898e+07
P32321	DCTD_HUMAN	DCTD	Deoxycytidylate deaminase	1.25616e+06
P32322	P5CR1_HUMAN	PYCR1	Pyrroline-5-carboxylate reductase 1, mitochondrial	1.93236e+07
P32324	EF2_YEAST	EFT1	Elongation factor 2	7.45524e+07
P32327	PYC2_YEAST	PYC2	Pyruvate carboxylase 2	4.1404e+06
P32329	YPS1_YEAST	YPS1	Aspartic proteinase 3	2.49945e+06
P32332	OAC1_YEAST	OAC1	Mitochondrial oxaloacetate transport protein	1.40242e+06
P32335	MSS51_YEAST	MSS51	Protein MSS51, mitochondrial	287814
P32337	IMB3_YEAST	PSE1	Importin subunit beta-3	1.295e+06
P32340	NDI1_YEAST	NDI1	Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial	3.86602e+06
P32351	IMPX_YEAST	IMP2'	Sugar utilization regulatory protein IMP2	357509
P32352	ERG2_YEAST	ERG2	C-8 sterol isomerase	2.73039e+06
P32356	TREA_YEAST	NTH1	Neutral trehalase	4.09552e+06
P32366	VA0D_YEAST	VMA6	V-type proton ATPase subunit d	1.01348e+07
P32368	SAC1_YEAST	SAC1	Phosphatidylinositol-3-phosphatase SAC1	1.86491e+06
P32377	MVD1_YEAST	MVD1	Diphosphomevalonate decarboxylase	8.72991e+06
P32379	PSA5_YEAST	PUP2	Proteasome subunit alpha type-5	8.19918e+06
P32381	ARP2_YEAST	ARP2	Actin-related protein 2	4.23607e+06
P32419	MDHP_YEAST	MDH3	Malate dehydrogenase, peroxisomal	7.42498e+06
P32445	RIM1_YEAST	RIM1	Single-stranded DNA-binding protein RIM1, mitochondrial	1.71574e+07
P32449	AROG_YEAST	ARO4	Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited	1.21196e+07
P32453	ATP11_YEAST	ATP11	Protein ATP11, mitochondrial	949353
P32454	APE2_YEAST	APE2	Aminopeptidase 2, mitochondrial	5.75059e+06
P32457	CDC3_YEAST	CDC3	Cell division control protein 3	3.03699e+06
P32463	ACPM_YEAST	ACP1	Acyl carrier protein, mitochondrial	4.38321e+06
P32468	CDC12_YEAST	CDC12	Cell division control protein 12	2.97564e+06
P32469	DPH5_YEAST	DPH5	Diphthine methyl ester synthase	8.75249e+06
P32471	EF1B_YEAST	EFB1	Elongation factor 1-beta	8.88054e+07
P32472	FKBP2_YEAST	FPR2	Peptidyl-prolyl cis-trans isomerase FPR2	2.82972e+06
P32473	ODPB_YEAST	PDB1	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	2.31517e+07
P32476	ERG1_YEAST	ERG1	Squalene monooxygenase	1.4655e+06
P32477	GSH1_YEAST	GSH1	Glutamate--cysteine ligase	949720
P32478	HS150_YEAST	HSP150	Cell wall mannoprotein HSP150	2.05821e+07
P32481	IF2G_YEAST	GCD11	Eukaryotic translation initiation factor 2 subunit gamma	6.03706e+06
P32485	HOG1_YEAST	HOG1	Mitogen-activated protein kinase HOG1	1.5815e+06
P32495	NHP2_YEAST	NHP2	H/ACA ribonucleoprotein complex subunit NHP2	2.91331e+06
P32496	RPN12_YEAST	RPN12	26S proteasome regulatory subunit RPN12	4.71467e+06
P32497	EIF3C_YEAST	NIP1	Eukaryotic translation initiation factor 3 subunit C	4.11799e+06
P32499	NUP2_YEAST	NUP2	Nucleoporin NUP2	1.47041e+06
P32505	NAB2_YEAST	NAB2	Nuclear polyadenylated RNA-binding protein NAB2	714859
P32519	ELF1_HUMAN	ELF1	ETS-related transcription factor Elf-1	1.16406e+06
P32521	PAN1_YEAST	PAN1	Actin cytoskeleton-regulatory complex protein PAN1	3.24177e+06
P32527	ZUO1_YEAST	ZUO1	Zuotin	1.0128e+07
P32558	SPT16_YEAST	SPT16	FACT complex subunit SPT16	1.3287e+06
P32563	VPH1_YEAST	VPH1	V-type proton ATPase subunit a, vacuolar isoform	6.23824e+06
P32565	RPN2_YEAST	RPN2	26S proteasome regulatory subunit RPN2	4.36395e+06
P32566	SMI1_YEAST	SMI1	Cell wall assembly regulator SMI1	1.17691e+06
P32582	CBS_YEAST	CYS4	Cystathionine beta-synthase	2.94356e+07
P32588	PUB1_YEAST	PUB1	Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1	1.15642e+07
P32589	HSP7F_YEAST	SSE1	Heat shock protein homolog SSE1	2.52426e+07
P32590	HSP79_YEAST	SSE2	Heat shock protein homolog SSE2	5.91808e+06
P32598	PP12_YEAST	GLC7	Serine/threonine-protein phosphatase PP1-2	1.31982e+07
P32599	FIMB_YEAST	SAC6	Fimbrin	8.93824e+06
P32602	SEC17_YEAST	SEC17	Alpha-soluble NSF attachment protein	3.95732e+06
P32610	VATD_YEAST	VMA8	V-type proton ATPase subunit D	2.24187e+06
P32611	RML2_YEAST	RML2	54S ribosomal protein RML2, mitochondrial	596302
P32614	FRDS_YEAST	FRD1	Fumarate reductase 1	9.12325e+06
P32621	GDA1_YEAST	GDA1	Guanosine-diphosphatase	573386
P32628	RAD23_YEAST	RAD23	UV excision repair protein RAD23	4.04491e+06
P32629	ANP1_YEAST	ANP1	Mannan polymerase II complex ANP1 subunit	217997
P32744	CLAS2_CAEEL	cls-2	Protein CLASP-2	700806
P32771	FADH_YEAST	SFA1	S-(hydroxymethyl)glutathione dehydrogenase	3.20964e+07
P32774	T2AG_YEAST	TOA2	Transcription initiation factor IIA subunit 2	295702
P32775	GLGB_YEAST	GLC3	1,4-alpha-glucan-branching enzyme	3.73922e+06
P32780	TF2H1_HUMAN	GTF2H1	General transcription factor IIH subunit 1	1.14297e+06
P32787	MG101_YEAST	MGM101	Mitochondrial genome maintenance protein MGM101	1.66996e+06
P32790	SLA1_YEAST	SLA1	Actin cytoskeleton-regulatory complex protein SLA1	2.795e+06
P32795	YME1_YEAST	YME1	Mitochondrial inner membrane i-AAA protease supercomplex subunit YME1	5.46094e+06
P32796	CACP_YEAST	CAT2	Carnitine O-acetyltransferase, mitochondrial	1.54702e+06
P32799	COX13_YEAST	COX13	Cytochrome c oxidase subunit 13, mitochondrial	1.08863e+07
P32803	EMP24_YEAST	EMP24	Endosomal protein P24B	3.21785e+06
P32832	RSC7_YEAST	NPL6	Chromatin structure-remodeling complex subunit RSC7	211123
P32835	GSP1_YEAST	GSP1	GTP-binding nuclear protein GSP1/CNR1	2.53923e+07
P32843	YME2_YEAST	YME2	Mitochondrial escape protein 2	1.06363e+06
P32860	NFU1_YEAST	NFU1	NifU-like protein, mitochondrial	971053
P32861	UGPA1_YEAST	UGP1	UTP--glucose-1-phosphate uridylyltransferase	2.88479e+07
