Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03.mzML
O00541	PESC_HUMAN	PES1	Pescadillo homolog	1.24586e+07	1.23977e+07	1.25753e+07	1.20335e+07	1.14827e+07	1.17367e+07
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	2.73212e+06	2.32527e+06	2.76402e+06	2.74932e+06	2.52834e+06	2.61514e+06
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	3.70411e+07	3.83581e+07	3.6302e+07	3.63686e+07	3.72346e+07	3.6968e+07
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	5.80165e+07	5.8006e+07	5.73047e+07	5.62879e+07	5.9073e+07	5.51169e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	7.5687e+07	7.62365e+07	7.52716e+07	7.52473e+07	7.63117e+07	7.59421e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	1.54694e+06	1.60709e+06	1.37712e+06	1.37413e+06	1.37049e+06	1.33957e+06
O00592	PODXL_HUMAN	PODXL	Podocalyxin	2.47888e+07	2.6275e+07	3.00653e+07	2.52092e+07	2.80964e+07	2.65008e+07
O00625	PIR_HUMAN	PIR	Pirin	1.95771e+07	1.89388e+07	1.82622e+07	1.893e+07	1.96638e+07	1.88088e+07
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	1.08715e+07	1.11754e+07	9.41415e+06	1.07245e+07	1.04607e+07	1.04154e+07
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	1.97532e+06	2.54133e+06	1.22409e+06	1.96694e+06	1.81895e+06	1.84747e+06
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	3.71802e+06	3.8851e+06	3.74879e+06	3.41557e+06	3.85766e+06	3.56848e+06
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	196094	252823	110586	110626	83034.5	220270
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	2.20109e+06	2.43367e+06	1.89303e+06	2.20612e+06	2.14942e+06	1.80679e+06
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	4.8148e+06	4.26985e+06	4.77088e+06	4.68378e+06	5.07017e+06	4.85824e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	1.40873e+07	1.42052e+07	1.4436e+07	1.26563e+07	1.32373e+07	1.33746e+07
O00767	ACOD_HUMAN	SCD	Acyl-CoA desaturase	1.88512e+07	2.15532e+07	2.09801e+07	1.89279e+07	2.14218e+07	1.98494e+07
O01257				1.03765e+06	1.33893e+06	1.31939e+06	1.85931e+06	1.94023e+06	2.16754e+06
O01314				735834	818253	903807	1.21043e+06	1.19471e+06	1.21065e+06
O01422	CSN2_CAEEL	csn-2	COP9 signalosome complex subunit 2	592432	549102	455169	785516	778488	731501
O01479	TMOD_CAEEL	unc-94	Tropomodulin	2.07748e+06	2.28135e+06	1.71162e+06	3.14085e+06	2.94839e+06	2.41259e+06
O01498	STAM1_CAEEL	stam-1	Signal transducing adapter molecule 1	1.11656e+06	1.05251e+06	1.05701e+06	1.26166e+06	1.17268e+06	1.16738e+06
O01504	RLA2_CAEEL	C37A2.7	60S acidic ribosomal protein P2	1.35921e+08	1.48753e+08	1.50189e+08	1.85275e+08	1.89736e+08	1.88624e+08
O01530	ASP6_CAEEL	asp-6	Aspartic protease 6	4.47613e+07	4.55811e+07	4.35009e+07	5.62892e+07	5.72246e+07	5.52697e+07
O01531				1.38072e+06	1.41799e+06	1.42737e+06	1.79191e+06	1.95084e+06	2.09121e+06
O01532				1.43292e+07	1.38534e+07	1.48304e+07	1.67359e+07	1.74294e+07	1.84504e+07
O01541	SYAC_CAEEL	aars-2	Alanine--tRNA ligase, cytoplasmic	8.42721e+06	8.71823e+06	8.60857e+06	1.13445e+07	1.13245e+07	1.11973e+07
O01542				8.14583e+07	8.33974e+07	8.45084e+07	1.0166e+08	1.05595e+08	1.03297e+08
O01572				1.46841e+06	1.48117e+06	1.50962e+06	1.76e+06	2.12098e+06	1.54549e+06
O01576				2.28744e+06	2.35629e+06	2.27971e+06	2.56358e+06	2.45477e+06	2.92645e+06
O01577				1.105e+07	9.40079e+06	9.5838e+06	1.06876e+07	1.16697e+07	1.01612e+07
O01578	MPC2_CAEEL	mpc-2	Probable mitochondrial pyruvate carrier 2	3.11421e+06	2.97046e+06	3.32673e+06	3.88091e+06	3.60421e+06	3.57017e+06
O01590				408895	555764		429702		662143
O01592	CYSK3_CAEEL	cysl-3	Cysteine synthase 3	4.79071e+06	5.01069e+06	5.71296e+06	5.98509e+06	6.26383e+06	6.56818e+06
O01593				1.96471e+06	2.03584e+06	2.14278e+06	2.2755e+06	2.38427e+06	2.64878e+06
O01602;Q86NC2				9.21682e+06	9.64975e+06	9.60858e+06	1.11788e+07	1.15751e+07	1.26877e+07
O01615	AN322_CAEEL	T19H12.2	Acidic leucine-rich nuclear phosphoprotein 32-related protein 2	1.22733e+07	1.33898e+07	1.13236e+07	1.52088e+07	1.49563e+07	1.48858e+07
O01634	INX12_CAEEL	inx-12	Innexin-12	682660	665697	622490	697296	809365	804069
O01658	NO66_CAEEL	jmjc-1	Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66	476218	514525	387229	514934	533071	521348
O01685				7.96147e+06	9.31427e+06	9.8795e+06	1.02123e+07	1.19145e+07	1.07431e+07
O01692	RS17_CAEEL	rps-17	40S ribosomal protein S17	8.48395e+07	8.9811e+07	8.97609e+07	1.11e+08	1.04627e+08	1.07442e+08
O01755				101723		250976	374958	343363	242957
O01757	NAT10_CAEEL	nath-10	RNA cytidine acetyltransferase	1.07303e+06	1.04535e+06		1.27904e+06	1.2847e+06	1.28552e+06
O01761	UNC89_CAEEL	unc-89	Muscle M-line assembly protein unc-89	1.20193e+07	1.22453e+07	1.20851e+07	1.50474e+07	1.57408e+07	1.54556e+07
O01763	NCBP1_CAEEL	ncbp-1	Nuclear cap-binding protein subunit 1	1.14654e+06	1.19881e+06		1.44479e+06	1.53662e+06	1.39923e+06
O01789	SMC1_CAEEL	him-1	Structural maintenance of chromosomes protein 1	9.1034e+06	9.03642e+06	8.55916e+06	8.84308e+06	9.01872e+06	7.62867e+06
O01802	RL7_CAEEL	rpl-7	60S ribosomal protein L7	1.10882e+08	1.16907e+08	1.12179e+08	1.34734e+08	1.436e+08	1.34905e+08
O01803	RB11A_CAEEL	rab-11.1	Ras-related protein rab-11.1	9.31487e+06	8.80835e+06	1.03333e+07	1.14759e+07	1.18524e+07	1.20693e+07
O01804				3.29224e+06	2.69428e+06	3.04585e+06	3.99204e+06	4.65219e+06	4.0041e+06
O01805	ACBP1_CAEEL	acbp-1	Acyl-CoA-binding protein homolog 1	7.41099e+07	8.03445e+07	7.58767e+07	9.24695e+07	9.22672e+07	1.00693e+08
O01806				3.01098e+07	3.08622e+07	3.10854e+07	3.62748e+07	3.71386e+07	3.64986e+07
O01808					82148.9		72047.2	116321	141957
O01812	FABP6_CAEEL	lbp-6	Fatty acid-binding protein homolog 6	1.29358e+08	1.31628e+08	1.32912e+08	1.58275e+08	1.74246e+08	1.78185e+08
O01813				3.68118e+08	3.83608e+08	3.52366e+08	4.59619e+08	4.54752e+08	4.46256e+08
O01814	FABP5_CAEEL	lbp-5	Fatty acid-binding protein homolog 5	1.12948e+07	1.27144e+07	1.49271e+07	1.58839e+07	1.70925e+07	1.65414e+07
O01815				993466			1.13984e+06	1.01693e+06	1.02266e+06
O01816				9.49119e+06	9.05112e+06	8.17856e+06	1.23052e+07	1.25504e+07	1.02287e+07
O01826				2.043e+06	1.93309e+06	1.91674e+06	2.82054e+06	2.56177e+06	2.68127e+06
O01829;Q21289	SSP10_CAEEL;SSP19_CAEEL	ssp-10;ssp-19	Sperm-specific class P protein 19	2.1649e+06	2.14852e+06	2.14666e+06	2.77753e+06	2.83888e+06	2.58807e+06
O01864				386703	514643	428384	559976	693380	495711
O01868	RL24_CAEEL	rpl-24.1	60S ribosomal protein L24	4.34251e+07	4.38634e+07	4.49892e+07	5.96086e+07	6.13536e+07	5.46929e+07
O01869				8.52507e+07	7.8399e+07	8.10225e+07	9.60992e+07	1.07991e+08	9.91723e+07
O01884	COQ6_CAEEL	coq-6	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial	380540	392568	346680	406401	413301	417101
O01925	MBOA5_CAEEL	mboa-6	Lysophospholipid acyltransferase 5	736546	759658	636219	1.01074e+06	833448	1.22531e+06
O01971	EMR1_CAEEL	emr-1	Emerin homolog 1	1.47058e+06	1.44215e+06	1.62835e+06	2.02088e+06	1.939e+06	1.99521e+06
O01974	EIF3H_CAEEL	eif-3.H	Eukaryotic translation initiation factor 3 subunit H	7.04385e+06	7.31164e+06	7.57422e+06	9.14207e+06	9.14809e+06	9.25426e+06
O01991	EF2K_CAEEL	efk-1	Eukaryotic elongation factor 2 kinase	716456	745826	788183	952392	742396	977725
O02056	RL4_CAEEL	rpl-4	60S ribosomal protein L4	1.13424e+08	1.1482e+08	1.1485e+08	1.38504e+08	1.48603e+08	1.44893e+08
O02082				4.48976e+06	5.78901e+06	5.58192e+06	6.80825e+06	6.20338e+06	5.97861e+06
O02089				4.70828e+07	4.39072e+07	4.29948e+07	5.27277e+07	5.55903e+07	5.29943e+07
O02106				3.83662e+06	3.94347e+06	4.49082e+06	4.61767e+06	5.14717e+06	5.03055e+06
O02108;Q336L8	CDC37_CAEEL	cdc-37	Probable Hsp90 co-chaperone cdc37	5.94112e+06	6.66687e+06	7.09996e+06	8.81486e+06	8.46008e+06	1.02698e+07
O02109				1.68304e+06	1.60998e+06	1.57524e+06	2.16124e+06	1.7385e+06	2.15382e+06
O02115	PCNA_CAEEL	pcn-1	Proliferating cell nuclear antigen	7.65635e+06	7.98179e+06	7.38057e+06	8.89598e+06	9.47571e+06	1.0434e+07
O02141				5.40676e+06	4.85695e+06	4.68244e+06	6.09304e+06	5.71979e+06	5.76815e+06
O02153				1.18649e+07	1.09728e+07	1.0318e+07	1.4142e+07	1.34942e+07	1.24251e+07
O02155				5.97332e+06	5.31848e+06	5.51276e+06	7.07564e+06	6.79876e+06	6.53864e+06
O02158				6.0904e+06	5.45364e+06	5.66095e+06	7.33355e+06	6.90938e+06	6.60944e+06
O02161	TIM44_CAEEL	tin-44	Probable mitochondrial import inner membrane translocase subunit tin-44	2.28121e+06	2.29908e+06	2.15599e+06	2.8068e+06	2.80027e+06	2.93124e+06
O02215				2.00311e+06	1.92416e+06	1.37485e+06	2.47196e+06	2.12781e+06	2.00522e+06
O02225				4.85393e+06	4.67543e+06	4.73758e+06	5.79675e+06	5.67585e+06	5.55264e+06
O02236				2.04997e+06	2.17579e+06	2.21018e+06	2.17754e+06	2.59308e+06	2.41018e+06
O02252				2.55301e+06	2.96762e+06	3.51159e+06	4.05542e+06	4.1799e+06	3.9436e+06
O02266				3.90745e+06	4.33666e+06	4.35258e+06	5.17545e+06	5.27639e+06	4.97426e+06
O02267				8.83634e+06	9.1892e+06	8.83721e+06	1.00777e+07	1.08612e+07	1.03687e+07
O02268				779856	596468	411474	967413	986219	738445
O02286				3.08391e+07	3.22929e+07	3.30631e+07	3.92413e+07	3.9292e+07	4.03752e+07
O02323	FABP7_CAEEL	lbp-7	Fatty acid-binding protein homolog 7	7.49373e+06	7.73127e+06	8.09319e+06	9.7844e+06	9.09874e+06	1.03631e+07
O02325				668030	681889	592425	889001	877713	870898
O02327	LTV1_CAEEL	T23D8.3	Protein LTV1 homolog		552093		571041		416501
O02328	EIF3C_CAEEL	eif-3.C	Eukaryotic translation initiation factor 3 subunit C	6.7557e+06	6.82052e+06	6.40224e+06	8.20703e+06	8.18163e+06	8.13857e+06
O02365	IFA2_CAEEL	mua-6	Intermediate filament protein ifa-2	2.25542e+07	2.22577e+07	2.22328e+07	2.75705e+07	2.76661e+07	2.70437e+07
O02485	YDJ1_CAEEL	ZK1073.1	Uncharacterized protein ZK1073.1	4.75834e+06	4.38117e+06	5.44684e+06	6.2865e+06	6.50929e+06	6.20932e+06
O02495	SYB1_CAEEL	snb-1	Synaptobrevin-1	5.41964e+06	4.8084e+06	4.02346e+06	6.54812e+06	5.4883e+06	4.94231e+06
O02621	GPX1_CAEEL	gpx-1	Glutathione peroxidase 1	294358	389660		428308	541925	586365
O02637				880820	1.08573e+06	1.01455e+06	1.32823e+06	1.19332e+06	1.06833e+06
O02639	RL19_CAEEL	rpl-19	60S ribosomal protein L19	7.57109e+07	8.21812e+07	8.18523e+07	9.94745e+07	1.03289e+08	1.02831e+08
O02640	MDHM_CAEEL	mdh-2	Probable malate dehydrogenase, mitochondrial	1.60673e+08	1.65498e+08	1.74459e+08	2.02949e+08	2.1145e+08	2.15433e+08
O02642				2.19061e+07	2.34603e+07	2.27688e+07	2.72136e+07	2.72449e+07	2.77631e+07
O13297	CET1_YEAST	CET1	mRNA-capping enzyme subunit beta	1.09558e+06	893293	1.19352e+06			
O13516	RS9A_YEAST	RPS9A	40S ribosomal protein S9-A	9.20041e+07	9.37225e+07	9.31204e+07	4.66966e+07	4.62705e+07	4.50785e+07
O13547	CCW14_YEAST	CCW14	Covalently-linked cell wall protein 14	4.89944e+06	4.54732e+06	4.536e+06	2.14014e+06	2.09603e+06	2.00683e+06
O13563	RPN13_YEAST	RPN13	26S proteasome regulatory subunit RPN13	3.6443e+06	3.65301e+06	3.00058e+06	1.60907e+06	1.50341e+06	1.38878e+06
O14455	RL36B_YEAST	RPL36B	60S ribosomal protein L36-B	4.88526e+07	5.27475e+07	4.27004e+07	2.5549e+07	2.4733e+07	2.32365e+07
O14467	MBF1_YEAST	MBF1	Multiprotein-bridging factor 1	5.06773e+07	5.15315e+07	5.97317e+07	2.45571e+07	2.67875e+07	2.70818e+07
O14493	CLD4_HUMAN	CLDN4	Claudin-4	3.43033e+06	3.21231e+06	3.41242e+06	3.1313e+06	3.43224e+06	3.58377e+06
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	1.20841e+06	1.25539e+06	1.51683e+06	1.21619e+06	1.40667e+06	1.2666e+06
O14519	CDKA1_HUMAN	CDK2AP1	Cyclin-dependent kinase 2-associated protein 1	6.31567e+06	6.29413e+06	5.7713e+06	5.92602e+06	5.95602e+06	4.7476e+06
O14521	DHSD_HUMAN	SDHD	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial	3.25689e+06	3.26034e+06	2.92974e+06	3.34339e+06	3.04293e+06	3.34875e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	3.59745e+06	3.62533e+06	3.23345e+06	3.10383e+06	3.19516e+06	3.43429e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	5.34314e+06	4.96446e+06	5.48968e+06	5.21899e+06	5.03054e+06	4.51436e+06
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	5.7689e+06	5.72611e+06	6.29753e+06	5.00411e+06	4.5824e+06	6.10953e+06
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	2.13387e+07	2.04861e+07	2.02787e+07	2.20029e+07	1.97523e+07	2.092e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	5.84898e+06	5.57894e+06	5.84545e+06	5.39081e+06	5.81613e+06	5.75748e+06
O14569	C56D2_HUMAN	CYB561D2	Cytochrome b561 domain-containing protein 2		1.70045e+06	2.33502e+06		2.16292e+06	1.92539e+06
O14578	CTRO_HUMAN	CIT	Citron Rho-interacting kinase	1.52266e+06	813234				
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	8.39892e+07	8.56096e+07	8.87106e+07	8.55111e+07	8.0705e+07	8.34588e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	1.21165e+07	1.19732e+07	1.19614e+07	1.16372e+07	1.17719e+07	1.20073e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	5.09935e+06	5.40663e+06	5.6974e+06	5.07453e+06	4.91657e+06	5.04757e+06
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	2.91491e+07	2.58147e+07	3.01689e+07	2.88877e+07	2.67352e+07	2.71769e+07
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	783507	606522	534117	768386	688387	754867
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	2.26202e+06	1.92866e+06	1.88312e+06	1.98832e+06	1.93254e+06	1.91649e+06
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	3.28863e+06	3.4284e+06	3.19647e+06	3.32038e+06	3.25853e+06	3.0047e+06
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	1.30741e+06	1.27271e+06	1.20248e+06	1.15437e+06	1.20553e+06	1.271e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	937303	1.06833e+06	1.37516e+06	1.04976e+06	1.1152e+06	797421
O14662	STX16_HUMAN	STX16	Syntaxin-16	1.10477e+06	1.05254e+06	961362	961304	1.10174e+06	1.03434e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	4.79803e+06	4.14443e+06	4.31388e+06	4.52023e+06	4.17369e+06	4.06512e+06
O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	1.23377e+07	1.19888e+07	1.23996e+07	1.09058e+07	1.06448e+07	1.17644e+07
O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	218273	115485	142660	152516	149808	158253
O14727	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	697472	751303	578339	786982	668363	750904
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	2.97057e+07	3.1068e+07	3.02359e+07	2.91992e+07	2.99955e+07	2.87985e+07
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	1.6523e+06	1.77941e+06	1.62624e+06	1.47082e+06	1.48255e+06	1.19176e+06
O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	1.06796e+06	875276	1.07041e+06	930982		742386
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	5.16036e+06	5.82609e+06	5.32331e+06	5.33572e+06	5.41775e+06	5.29129e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	3.1161e+07	3.08966e+07	2.96218e+07	2.98298e+07	2.99059e+07	3.06795e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	2.01934e+07	1.98594e+07	2.0029e+07	1.92014e+07	1.9388e+07	1.91578e+07
O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	2.00856e+07	2.01144e+07	1.93473e+07	1.97841e+07	1.96317e+07	1.87188e+07
O14746	TERT_HUMAN	TERT	Telomerase reverse transcriptase		1.10085e+06	1.25845e+06			
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	670248	1.13628e+06	954116	906897	1.06475e+06	942689
O14763	TR10B_HUMAN	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B	2.09816e+06	2.17087e+06	2.53521e+06	1.61759e+06	2.10302e+06	2.1211e+06
O14770	MEIS2_HUMAN	MEIS2	Homeobox protein Meis2	770704	767034	566603	708957	1.24606e+06	776014
O14772	FPGT_HUMAN	FPGT	Fucose-1-phosphate guanylyltransferase	294324	321625	330049	250826	270590	248776
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	1.17515e+07	1.25535e+07	1.27986e+07	1.17809e+07	1.20757e+07	1.13652e+07
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	1.85535e+07	1.94551e+07	1.94815e+07	1.82564e+07	1.92001e+07	1.9016e+07
O14777	NDC80_HUMAN	NDC80	Kinetochore protein NDC80 homolog	2.37573e+06	2.6292e+06	1.61784e+06	2.00785e+06	1.6267e+06	1.5816e+06
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	1.23526e+06	1.42975e+06	1.47924e+06	1.44753e+06	1.41949e+06	1.4753e+06
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	3.20125e+06	3.1872e+06	3.3965e+06	3.41536e+06	3.13129e+06	2.73133e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	6.17266e+07	6.3385e+07	6.92334e+07	6.09519e+07	6.26111e+07	6.41213e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	2.19175e+07	2.17952e+07	2.16881e+07	2.14547e+07	2.12523e+07	2.13635e+07
O14832	PAHX_HUMAN	PHYH	Phytanoyl-CoA dioxygenase, peroxisomal		544609		553371		
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	1.39908e+06	1.27835e+06	1.53721e+06	1.20575e+06	1.23678e+06	1.29934e+06
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	2.63118e+06	2.31569e+06	2.58592e+06	2.44541e+06	1.99645e+06	2.56183e+06
O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	3.58545e+07	3.77122e+07	3.44868e+07	3.68838e+07	3.60021e+07	3.69201e+07
O14893	GEMI2_HUMAN	GEMIN2	Gem-associated protein 2	7.74106e+06	6.34076e+06	5.64116e+06	6.93725e+06	5.7791e+06	4.38324e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	1.63922e+06	2.40172e+06	2.0499e+06	2.04669e+06	1.96407e+06	1.87652e+06
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	6.30168e+06	5.98224e+06	6.35865e+06	5.66974e+06	6.26152e+06	5.75152e+06
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	548756	542902	475096	442198	378061	408195
O14925	TIM23_HUMAN	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23	3.35015e+06	3.20112e+06	3.15032e+06	3.34734e+06	2.9318e+06	2.52046e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	1.48734e+07	1.50154e+07	1.54351e+07	1.57398e+07	1.46029e+07	1.42272e+07
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	5.45477e+06	5.26345e+06	5.5328e+06	5.18369e+06	6.23082e+06	5.89894e+06
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	1.65699e+07	1.64203e+07	1.70909e+07	1.73177e+07	1.45142e+07	1.54696e+07
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	2.45696e+07	2.48916e+07	2.3832e+07	2.484e+07	2.51319e+07	2.42958e+07
O14957	QCR10_HUMAN	UQCR11	Cytochrome b-c1 complex subunit 10	1.37844e+06	1.5943e+06	1.33032e+06	1.27413e+06	1.02312e+06	1.34367e+06
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	8.0894e+06	7.14457e+06	7.56386e+06	7.11502e+06	6.61768e+06	7.21091e+06
O14965	AURKA_HUMAN	AURKA	Aurora kinase A	5.09145e+06	5.16769e+06	5.48598e+06	5.02558e+06	5.13077e+06	5.2e+06
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	337455	454429	310251	350747	414702	400046
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	9.59008e+06	9.2817e+06	8.91001e+06	9.28625e+06	8.69454e+06	8.82637e+06
O14975	S27A2_HUMAN	SLC27A2	Very long-chain acyl-CoA synthetase	1.29174e+07	1.34029e+07	1.39472e+07	1.27325e+07	1.29696e+07	1.29033e+07
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	1.17891e+06	1.33842e+06	1.13553e+06	1.26181e+06	1.15364e+06	1.31934e+06
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	4.38083e+07	4.62337e+07	4.82584e+07	4.45609e+07	4.68971e+07	4.73994e+07
O14980	XPO1_HUMAN	XPO1	Exportin-1	1.93777e+07	1.90523e+07	1.8675e+07	1.9013e+07	1.86535e+07	1.88002e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	1.81103e+06	2.12266e+06	1.95476e+06	1.85703e+06	1.93773e+06	1.75904e+06
O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	550166	469023	357093	445384	489789	
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	1.06081e+06	1.08049e+06	1.05277e+06	1.046e+06	1.06234e+06	1.08776e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	7.37078e+06	7.62688e+06	8.1077e+06	7.62064e+06	7.42406e+06	7.49287e+06
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	4.46834e+06	4.28506e+06	4.41491e+06	4.2848e+06	4.19365e+06	3.81788e+06
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	7.55407e+06	7.89411e+06	8.04704e+06	7.72171e+06	7.49892e+06	7.66734e+06
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	1.47521e+06	1.38666e+06	1.34235e+06	1.377e+06	1.40559e+06	1.29417e+06
O15061	SYNEM_HUMAN	SYNM	Synemin	2.95667e+06	3.14657e+06	3.70227e+06	3.35374e+06	3.56035e+06	3.2316e+06
O15066	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B	2.00167e+08	2.11153e+08	2.13594e+08	2.03342e+08	1.62734e+08	1.57012e+08
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	2.23359e+07	2.25927e+07	2.23701e+07	2.14628e+07	2.20238e+07	2.1528e+07
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	3.54018e+06	4.60962e+06	4.0014e+06	4.1245e+06	3.81748e+06	3.65985e+06
O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	1.08156e+06	1.02809e+06	1.20293e+06	968275	1.12262e+06	1.22682e+06
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	710680	649873	814220	546793	638667	660538
