Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\B20190320yix_KRUK_DIA_b6_15.mzML
P31997	CEAM8_HUMAN	CEACAM8	Carcinoembryonic antigen-related cell adhesion molecule 8	1.52857e+07
P32119	PRDX2_HUMAN	PRDX2	Peroxiredoxin-2	1.18257e+08
P32189	GLPK_HUMAN	GK	Glycerol kinase	3.65369e+06
P32246	CCR1_HUMAN	CCR1	C-C chemokine receptor type 1	824651
P32321	DCTD_HUMAN	DCTD	Deoxycytidylate deaminase	1.20282e+07
P32322	P5CR1_HUMAN	PYCR1	Pyrroline-5-carboxylate reductase 1, mitochondrial	3.49008e+07
P32418	NAC1_HUMAN	SLC8A1	Sodium/calcium exchanger 1	2.51043e+06
P32455	GBP1_HUMAN	GBP1	Guanylate-binding protein 1	6.1979e+07
P32456	GBP2_HUMAN	GBP2	Guanylate-binding protein 2	3.04297e+07
P32519	ELF1_HUMAN	ELF1	ETS-related transcription factor Elf-1	1.24736e+07
P32929	CGL_HUMAN	CTH	Cystathionine gamma-lyase	1.16753e+06
P32942	ICAM3_HUMAN	ICAM3	Intercellular adhesion molecule 3	5.73502e+06
P32969	RL9_HUMAN	RPL9	Large ribosomal subunit protein uL6	1.58593e+08
P33121	ACSL1_HUMAN	ACSL1	Long-chain-fatty-acid--CoA ligase 1	2.52457e+07
P33151	CADH5_HUMAN	CDH5	Cadherin-5	5.39994e+06
P33176	KINH_HUMAN	KIF5B	Kinesin-1 heavy chain	5.76796e+07
P33240	CSTF2_HUMAN	CSTF2	Cleavage stimulation factor subunit 2	2.77504e+07
P33241	LSP1_HUMAN	LSP1	Lymphocyte-specific protein 1	4.28437e+07
P33316	DUT_HUMAN	DUT	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	1.11023e+07
P33527	MRP1_HUMAN	ABCC1	Multidrug resistance-associated protein 1	6.3965e+06
P33897	ABCD1_HUMAN	ABCD1	ATP-binding cassette sub-family D member 1	1.04533e+07
P33908	MA1A1_HUMAN	MAN1A1	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	5.11505e+06
P33991	MCM4_HUMAN	MCM4	DNA replication licensing factor MCM4	2.59304e+07
P33992	MCM5_HUMAN	MCM5	DNA replication licensing factor MCM5	3.65966e+07
P33993	MCM7_HUMAN	MCM7	DNA replication licensing factor MCM7	4.67908e+07
P34059	GALNS_HUMAN	GALNS	N-acetylgalactosamine-6-sulfatase	4.74286e+06
P34096	RNAS4_HUMAN	RNASE4	Ribonuclease 4	1.19842e+06
P34741	SDC2_HUMAN	SDC2	Syndecan-2	450449
P34896	GLYC_HUMAN	SHMT1	Serine hydroxymethyltransferase, cytosolic	8.55694e+06
P34897	GLYM_HUMAN	SHMT2	Serine hydroxymethyltransferase, mitochondrial	7.82104e+07
P34910	EVI2B_HUMAN	EVI2B	Protein EVI2B	6.2456e+06
P34913	HYES_HUMAN	EPHX2	Bifunctional epoxide hydrolase 2	6.11693e+06
P34931	HS71L_HUMAN	HSPA1L	Heat shock 70 kDa protein 1-like	8.83953e+08
P34932	HSP74_HUMAN	HSPA4	Heat shock 70 kDa protein 4	4.4135e+07
P34949	MPI_HUMAN	MPI	Mannose-6-phosphate isomerase	7.62355e+06
P35052	GPC1_HUMAN	GPC1	Glypican-1	1.65563e+07
P35080	PROF2_HUMAN	PFN2	Profilin-2	8.01492e+07
P35219	CAH8_HUMAN	CA8	Carbonic anhydrase-related protein	7.50795e+06
P35221	CTNA1_HUMAN	CTNNA1	Catenin alpha-1	3.24944e+07
P35222	CTNB1_HUMAN	CTNNB1	Catenin beta-1	1.80856e+07
P35226	BMI1_HUMAN	BMI1	Polycomb complex protein BMI-1	8.74991e+06
P35232	PHB1_HUMAN	PHB1	Prohibitin 1	2.06312e+08
P35237	SPB6_HUMAN	SERPINB6	Serpin B6	1.00693e+08
P35241	RADI_HUMAN	RDX	Radixin	2.09791e+07
P35244	RFA3_HUMAN	RPA3	Replication protein A 14 kDa subunit	3.51283e+07
P35249	RFC4_HUMAN	RFC4	Replication factor C subunit 4	1.51186e+07
P35250	RFC2_HUMAN	RFC2	Replication factor C subunit 2	2.04176e+07
P35251	RFC1_HUMAN	RFC1	Replication factor C subunit 1	4.0389e+06
P35268	RL22_HUMAN	RPL22	Large ribosomal subunit protein eL22	3.43922e+08
P35269	T2FA_HUMAN	GTF2F1	General transcription factor IIF subunit 1	5.14496e+06
P35270	SPRE_HUMAN	SPR	Sepiapterin reductase	3.79481e+07
P35442	TSP2_HUMAN	THBS2	Thrombospondin-2	9.20504e+06
P35443	TSP4_HUMAN	THBS4	Thrombospondin-4	5.80921e+06
P35527	K1C9_HUMAN	KRT9	Keratin, type I cytoskeletal 9	1.21102e+08
P35555	FBN1_HUMAN	FBN1	Fibrillin-1	7.80142e+08
P35557	HXK4_HUMAN	GCK	Hexokinase-4	1.36588e+06
P35568	IRS1_HUMAN	IRS1	Insulin receptor substrate 1	9.86317e+06
P35573	GDE_HUMAN	AGL	Glycogen debranching enzyme	4.10628e+07
P35579	MYH9_HUMAN	MYH9	Myosin-9	7.15978e+08
P35580	MYH10_HUMAN	MYH10	Myosin-10	4.68107e+07
P35606	COPB2_HUMAN	COPB2	Coatomer subunit beta'	5.63776e+07
P35609	ACTN2_HUMAN	ACTN2	Alpha-actinin-2	1.04312e+07
P35610	SOAT1_HUMAN	SOAT1	Sterol O-acyltransferase 1	4.95588e+06
P35611	ADDA_HUMAN	ADD1	Alpha-adducin	3.39428e+07
P35613	BASI_HUMAN	BSG	Basigin	3.78421e+07
P35637	FUS_HUMAN	FUS	RNA-binding protein FUS	2.09162e+08
P35658	NU214_HUMAN	NUP214	Nuclear pore complex protein Nup214	1.2056e+07
P35659	DEK_HUMAN	DEK	Protein DEK	5.97669e+07
P35749	MYH11_HUMAN	MYH11	Myosin-11	1.16574e+08
P35754	GLRX1_HUMAN	GLRX	Glutaredoxin-1	1.19307e+07
P35813	PPM1A_HUMAN	PPM1A	Protein phosphatase 1A	2.00207e+07
P35858	ALS_HUMAN	IGFALS	Insulin-like growth factor-binding protein complex acid labile subunit	3.07833e+06
P35869	AHR_HUMAN	AHR	Aryl hydrocarbon receptor	2.72536e+06
P35908	K22E_HUMAN	KRT2	Keratin, type II cytoskeletal 2 epidermal	3.55881e+07
P35914	HMGCL_HUMAN	HMGCL	Hydroxymethylglutaryl-CoA lyase, mitochondrial	1.56009e+07
P35916	VGFR3_HUMAN	FLT4	Vascular endothelial growth factor receptor 3	6.25329e+06
P35998	PRS7_HUMAN	PSMC2	26S proteasome regulatory subunit 7	5.6089e+07
P36222	CH3L1_HUMAN	CHI3L1	Chitinase-3-like protein 1	3.42513e+06
P36269	GGT5_HUMAN	GGT5	Glutathione hydrolase 5 proenzyme	7.75089e+07
P36404	ARL2_HUMAN	ARL2	ADP-ribosylation factor-like protein 2	5.95195e+06
P36405	ARL3_HUMAN	ARL3	ADP-ribosylation factor-like protein 3	2.76604e+07
P36507	MP2K2_HUMAN	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2	2.83963e+07
P36542	ATPG_HUMAN	ATP5F1C	ATP synthase subunit gamma, mitochondrial	1.34392e+08
P36543	VATE1_HUMAN	ATP6V1E1	V-type proton ATPase subunit E 1	3.19089e+07
P36551	HEM6_HUMAN	CPOX	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	1.77618e+07
P36578	RL4_HUMAN	RPL4	Large ribosomal subunit protein uL4	2.10998e+08
P36776	LONM_HUMAN	LONP1	Lon protease homolog, mitochondrial	2.46145e+07
P36871	PGM1_HUMAN	PGM1	Phosphoglucomutase-1	5.43173e+07
P36873	PP1G_HUMAN	PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	1.92351e+07
P36915	GNL1_HUMAN	GNL1	Guanine nucleotide-binding protein-like 1	1.82614e+07
P36952	SPB5_HUMAN	SERPINB5	Serpin B5	1.1586e+07
P36954	RPB9_HUMAN	POLR2I	DNA-directed RNA polymerase II subunit RPB9	3.74779e+06
P36955	PEDF_HUMAN	SERPINF1	Pigment epithelium-derived factor	2.35396e+07
P36957	ODO2_HUMAN	DLST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	1.3736e+08
P36959	GMPR1_HUMAN	GMPR	GMP reductase 1	172329
P36969	GPX4_HUMAN	GPX4	Phospholipid hydroperoxide glutathione peroxidase	1.14936e+07
P37059	DHB2_HUMAN	HSD17B2	17-beta-hydroxysteroid dehydrogenase type 2	6.15561e+07
P37108	SRP14_HUMAN	SRP14	Signal recognition particle 14 kDa protein	9.53838e+07
P37198	NUP62_HUMAN	NUP62	Nuclear pore glycoprotein p62	1.15236e+07
P37235	HPCL1_HUMAN	HPCAL1	Hippocalcin-like protein 1	1.42383e+07
P37268	FDFT_HUMAN	FDFT1	Squalene synthase	7.05123e+06
P37802	TAGL2_HUMAN	TAGLN2	Transgelin-2	1.4134e+09
P37837	TALDO_HUMAN	TALDO1	Transaldolase	1.5175e+08
P38117	ETFB_HUMAN	ETFB	Electron transfer flavoprotein subunit beta	9.03871e+07
P38159	RBMX_HUMAN	RBMX	RNA-binding motif protein, X chromosome	2.44521e+08
P38571	LICH_HUMAN	LIPA	Lysosomal acid lipase/cholesteryl ester hydrolase	1.02834e+07
P38606	VATA_HUMAN	ATP6V1A	V-type proton ATPase catalytic subunit A	8.17424e+07
P38646	GRP75_HUMAN	HSPA9	Stress-70 protein, mitochondrial	2.12951e+08
P38919	IF4A3_HUMAN	EIF4A3	Eukaryotic initiation factor 4A-III	1.09446e+08
P38935	SMBP2_HUMAN	IGHMBP2	DNA-binding protein SMUBP-2	7.30251e+07
P39019	RS19_HUMAN	RPS19	Small ribosomal subunit protein eS19	1.87556e+08
P39023	RL3_HUMAN	RPL3	Large ribosomal subunit protein uL3	1.90763e+08
P39059	COFA1_HUMAN	COL15A1	Collagen alpha-1(XV) chain	5.40248e+07
P39060	COIA1_HUMAN	COL18A1	Collagen alpha-1(XVIII) chain	1.60453e+08
P39656	OST48_HUMAN	DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	1.37132e+08
P39687	AN32A_HUMAN	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A	1.25978e+08
P39748	FEN1_HUMAN	FEN1	Flap endonuclease 1	1.66265e+07
P39880	CUX1_HUMAN	CUX1	Homeobox protein cut-like 1	1.01298e+07
P40121	CAPG_HUMAN	CAPG	Macrophage-capping protein	1.20591e+08
P40123	CAP2_HUMAN	CAP2	Adenylyl cyclase-associated protein 2	8.97619e+06
P40189	IL6RB_HUMAN	IL6ST	Interleukin-6 receptor subunit beta	4.73046e+07
P40199	CEAM6_HUMAN	CEACAM6	Carcinoembryonic antigen-related cell adhesion molecule 6	8.03702e+07
P40222	TXLNA_HUMAN	TXLNA	Alpha-taxilin	2.16408e+07
P40227	TCPZ_HUMAN	CCT6A	T-complex protein 1 subunit zeta	9.54573e+07
P40261	NNMT_HUMAN	NNMT	Nicotinamide N-methyltransferase	9.39424e+07
P40306	PSB10_HUMAN	PSMB10	Proteasome subunit beta type-10	2.53501e+07
P40424	PBX1_HUMAN	PBX1	Pre-B-cell leukemia transcription factor 1	1.42179e+07
P40429	RL13A_HUMAN	RPL13A	Large ribosomal subunit protein uL13	1.93743e+08
P40616	ARL1_HUMAN	ARL1	ADP-ribosylation factor-like protein 1	6.36423e+07
P40763	STAT3_HUMAN	STAT3	Signal transducer and activator of transcription 3	3.79531e+07
P40818	UBP8_HUMAN	USP8	Ubiquitin carboxyl-terminal hydrolase 8	6.51551e+06
P40855	PEX19_HUMAN	PEX19	Peroxisomal biogenesis factor 19	5.48605e+06
P40925	MDHC_HUMAN	MDH1	Malate dehydrogenase, cytoplasmic	1.32689e+08
P40926	MDHM_HUMAN	MDH2	Malate dehydrogenase, mitochondrial	2.53139e+08
P40937	RFC5_HUMAN	RFC5	Replication factor C subunit 5	4.50519e+06
P40938	RFC3_HUMAN	RFC3	Replication factor C subunit 3	2.50296e+06
P40939	ECHA_HUMAN	HADHA	Trifunctional enzyme subunit alpha, mitochondrial	7.51356e+09
P41091	IF2G_HUMAN	EIF2S3	Eukaryotic translation initiation factor 2 subunit 3	6.66908e+07
P41208	CETN2_HUMAN	CETN2	Centrin-2	6.98634e+06
P41212	ETV6_HUMAN	ETV6	Transcription factor ETV6	2.12373e+07
P41214	EIF2D_HUMAN	EIF2D	Eukaryotic translation initiation factor 2D	1.16618e+07
P41218	MNDA_HUMAN	MNDA	Myeloid cell nuclear differentiation antigen	4.33692e+07
P41219	PERI_HUMAN	PRPH	Peripherin	1.46672e+07
P41221	WNT5A_HUMAN	WNT5A	Protein Wnt-5a	1.50557e+06
P41223	BUD31_HUMAN	BUD31	Protein BUD31 homolog	2.10338e+07
P41226	UBA7_HUMAN	UBA7	Ubiquitin-like modifier-activating enzyme 7	1.56716e+07
P41227	NAA10_HUMAN	NAA10	N-alpha-acetyltransferase 10	1.94026e+07
P41236	IPP2_HUMAN	PPP1R2	Protein phosphatase inhibitor 2	8.20242e+06
P41240	CSK_HUMAN	CSK	Tyrosine-protein kinase CSK	1.97481e+07
P41250	GARS_HUMAN	GARS1	Glycine--tRNA ligase	3.13878e+07
P41252	SYIC_HUMAN	IARS1	Isoleucine--tRNA ligase, cytoplasmic	4.37853e+07
P41567	EIF1_HUMAN	EIF1	Eukaryotic translation initiation factor 1	5.99374e+07
P41743	KPCI_HUMAN	PRKCI	Protein kinase C iota type	1.57224e+07
P42025	ACTY_HUMAN	ACTR1B	Beta-centractin	7.0425e+06
P42081	CD86_HUMAN	CD86	T-lymphocyte activation antigen CD86	2.46174e+06
P42126	ECI1_HUMAN	ECI1	Enoyl-CoA delta isomerase 1, mitochondrial	5.54998e+07
P42166	LAP2A_HUMAN	TMPO	Lamina-associated polypeptide 2, isoform alpha	1.44596e+07
P42167	LAP2B_HUMAN	TMPO	Lamina-associated polypeptide 2, isoforms beta/gamma	9.18084e+07
P42224	STAT1_HUMAN	STAT1	Signal transducer and activator of transcription 1-alpha/beta	8.07085e+07
P42226	STAT6_HUMAN	STAT6	Signal transducer and activator of transcription 6	1.15251e+07
P42229	STA5A_HUMAN	STAT5A	Signal transducer and activator of transcription 5A	1.73353e+06
P42285	MTREX_HUMAN	MTREX	Exosome RNA helicase MTR4	6.13394e+07
P42330	AK1C3_HUMAN	AKR1C3	Aldo-keto reductase family 1 member C3	2.57029e+08
P42331	RHG25_HUMAN	ARHGAP25	Rho GTPase-activating protein 25	8.53456e+06
P42336	PK3CA_HUMAN	PIK3CA	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform	2.38774e+06
P42338	PK3CB_HUMAN	PIK3CB	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform	713414
P42345	MTOR_HUMAN	MTOR	Serine/threonine-protein kinase mTOR	1.34395e+07
P42356	PI4KA_HUMAN	PI4KA	Phosphatidylinositol 4-kinase alpha	9.09346e+06
P42566	EPS15_HUMAN	EPS15	Epidermal growth factor receptor substrate 15	1.81299e+07
P42574	CASP3_HUMAN	CASP3	Caspase-3	2.21071e+07
P42677	RS27_HUMAN	RPS27	Small ribosomal subunit protein eS27	8.44497e+07
P42685	FRK_HUMAN	FRK	Tyrosine-protein kinase FRK	3.1039e+06
P42694	HELZ_HUMAN	HELZ	Probable helicase with zinc finger domain	2.72378e+07
P42696	RBM34_HUMAN	RBM34	RNA-binding protein 34	1.22166e+06
P42704	LPPRC_HUMAN	LRPPRC	Leucine-rich PPR motif-containing protein, mitochondrial	1.0351e+08
P42765	THIM_HUMAN	ACAA2	3-ketoacyl-CoA thiolase, mitochondrial	6.65892e+07
P42766	RL35_HUMAN	RPL35	Large ribosomal subunit protein uL29	2.39553e+08
P42768	WASP_HUMAN	WAS	Actin nucleation-promoting factor WAS	7.19821e+06
P42771	CDN2A_HUMAN	CDKN2A	Cyclin-dependent kinase inhibitor 2A	1.28229e+06
P42785	PCP_HUMAN	PRCP	Lysosomal Pro-X carboxypeptidase	3.04182e+06
P42858	HD_HUMAN	HTT	Huntingtin	6.91863e+06
P42892	ECE1_HUMAN	ECE1	Endothelin-converting enzyme 1	6.57017e+06
P43007	SATT_HUMAN	SLC1A4	Neutral amino acid transporter A	2.53785e+06
P43034	LIS1_HUMAN	PAFAH1B1	Platelet-activating factor acetylhydrolase IB subunit beta	3.71305e+07
P43121	MUC18_HUMAN	MCAM	Cell surface glycoprotein MUC18	4.85782e+07
P43155	CACP_HUMAN	CRAT	Carnitine O-acetyltransferase	2.57637e+06
P43243	MATR3_HUMAN	MATR3	Matrin-3	8.50481e+07
P43246	MSH2_HUMAN	MSH2	DNA mismatch repair protein Msh2	1.38564e+07
P43251	BTD_HUMAN	BTD	Biotinidase	2.64076e+06
P43304	GPDM_HUMAN	GPD2	Glycerol-3-phosphate dehydrogenase, mitochondrial	2.82108e+07
P43307	SSRA_HUMAN	SSR1	Translocon-associated protein subunit alpha	7.45957e+07
P43405	KSYK_HUMAN	SYK	Tyrosine-protein kinase SYK	8.06945e+06
P43487	RANG_HUMAN	RANBP1	Ran-specific GTPase-activating protein	1.66956e+08
P43490	NAMPT_HUMAN	NAMPT	Nicotinamide phosphoribosyltransferase	4.42583e+07
P43686	PRS6B_HUMAN	PSMC4	26S proteasome regulatory subunit 6B	4.50448e+07
P43694	GATA4_HUMAN	GATA4	Transcription factor GATA-4	1.73531e+06
P43897	EFTS_HUMAN	TSFM	Elongation factor Ts, mitochondrial	1.061e+07
P45378	TNNT3_HUMAN	TNNT3	Troponin T, fast skeletal muscle	1.88077e+07
P45844	ABCG1_HUMAN	ABCG1	ATP-binding cassette sub-family G member 1	1.54979e+06
P45877	PPIC_HUMAN	PPIC	Peptidyl-prolyl cis-trans isomerase C	1.18088e+07
P45880	VDAC2_HUMAN	VDAC2	Voltage-dependent anion-selective channel protein 2	1.64443e+08
P45954	ACDSB_HUMAN	ACADSB	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	1.30837e+07
P45973	CBX5_HUMAN	CBX5	Chromobox protein homolog 5	1.52379e+07
P45974	UBP5_HUMAN	USP5	Ubiquitin carboxyl-terminal hydrolase 5	3.43555e+07
P45984	MK09_HUMAN	MAPK9	Mitogen-activated protein kinase 9	4.57246e+06
P46013	KI67_HUMAN	MKI67	Proliferation marker protein Ki-67	4.55249e+07
P46019	KPB2_HUMAN	PHKA2	Phosphorylase b kinase regulatory subunit alpha, liver isoform	2.69104e+06
P46060	RAGP1_HUMAN	RANGAP1	Ran GTPase-activating protein 1	4.82094e+07
P46063	RECQ1_HUMAN	RECQL	ATP-dependent DNA helicase Q1	2.30869e+07
P46087	NOP2_HUMAN	NOP2	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase	1.69677e+07
P46100	ATRX_HUMAN	ATRX	Transcriptional regulator ATRX	4.48474e+06
P46108	CRK_HUMAN	CRK	Adapter molecule crk	2.30553e+07
P46109	CRKL_HUMAN	CRKL	Crk-like protein	3.76646e+07
P46199	IF2M_HUMAN	MTIF2	Translation initiation factor IF-2, mitochondrial	9.29753e+06
P46379	BAG6_HUMAN	BAG6	Large proline-rich protein BAG6	1.65693e+07
P46459	NSF_HUMAN	NSF	Vesicle-fusing ATPase	4.30526e+07
P46527	CDN1B_HUMAN	CDKN1B	Cyclin-dependent kinase inhibitor 1B	2.95204e+06
P46734	MP2K3_HUMAN	MAP2K3	Dual specificity mitogen-activated protein kinase kinase 3	9.32995e+06
P46736	BRCC3_HUMAN	BRCC3	Lys-63-specific deubiquitinase BRCC36	1.04954e+07
P46776	RL27A_HUMAN	RPL27A	Large ribosomal subunit protein uL15	3.55796e+08
P46777	RL5_HUMAN	RPL5	Large ribosomal subunit protein uL18	1.13332e+08
P46778	RL21_HUMAN	RPL21	Large ribosomal subunit protein eL21	2.6493e+08
P46779	RL28_HUMAN	RPL28	Large ribosomal subunit protein eL28	1.16203e+08
P46781	RS9_HUMAN	RPS9	Small ribosomal subunit protein uS4	3.07669e+08
P46782	RS5_HUMAN	RPS5	Small ribosomal subunit protein uS7	5.1853e+07
P46783	RS10_HUMAN	RPS10	Small ribosomal subunit protein eS10	1.78821e+08
P46821	MAP1B_HUMAN	MAP1B	Microtubule-associated protein 1B	8.11366e+06
P46926	GNPI1_HUMAN	GNPDA1	Glucosamine-6-phosphate isomerase 1	4.30934e+07
P46937	YAP1_HUMAN	YAP1	Transcriptional coactivator YAP1	1.50126e+07
P46939	UTRN_HUMAN	UTRN	Utrophin	1.82111e+08
P46940	IQGA1_HUMAN	IQGAP1	Ras GTPase-activating-like protein IQGAP1	1.91273e+08
P46952	3HAO_HUMAN	HAAO	3-hydroxyanthranilate 3,4-dioxygenase	8.85396e+06
P46976	GLYG_HUMAN	GYG1	Glycogenin-1	3.94163e+07
P46977	STT3A_HUMAN	STT3A	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	4.98635e+07
P47224	MSS4_HUMAN	RABIF	Guanine nucleotide exchange factor MSS4	6.8394e+06
P47712	PA24A_HUMAN	PLA2G4A	Cytosolic phospholipase A2	4.09521e+06
P47736	RPGP1_HUMAN	RAP1GAP	Rap1 GTPase-activating protein 1	1.38572e+07
P47755	CAZA2_HUMAN	CAPZA2	F-actin-capping protein subunit alpha-2	6.1611e+07
P47756	CAPZB_HUMAN	CAPZB	F-actin-capping protein subunit beta	1.1788e+08
P47813	IF1AX_HUMAN	EIF1AX	Eukaryotic translation initiation factor 1A, X-chromosomal	1.86747e+07
P47895	AL1A3_HUMAN	ALDH1A3	Retinaldehyde dehydrogenase 3	1.72048e+07
P47897	SYQ_HUMAN	QARS1	Glutamine--tRNA ligase	4.48201e+07
P47914	RL29_HUMAN	RPL29	Large ribosomal subunit protein eL29	1.47887e+08
P47929	LEG7_HUMAN	LGALS7	Galectin-7	2.51514e+06
P47985	UCRI_HUMAN	UQCRFS1	Cytochrome b-c1 complex subunit Rieske, mitochondrial	1.70189e+08
P48047	ATPO_HUMAN	ATP5PO	ATP synthase subunit O, mitochondrial	1.61304e+08
P48059	LIMS1_HUMAN	LIMS1	LIM and senescent cell antigen-like-containing domain protein 1	1.93722e+07
P48147	PPCE_HUMAN	PREP	Prolyl endopeptidase	1.3566e+07
P48163	MAOX_HUMAN	ME1	NADP-dependent malic enzyme	1.69365e+07
P48200	IREB2_HUMAN	IREB2	Iron-responsive element-binding protein 2	2.41349e+06
P48380	RFX3_HUMAN	RFX3	Transcription factor RFX3	992195
P48382	RFX5_HUMAN	RFX5	DNA-binding protein RFX5	3.69351e+06
P48426	PI42A_HUMAN	PIP4K2A	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha	1.37063e+07
P48431	SOX2_HUMAN	SOX2	Transcription factor SOX-2	4.70425e+06
P48444	COPD_HUMAN	ARCN1	Coatomer subunit delta	4.44838e+07
P48449	LSS_HUMAN	LSS	Lanosterol synthase	5.87695e+06
P48506	GSH1_HUMAN	GCLC	Glutamate--cysteine ligase catalytic subunit	1.77134e+07
P48507	GSH0_HUMAN	GCLM	Glutamate--cysteine ligase regulatory subunit	9.00098e+06
P48553	TPC10_HUMAN	TRAPPC10	Trafficking protein particle complex subunit 10	2.07894e+06
P48556	PSMD8_HUMAN	PSMD8	26S proteasome non-ATPase regulatory subunit 8	2.59088e+07
P48595	SPB10_HUMAN	SERPINB10	Serpin B10	3.61145e+06
P48634	PRC2A_HUMAN	PRRC2A	Protein PRRC2A	9.63793e+06
P48637	GSHB_HUMAN	GSS	Glutathione synthetase	2.04458e+08
P48643	TCPE_HUMAN	CCT5	T-complex protein 1 subunit epsilon	9.69681e+08
P48681	NEST_HUMAN	NES	Nestin	1.69837e+07
P48723	HSP13_HUMAN	HSPA13	Heat shock 70 kDa protein 13	4.46462e+06
P48729	KC1A_HUMAN	CSNK1A1	Casein kinase I isoform alpha	1.4551e+07
P48730	KC1D_HUMAN	CSNK1D	Casein kinase I isoform delta	1.02135e+07
P48735	IDHP_HUMAN	IDH2	Isocitrate dehydrogenase [NADP], mitochondrial	2.27611e+08
P48739	PIPNB_HUMAN	PITPNB	Phosphatidylinositol transfer protein beta isoform	3.04881e+07
P48960	AGRE5_HUMAN	ADGRE5	Adhesion G protein-coupled receptor E5	1.70665e+07
P49005	DPOD2_HUMAN	POLD2	DNA polymerase delta subunit 2	7.59787e+06
P49006	MRP_HUMAN	MARCKSL1	MARCKS-related protein	5.22213e+07
P49023	PAXI_HUMAN	PXN	Paxillin	1.22726e+07
P49069	CAMLG_HUMAN	CAMLG	Guided entry of tail-anchored proteins factor CAMLG	1.25478e+06
P49116	NR2C2_HUMAN	NR2C2	Nuclear receptor subfamily 2 group C member 2	302000
P49137	MAPK2_HUMAN	MAPKAPK2	MAP kinase-activated protein kinase 2	1.39408e+07
P49189	AL9A1_HUMAN	ALDH9A1	4-trimethylaminobutyraldehyde dehydrogenase	7.47961e+07
P49207	RL34_HUMAN	RPL34	Large ribosomal subunit protein eL34	2.18251e+08
P49247	RPIA_HUMAN	RPIA	Ribose-5-phosphate isomerase	2.75976e+07
P49257	LMAN1_HUMAN	LMAN1	Protein ERGIC-53	9.02447e+07
P49321	NASP_HUMAN	NASP	Nuclear autoantigenic sperm protein	4.23137e+08
P49326	FMO5_HUMAN	FMO5	Flavin-containing monooxygenase 5	2.6401e+06
P49327	FAS_HUMAN	FASN	Fatty acid synthase	8.77537e+07
P49354	FNTA_HUMAN	FNTA	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	1.51054e+07
P49356	FNTB_HUMAN	FNTB	Protein farnesyltransferase subunit beta	4.85588e+06
P49368	TCPG_HUMAN	CCT3	T-complex protein 1 subunit gamma	1.06254e+08
P49406	RM19_HUMAN	MRPL19	Large ribosomal subunit protein bL19m	1.2749e+07
P49407	ARRB1_HUMAN	ARRB1	Beta-arrestin-1	1.65993e+07
P49411	EFTU_HUMAN	TUFM	Elongation factor Tu, mitochondrial	1.53717e+08
P49419	AL7A1_HUMAN	ALDH7A1	Alpha-aminoadipic semialdehyde dehydrogenase	5.78148e+07
P49441	INPP_HUMAN	INPP1	Inositol polyphosphate 1-phosphatase	1.15396e+07
P49448	DHE4_HUMAN	GLUD2	Glutamate dehydrogenase 2, mitochondrial	6.60988e+06
P49458	SRP09_HUMAN	SRP9	Signal recognition particle 9 kDa protein	5.56321e+07
P49585	PCY1A_HUMAN	PCYT1A	Choline-phosphate cytidylyltransferase A	4.91625e+07
P49588	SYAC_HUMAN	AARS1	Alanine--tRNA ligase, cytoplasmic	5.67788e+07
P49589	SYCC_HUMAN	CARS1	Cysteine--tRNA ligase, cytoplasmic	3.30394e+07
P49590	SYHM_HUMAN	HARS2	Histidine--tRNA ligase, mitochondrial	3.18254e+06
P49591	SYSC_HUMAN	SARS1	Serine--tRNA ligase, cytoplasmic	2.57931e+07
P49593	PPM1F_HUMAN	PPM1F	Protein phosphatase 1F	2.08084e+07
P49641	MA2A2_HUMAN	MAN2A2	Alpha-mannosidase 2x	937974
P49642	PRI1_HUMAN	PRIM1	DNA primase small subunit	5.15828e+06
P49720	PSB3_HUMAN	PSMB3	Proteasome subunit beta type-3	5.94081e+07
P49721	PSB2_HUMAN	PSMB2	Proteasome subunit beta type-2	7.49732e+07
P49736	MCM2_HUMAN	MCM2	DNA replication licensing factor MCM2	2.67972e+07
P49746	TSP3_HUMAN	THBS3	Thrombospondin-3	1.24899e+07
P49747	COMP_HUMAN	COMP	Cartilage oligomeric matrix protein	9.19902e+06
P49748	ACADV_HUMAN	ACADVL	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial	5.39503e+07
