Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\E20201002yuanch_Connie_TCPA_60minDIA_b4-4.mzML
P09972	ALDOC_HUMAN	ALDOC	Fructose-bisphosphate aldolase C	3.63129e+07
P0C0L5	CO4B_HUMAN	C4B	Complement C4-B	4.0565e+07
P0C0S5	H2AZ_HUMAN	H2AZ1	Histone H2A.Z	2.93919e+08
P0C2W1	FBSP1_HUMAN	FBXO45	F-box/SPRY domain-containing protein 1	2.052e+06
P0CG12	DERPC_HUMAN	DERPC	Decreased expression in renal and prostate cancer protein	1.08461e+07
P0CG29	GST2_HUMAN	GSTT2	Glutathione S-transferase theta-2	8.43352e+06
P0CG38	POTEI_HUMAN	POTEI	POTE ankyrin domain family member I	5.93601e+08
P0DMV8	HS71A_HUMAN	HSPA1A	Heat shock 70 kDa protein 1A	1.81859e+08
P0DN76				5.02072e+07
P0DOY2	IGLC2_HUMAN	IGLC2	Immunoglobulin lambda constant 2	5.73849e+08
P0DP23	CALM1_HUMAN	CALM1	Calmodulin-1	7.26905e+08
P0DPB6	RPAC2_HUMAN	POLR1D	DNA-directed RNA polymerases I and III subunit RPAC2	3.469e+07
P10155	RO60_HUMAN	RO60	RNA-binding protein RO60	7.259e+07
P10244	MYBB_HUMAN	MYBL2	Myb-related protein B	1.05688e+07
P10253	LYAG_HUMAN	GAA	Lysosomal alpha-glucosidase	1.6992e+08
P10301	RRAS_HUMAN	RRAS	Ras-related protein R-Ras	1.18909e+07
P10321	HLAC_HUMAN	HLA-C	HLA class I histocompatibility antigen, C alpha chain	9.2721e+06
P10398	ARAF_HUMAN	ARAF	Serine/threonine-protein kinase A-Raf	4.10235e+06
P10412	H14_HUMAN	H1-4	Histone H1.4	4.14591e+09
P10515	ODP2_HUMAN	DLAT	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	5.72848e+07
P10586	PTPRF_HUMAN	PTPRF	Receptor-type tyrosine-protein phosphatase F	5.39312e+06
P10599	THIO_HUMAN	TXN	Thioredoxin	4.2366e+08
P10600	TGFB3_HUMAN	TGFB3	Transforming growth factor beta-3 proprotein	6.62499e+06
P10606	COX5B_HUMAN	COX5B	Cytochrome c oxidase subunit 5B, mitochondrial	3.01001e+07
P10619	PPGB_HUMAN	CTSA	Lysosomal protective protein	9.01029e+06
P10643	CO7_HUMAN	C7	Complement component C7	7.48313e+06
P10644	KAP0_HUMAN	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit	3.25598e+07
P10768	ESTD_HUMAN	ESD	S-formylglutathione hydrolase	1.31003e+08
P10809	CH60_HUMAN	HSPD1	60 kDa heat shock protein, mitochondrial	4.75761e+08
P10909	CLUS_HUMAN	CLU	Clusterin	1.45246e+08
P11021	BIP_HUMAN	HSPA5	Endoplasmic reticulum chaperone BiP	5.50843e+08
P11047	LAMC1_HUMAN	LAMC1	Laminin subunit gamma-1	3.38259e+08
P11117	PPAL_HUMAN	ACP2	Lysosomal acid phosphatase	1.17027e+07
P11137	MTAP2_HUMAN	MAP2	Microtubule-associated protein 2	6.84908e+06
P11142	HSP7C_HUMAN	HSPA8	Heat shock cognate 71 kDa protein	1.24868e+09
P11166	GTR1_HUMAN	SLC2A1	Solute carrier family 2, facilitated glucose transporter member 1	2.51037e+07
P11172	UMPS_HUMAN	UMPS	Uridine 5'-monophosphate synthase	4.04749e+07
P11177	ODPB_HUMAN	PDHB	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	1.12462e+08
P11182	ODB2_HUMAN	DBT	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial	1.83135e+07
P11216	PYGB_HUMAN	PYGB	Glycogen phosphorylase, brain form	1.02971e+08
P11217	PYGM_HUMAN	PYGM	Glycogen phosphorylase, muscle form	3.10031e+06
P11233	RALA_HUMAN	RALA	Ras-related protein Ral-A	1.88374e+08
P11234	RALB_HUMAN	RALB	Ras-related protein Ral-B	1.00354e+07
P11279	LAMP1_HUMAN	LAMP1	Lysosome-associated membrane glycoprotein 1	7.35748e+07
P11310	ACADM_HUMAN	ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	2.9186e+07
P11387	TOP1_HUMAN	TOP1	DNA topoisomerase 1	3.3144e+07
P11388	TOP2A_HUMAN	TOP2A	DNA topoisomerase 2-alpha	1.36404e+07
P11413	G6PD_HUMAN	G6PD	Glucose-6-phosphate 1-dehydrogenase	1.0544e+08
P11441	UBL4A_HUMAN	UBL4A	Ubiquitin-like protein 4A	1.79347e+07
P11498	PYC_HUMAN	PC	Pyruvate carboxylase, mitochondrial	5.01949e+07
P11532	DMD_HUMAN	DMD	Dystrophin	5.39163e+07
P11586	C1TC_HUMAN	MTHFD1	C-1-tetrahydrofolate synthase, cytoplasmic	5.81509e+09
P11717	MPRI_HUMAN	IGF2R	Cation-independent mannose-6-phosphate receptor	3.23537e+07
P11766	ADHX_HUMAN	ADH5	Alcohol dehydrogenase class-3	1.71261e+08
P11802	CDK4_HUMAN	CDK4	Cyclin-dependent kinase 4	8.33934e+06
P11908	PRPS2_HUMAN	PRPS2	Ribose-phosphate pyrophosphokinase 2	1.81588e+07
P11940	PABP1_HUMAN	PABPC1	Polyadenylate-binding protein 1	1.21241e+08
P12004	PCNA_HUMAN	PCNA	Proliferating cell nuclear antigen	5.48754e+07
P12036	NFH_HUMAN	NEFH	Neurofilament heavy polypeptide	2.47347e+07
P12081	HARS1_HUMAN	HARS1	Histidine--tRNA ligase, cytoplasmic	5.069e+07
P12109	CO6A1_HUMAN	COL6A1	Collagen alpha-1(VI) chain	1.33971e+09
P12110	CO6A2_HUMAN	COL6A2	Collagen alpha-2(VI) chain	1.01816e+09
P12111	CO6A3_HUMAN	COL6A3	Collagen alpha-3(VI) chain	1.61772e+09
P12235	ADT1_HUMAN	SLC25A4	ADP/ATP translocase 1	1.3e+07
P12236	ADT3_HUMAN	SLC25A6	ADP/ATP translocase 3	4.91201e+07
P12268	IMDH2_HUMAN	IMPDH2	Inosine-5'-monophosphate dehydrogenase 2	6.51246e+07
P12270	TPR_HUMAN	TPR	Nucleoprotein TPR	1.40939e+08
P12277	KCRB_HUMAN	CKB	Creatine kinase B-type	1.13e+08
P12429	ANXA3_HUMAN	ANXA3	Annexin A3	6.45441e+06
P12694	ODBA_HUMAN	BCKDHA	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	1.9741e+07
P12757	SKIL_HUMAN	SKIL	Ski-like protein	8.17489e+08
P12814	ACTN1_HUMAN	ACTN1	Alpha-actinin-1	1.64561e+08
P12830	CADH1_HUMAN	CDH1	Cadherin-1	2.62455e+06
P12931	SRC_HUMAN	SRC	Proto-oncogene tyrosine-protein kinase Src	1.87102e+07
P12955	PEPD_HUMAN	PEPD	Xaa-Pro dipeptidase	9.4309e+07
P12956	XRCC6_HUMAN	XRCC6	X-ray repair cross-complementing protein 6	1.41349e+08
P13010	XRCC5_HUMAN	XRCC5	X-ray repair cross-complementing protein 5	1.50749e+08
P13073	COX41_HUMAN	COX4I1	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	4.60048e+07
P13284	GILT_HUMAN	IFI30	Gamma-interferon-inducible lysosomal thiol reductase	2.87672e+07
P13473	LAMP2_HUMAN	LAMP2	Lysosome-associated membrane glycoprotein 2	8.80073e+07
P13489	RINI_HUMAN	RNH1	Ribonuclease inhibitor	1.37007e+08
P13497	BMP1_HUMAN	BMP1	Bone morphogenetic protein 1	1.91475e+07
P13591	NCAM1_HUMAN	NCAM1	Neural cell adhesion molecule 1	8.4889e+07
P13611	CSPG2_HUMAN	VCAN	Versican core protein	1.63259e+09
P13612	ITA4_HUMAN	ITGA4	Integrin alpha-4	2.22501e+07
P13639	EF2_HUMAN	EEF2	Elongation factor 2	3.84875e+08
P13645	K1C10_HUMAN	KRT10	Keratin, type I cytoskeletal 10	1.67228e+08
P13647	K2C5_HUMAN	KRT5	Keratin, type II cytoskeletal 5	4.86794e+07
P13667	PDIA4_HUMAN	PDIA4	Protein disulfide-isomerase A4	1.11892e+08
P13671	CO6_HUMAN	C6	Complement component C6	5.10607e+06
P13674	P4HA1_HUMAN	P4HA1	Prolyl 4-hydroxylase subunit alpha-1	7.65024e+07
P13693	TCTP_HUMAN	TPT1	Translationally-controlled tumor protein	7.4249e+07
P13716	HEM2_HUMAN	ALAD	Delta-aminolevulinic acid dehydratase	1.05446e+07
P13796	PLSL_HUMAN	LCP1	Plastin-2	5.16493e+07
P13797	PLST_HUMAN	PLS3	Plastin-3	5.20093e+07
P13798	ACPH_HUMAN	APEH	Acylamino-acid-releasing enzyme	2.10901e+07
P13804	ETFA_HUMAN	ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial	4.0504e+07
P13807	GYS1_HUMAN	GYS1	Glycogen [starch] synthase, muscle	2.12532e+07
P13861	KAP2_HUMAN	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit	2.33272e+07
P13929	ENOB_HUMAN	ENO3	Beta-enolase	3.6117e+07
P13942	COBA2_HUMAN	COL11A2	Collagen alpha-2(XI) chain	1.73751e+08
P13984	T2FB_HUMAN	GTF2F2	General transcription factor IIF subunit 2	1.51244e+07
P13987	CD59_HUMAN	CD59	CD59 glycoprotein	3.42497e+07
P14174	MIF_HUMAN	MIF	Macrophage migration inhibitory factor	1.20166e+08
P14209	CD99_HUMAN	CD99	CD99 antigen	5.72495e+06
P14314	GLU2B_HUMAN	PRKCSH	Glucosidase 2 subunit beta	2.90636e+08
P14316	IRF2_HUMAN	IRF2	Interferon regulatory factor 2	2.94747e+06
P14317	HCLS1_HUMAN	HCLS1	Hematopoietic lineage cell-specific protein	2.12441e+07
P14324	FPPS_HUMAN	FDPS	Farnesyl pyrophosphate synthase	4.26038e+07
P14373	TRI27_HUMAN	TRIM27	Zinc finger protein RFP	2.37083e+06
P14384	CBPM_HUMAN	CPM	Carboxypeptidase M	1.4137e+06
P14406	CX7A2_HUMAN	COX7A2	Cytochrome c oxidase subunit 7A2, mitochondrial	1.83718e+07
P14543	NID1_HUMAN	NID1	Nidogen-1	3.84272e+08
P14550	AK1A1_HUMAN	AKR1A1	Aldo-keto reductase family 1 member A1	3.16746e+08
P14618	KPYM_HUMAN	PKM	Pyruvate kinase PKM	8.98636e+08
P14625	ENPL_HUMAN	HSP90B1	Endoplasmin	5.70933e+08
P14635	CCNB1_HUMAN	CCNB1	G2/mitotic-specific cyclin-B1	676668
P14649	MYL6B_HUMAN	MYL6B	Myosin light chain 6B	3.3445e+07
P14678	RSMB_HUMAN	SNRPB	Small nuclear ribonucleoprotein-associated proteins B and B'	1.47927e+08
P14735	IDE_HUMAN	IDE	Insulin-degrading enzyme	1.37755e+07
P14866	HNRPL_HUMAN	HNRNPL	Heterogeneous nuclear ribonucleoprotein L	1.98342e+08
P14868	SYDC_HUMAN	DARS1	Aspartate--tRNA ligase, cytoplasmic	7.70772e+07
P14923	PLAK_HUMAN	JUP	Junction plakoglobin	2.9785e+07
P14927	QCR7_HUMAN	UQCRB	Cytochrome b-c1 complex subunit 7	1.89454e+07
P15088	CBPA3_HUMAN	CPA3	Mast cell carboxypeptidase A	2.49404e+06
P15090	FABP4_HUMAN	FABP4	Fatty acid-binding protein, adipocyte	6.21225e+07
P15104	GLNA_HUMAN	GLUL	Glutamine synthetase	8.57337e+06
P15121	ALDR_HUMAN	AKR1B1	Aldo-keto reductase family 1 member B1	1.89194e+08
P15144	AMPN_HUMAN	ANPEP	Aminopeptidase N	791197
P15151	PVR_HUMAN	PVR	Poliovirus receptor	4.88944e+06
P15170	ERF3A_HUMAN	GSPT1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	2.20165e+07
P15291	B4GT1_HUMAN	B4GALT1	Beta-1,4-galactosyltransferase 1	3.42105e+06
P15311	EZRI_HUMAN	EZR	Ezrin	9.41388e+07
P15336	ATF2_HUMAN	ATF2	Cyclic AMP-dependent transcription factor ATF-2	1.01165e+07
P15374	UCHL3_HUMAN	UCHL3	Ubiquitin carboxyl-terminal hydrolase isozyme L3	2.18977e+07
P15531	NDKA_HUMAN	NME1	Nucleoside diphosphate kinase A	1.35376e+08
P15586	GNS_HUMAN	GNS	N-acetylglucosamine-6-sulfatase	4.67122e+07
P15848	ARSB_HUMAN	ARSB	Arylsulfatase B	5.14679e+07
P15880	RS2_HUMAN	RPS2	Small ribosomal subunit protein uS5	2.13561e+08
P15882	CHIN_HUMAN	CHN1	N-chimaerin	1.78359e+07
P15884	ITF2_HUMAN	TCF4	Transcription factor 4	7.67711e+06
P15924	DESP_HUMAN	DSP	Desmoplakin	1.0161e+07
P15927	RFA2_HUMAN	RPA2	Replication protein A 32 kDa subunit	2.13602e+07
P16035	TIMP2_HUMAN	TIMP2	Metalloproteinase inhibitor 2	1.22256e+07
P16070	CD44_HUMAN	CD44	CD44 antigen	9.36728e+07
P16083	NQO2_HUMAN	NQO2	Ribosyldihydronicotinamide dehydrogenase [quinone]	1.24274e+07
P16144	ITB4_HUMAN	ITGB4	Integrin beta-4	8.35501e+06
P16152	CBR1_HUMAN	CBR1	Carbonyl reductase [NADPH] 1	7.41071e+07
P16219	ACADS_HUMAN	ACADS	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	1.53054e+07
P16220	CREB1_HUMAN	CREB1	Cyclic AMP-responsive element-binding protein 1	2.98002e+07
P16278	BGAL_HUMAN	GLB1	Beta-galactosidase	1.87116e+07
P16284	PECA1_HUMAN	PECAM1	Platelet endothelial cell adhesion molecule	5.41323e+06
P16298	PP2BB_HUMAN	PPP3CB	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform	2.62201e+07
P16333	NCK1_HUMAN	NCK1	Cytoplasmic protein NCK1	1.90633e+07
P16383	GCFC2_HUMAN	GCFC2	Intron Large complex component GCFC2	6.81237e+08
P16401	H15_HUMAN	H1-5	Histone H1.5	1.25279e+09
P16403	H12_HUMAN	H1-2	Histone H1.2	1.22854e+07
P16435	NCPR_HUMAN	POR	NADPH--cytochrome P450 reductase	4.95119e+07
P16455	MGMT_HUMAN	MGMT	Methylated-DNA--protein-cysteine methyltransferase	1.80166e+07
P16615	AT2A2_HUMAN	ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	5.1163e+07
P16885	PLCG2_HUMAN	PLCG2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	3.00993e+06
P16930	FAAA_HUMAN	FAH	Fumarylacetoacetase	3.85562e+07
P16949	STMN1_HUMAN	STMN1	Stathmin	2.04264e+08
P16989	YBOX3_HUMAN	YBX3	Y-box-binding protein 3	4.34253e+07
P17026	ZNF22_HUMAN	ZNF22	Zinc finger protein 22	2.55834e+07
P17028	ZNF24_HUMAN	ZNF24	Zinc finger protein 24	1.0127e+06
P17029	ZKSC1_HUMAN	ZKSCAN1	Zinc finger protein with KRAB and SCAN domains 1	2.18234e+06
P17050	NAGAB_HUMAN	NAGA	Alpha-N-acetylgalactosaminidase	1.72491e+07
P17096	HMGA1_HUMAN	HMGA1	High mobility group protein HMG-I/HMG-Y	3.41769e+06
P17152	TMM11_HUMAN	TMEM11	Transmembrane protein 11, mitochondrial	1.21652e+07
P17174	AATC_HUMAN	GOT1	Aspartate aminotransferase, cytoplasmic	3.5082e+07
P17252	KPCA_HUMAN	PRKCA	Protein kinase C alpha type	9.64553e+07
P17302	CXA1_HUMAN	GJA1	Gap junction alpha-1 protein	3.52501e+06
P17405	ASM_HUMAN	SMPD1	Sphingomyelin phosphodiesterase	1.65526e+06
P17480	UBF1_HUMAN	UBTF	Nucleolar transcription factor 1	3.61917e+07
P17535	JUND_HUMAN	JUND	Transcription factor JunD	6.62617e+06
P17540	KCRS_HUMAN	CKMT2	Creatine kinase S-type, mitochondrial	5.16491e+06
P17544	ATF7_HUMAN	ATF7	Cyclic AMP-dependent transcription factor ATF-7	1.68345e+07
P17612	KAPCA_HUMAN	PRKACA	cAMP-dependent protein kinase catalytic subunit alpha	2.7281e+07
P17655	CAN2_HUMAN	CAPN2	Calpain-2 catalytic subunit	6.13251e+07
P17661	DESM_HUMAN	DES	Desmin	2.91411e+08
P17693	HLAG_HUMAN	HLA-G	HLA class I histocompatibility antigen, alpha chain G	1.04915e+07
P17706	PTN2_HUMAN	PTPN2	Tyrosine-protein phosphatase non-receptor type 2	3.14369e+07
P17752	TPH1_HUMAN	TPH1	Tryptophan 5-hydroxylase 1	571813
P17812	PYRG1_HUMAN	CTPS1	CTP synthase 1	5.74648e+06
P17813	EGLN_HUMAN	ENG	Endoglin	4.26338e+06
P17844	DDX5_HUMAN	DDX5	Probable ATP-dependent RNA helicase DDX5	1.34628e+08
P17858	PFKAL_HUMAN	PFKL	ATP-dependent 6-phosphofructokinase, liver type	5.88683e+07
P17931	LEG3_HUMAN	LGALS3	Galectin-3	1.13682e+08
P17936	IBP3_HUMAN	IGFBP3	Insulin-like growth factor-binding protein 3	5.79999e+07
P17948	VGFR1_HUMAN	FLT1	Vascular endothelial growth factor receptor 1	1.13546e+09
P17980	PRS6A_HUMAN	PSMC3	26S proteasome regulatory subunit 6A	6.49178e+07
P17987	TCPA_HUMAN	TCP1	T-complex protein 1 subunit alpha	1.33329e+08
P18031	PTN1_HUMAN	PTPN1	Tyrosine-protein phosphatase non-receptor type 1	4.06439e+07
P18065	IBP2_HUMAN	IGFBP2	Insulin-like growth factor-binding protein 2	8.30946e+07
P18074	ERCC2_HUMAN	ERCC2	General transcription and DNA repair factor IIH helicase subunit XPD	8.32413e+06
P18075	BMP7_HUMAN	BMP7	Bone morphogenetic protein 7	757245
P18077	RL35A_HUMAN	RPL35A	Large ribosomal subunit protein eL33	1.50613e+08
P18084	ITB5_HUMAN	ITGB5	Integrin beta-5	9.7115e+06
P18085	ARF4_HUMAN	ARF4	ADP-ribosylation factor 4	3.96268e+07
P18124	RL7_HUMAN	RPL7	Large ribosomal subunit protein uL30	3.00821e+08
P18206	VINC_HUMAN	VCL	Vinculin	1.26893e+08
P18428	LBP_HUMAN	LBP	Lipopolysaccharide-binding protein	7.90054e+06
P18433	PTPRA_HUMAN	PTPRA	Receptor-type tyrosine-protein phosphatase alpha	1.04403e+07
P18583	SON_HUMAN	SON	Protein SON	4.96085e+07
P18615	NELFE_HUMAN	NELFE	Negative elongation factor E	3.40093e+07
P18621	RL17_HUMAN	RPL17	Large ribosomal subunit protein uL22	1.23101e+08
P18669	PGAM1_HUMAN	PGAM1	Phosphoglycerate mutase 1	1.70095e+08
P18754	RCC1_HUMAN	RCC1	Regulator of chromosome condensation	1.86026e+07
P18827	SDC1_HUMAN	SDC1	Syndecan-1	8.55814e+06
P18858	DNLI1_HUMAN	LIG1	DNA ligase 1	7.33968e+06
P18859	ATP5J_HUMAN	ATP5PF	ATP synthase-coupling factor 6, mitochondrial	2.90942e+07
P18887	XRCC1_HUMAN	XRCC1	DNA repair protein XRCC1	1.88071e+07
P19021	AMD_HUMAN	PAM	Peptidyl-glycine alpha-amidating monooxygenase	1.16706e+06
P19174	PLCG1_HUMAN	PLCG1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1	3.69369e+07
P19338	NUCL_HUMAN	NCL	Nucleolin	5.05312e+08
P19367	HXK1_HUMAN	HK1	Hexokinase-1	2.93924e+07
P19387	RPB3_HUMAN	POLR2C	DNA-directed RNA polymerase II subunit RPB3	1.51733e+07
P19388	RPAB1_HUMAN	POLR2E	DNA-directed RNA polymerases I, II, and III subunit RPABC1	1.36147e+07
P19404	NDUV2_HUMAN	NDUFV2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	3.32194e+07
P19447	ERCC3_HUMAN	ERCC3	General transcription and DNA repair factor IIH helicase subunit XPB	2.38563e+06
P19525	E2AK2_HUMAN	EIF2AK2	Interferon-induced, double-stranded RNA-activated protein kinase	3.01736e+07
P19622	HME2_HUMAN	EN2	Homeobox protein engrailed-2	3.14577e+06
P19623	SPEE_HUMAN	SRM	Spermidine synthase	6.02439e+07
P19652	A1AG2_HUMAN	ORM2	Alpha-1-acid glycoprotein 2	9.73656e+07
P19784	CSK22_HUMAN	CSNK2A2	Casein kinase II subunit alpha'	1.72206e+07
P19793	RXRA_HUMAN	RXRA	Retinoic acid receptor RXR-alpha	5.3588e+06
P19823	ITIH2_HUMAN	ITIH2	Inter-alpha-trypsin inhibitor heavy chain H2	9.76496e+07
P19827	ITIH1_HUMAN	ITIH1	Inter-alpha-trypsin inhibitor heavy chain H1	1.35181e+08
P19838	NFKB1_HUMAN	NFKB1	Nuclear factor NF-kappa-B p105 subunit	5.29338e+07
P19971	TYPH_HUMAN	TYMP	Thymidine phosphorylase	2.05841e+07
P20020	AT2B1_HUMAN	ATP2B1	Plasma membrane calcium-transporting ATPase 1	1.75444e+07
P20042	IF2B_HUMAN	EIF2S2	Eukaryotic translation initiation factor 2 subunit 2	3.01243e+07
P20073	ANXA7_HUMAN	ANXA7	Annexin A7	3.90205e+07
P20226	TBP_HUMAN	TBP	TATA-box-binding protein	6.35678e+06
P20231	TRYB2_HUMAN	TPSB2	Tryptase beta-2	9.14018e+06
P20290	BTF3_HUMAN	BTF3	Transcription factor BTF3	2.80377e+07
P20338	RAB4A_HUMAN	RAB4A	Ras-related protein Rab-4A	1.59554e+07
P20339	RAB5A_HUMAN	RAB5A	Ras-related protein Rab-5A	1.45283e+07
P20340	RAB6A_HUMAN	RAB6A	Ras-related protein Rab-6A	3.3893e+07
P20585	MSH3_HUMAN	MSH3	DNA mismatch repair protein Msh3	2.03503e+06
P20618	PSB1_HUMAN	PSMB1	Proteasome subunit beta type-1	8.36648e+07
P20671	H2A1D_HUMAN	H2AC7	Histone H2A type 1-D	2.02773e+06
P20674	COX5A_HUMAN	COX5A	Cytochrome c oxidase subunit 5A, mitochondrial	1.46842e+08
P20700	LMNB1_HUMAN	LMNB1	Lamin-B1	2.2075e+08
P20774	MIME_HUMAN	OGN	Mimecan	2.59185e+08
P20810	ICAL_HUMAN	CAST	Calpastatin	8.74316e+07
P20908	CO5A1_HUMAN	COL5A1	Collagen alpha-1(V) chain	2.42569e+08
P20916	MAG_HUMAN	MAG	Myelin-associated glycoprotein	8.41363e+06
P20933	ASPG_HUMAN	AGA	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	1.36292e+07
P20936	RASA1_HUMAN	RASA1	Ras GTPase-activating protein 1	3.05381e+07
P20962	PTMS_HUMAN	PTMS	Parathymosin	1.29515e+08
P21127	CD11B_HUMAN	CDK11B	Cyclin-dependent kinase 11B	9.75969e+07
P21266	GSTM3_HUMAN	GSTM3	Glutathione S-transferase Mu 3	2.90077e+07
P21281	VATB2_HUMAN	ATP6V1B2	V-type proton ATPase subunit B, brain isoform	2.38253e+07
P21291	CSRP1_HUMAN	CSRP1	Cysteine and glycine-rich protein 1	1.21202e+08
P21333	FLNA_HUMAN	FLNA	Filamin-A	3.86223e+08
P21399	ACOHC_HUMAN	ACO1	Cytoplasmic aconitate hydratase	6.53859e+07
P21675	TAF1_HUMAN	TAF1	Transcription initiation factor TFIID subunit 1	1.35939e+06
P21796	VDAC1_HUMAN	VDAC1	Voltage-dependent anion-selective channel protein 1	1.0147e+08
P21810	PGS1_HUMAN	BGN	Biglycan	1.91388e+09
P21912	SDHB_HUMAN	SDHB	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	1.75011e+07
P21964	COMT_HUMAN	COMT	Catechol O-methyltransferase	9.28199e+06
P21980	TGM2_HUMAN	TGM2	Protein-glutamine gamma-glutamyltransferase 2	2.45457e+07
P22033	MUTA_HUMAN	MMUT	Methylmalonyl-CoA mutase, mitochondrial	2.25561e+07
P22059	OSBP1_HUMAN	OSBP	Oxysterol-binding protein 1	2.62864e+07
P22061	PIMT_HUMAN	PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	5.97712e+07
P22087	FBRL_HUMAN	FBL	rRNA 2'-O-methyltransferase fibrillarin	1.76072e+08
P22090	RS4Y1_HUMAN	RPS4Y1	Small ribosomal subunit protein eS4, Y isoform 1	8.77786e+06
P22102	PUR2_HUMAN	GART	Trifunctional purine biosynthetic protein adenosine-3	5.52623e+07
P22105	TENX_HUMAN	TNXB	Tenascin-X	1.07633e+08
P22234	PUR6_HUMAN	PAICS	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase	4.73074e+07
P22307	SCP2_HUMAN	SCP2	Sterol carrier protein 2	3.0632e+07
P22314	UBA1_HUMAN	UBA1	Ubiquitin-like modifier-activating enzyme 1	2.32118e+08
P22352	GPX3_HUMAN	GPX3	Glutathione peroxidase 3	5.6872e+07
P22392	NDKB_HUMAN	NME2	Nucleoside diphosphate kinase B	2.89277e+08
P22455	FGFR4_HUMAN	FGFR4	Fibroblast growth factor receptor 4	1.51182e+07
P22626	ROA2_HUMAN	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	1.14626e+09
P22670	RFX1_HUMAN	RFX1	MHC class II regulatory factor RFX1	6.35471e+06
P22681	CBL_HUMAN	CBL	E3 ubiquitin-protein ligase CBL	2.05062e+07
P22694	KAPCB_HUMAN	PRKACB	cAMP-dependent protein kinase catalytic subunit beta	1.22191e+07
P22695	QCR2_HUMAN	UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial	1.96728e+08
P22830	HEMH_HUMAN	FECH	Ferrochelatase, mitochondrial	6.89515e+06
P23142	FBLN1_HUMAN	FBLN1	Fibulin-1	1.01214e+08
P23193	TCEA1_HUMAN	TCEA1	Transcription elongation factor A protein 1	3.34041e+07
P23219	PGH1_HUMAN	PTGS1	Prostaglandin G/H synthase 1	7.8026e+06
P23229	ITA6_HUMAN	ITGA6	Integrin alpha-6	7.52676e+06
P23246	SFPQ_HUMAN	SFPQ	Splicing factor, proline- and glutamine-rich	4.65526e+08
P23258	TBG1_HUMAN	TUBG1	Tubulin gamma-1 chain	1.9565e+07
P23284	PPIB_HUMAN	PPIB	Peptidyl-prolyl cis-trans isomerase B	3.7081e+08
P23368	MAOM_HUMAN	ME2	NAD-dependent malic enzyme, mitochondrial	2.49337e+07
P23381	SYWC_HUMAN	WARS1	Tryptophan--tRNA ligase, cytoplasmic	3.36224e+07
P23396	RS3_HUMAN	RPS3	Small ribosomal subunit protein uS3	3.32838e+08
P23434	GCSH_HUMAN	GCSH	Glycine cleavage system H protein, mitochondrial	3.75843e+06
P23443	KS6B1_HUMAN	RPS6KB1	Ribosomal protein S6 kinase beta-1	1.22494e+06
P23458	JAK1_HUMAN	JAK1	Tyrosine-protein kinase JAK1	5.76004e+06
P23468	PTPRD_HUMAN	PTPRD	Receptor-type tyrosine-protein phosphatase delta	7.21552e+06
P23469	PTPRE_HUMAN	PTPRE	Receptor-type tyrosine-protein phosphatase epsilon	5.97334e+06
P23470	PTPRG_HUMAN	PTPRG	Receptor-type tyrosine-protein phosphatase gamma	1.14583e+07
P23508	CRCM_HUMAN	MCC	Colorectal mutant cancer protein	6.30454e+06
P23511	NFYA_HUMAN	NFYA	Nuclear transcription factor Y subunit alpha	7.22966e+06
P23526	SAHH_HUMAN	AHCY	Adenosylhomocysteinase	1.40389e+08
P23528	COF1_HUMAN	CFL1	Cofilin-1	4.19609e+08
P23588	IF4B_HUMAN	EIF4B	Eukaryotic translation initiation factor 4B	3.29876e+07
P23634	AT2B4_HUMAN	ATP2B4	Plasma membrane calcium-transporting ATPase 4	2.61864e+07
P23786	CPT2_HUMAN	CPT2	Carnitine O-palmitoyltransferase 2, mitochondrial	3.82889e+07
P23919	KTHY_HUMAN	DTYMK	Thymidylate kinase	4.92371e+07
