Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\A20200127caix_yuanch_TCPA_CA_120min_DIA_09.mzML
P01889	HLAB_HUMAN	HLA-B	HLA class I histocompatibility antigen, B alpha chain	1.12132e+07
P01903	DRA_HUMAN	HLA-DRA	HLA class II histocompatibility antigen, DR alpha chain	1.88828e+06
P01911	DRB1_HUMAN	HLA-DRB1	HLA class II histocompatibility antigen, DRB1 beta chain	2.14933e+06
P02042	HBD_HUMAN	HBD	Hemoglobin subunit delta	2.93795e+07
P02100	HBE_HUMAN	HBE1	Hemoglobin subunit epsilon	4.82758e+06
P02144	MYG_HUMAN	MB	Myoglobin	1.66478e+06
P02452	CO1A1_HUMAN	COL1A1	Collagen alpha-1(I) chain	2.18785e+08
P02458	CO2A1_HUMAN	COL2A1	Collagen alpha-1(II) chain	3.22121e+07
P02461	CO3A1_HUMAN	COL3A1	Collagen alpha-1(III) chain	4.73378e+07
P02462	CO4A1_HUMAN	COL4A1	Collagen alpha-1(IV) chain	2.04543e+07
P02533	K1C14_HUMAN	KRT14	Keratin, type I cytoskeletal 14	9.91051e+06
P02538	K2C6A_HUMAN	KRT6A	Keratin, type II cytoskeletal 6A	2.39136e+07
P02545	LMNA_HUMAN	LMNA	Prelamin-A/C	1.66709e+08
P02647	APOA1_HUMAN	APOA1	Apolipoprotein A-I	2.54792e+08
P02649	APOE_HUMAN	APOE	Apolipoprotein E	2.03224e+07
P02652	APOA2_HUMAN	APOA2	Apolipoprotein A-II	6.91356e+07
P02656	APOC3_HUMAN	APOC3	Apolipoprotein C-III	1.0278e+07
P02671	FIBA_HUMAN	FGA	Fibrinogen alpha chain	1.72275e+08
P02675	FIBB_HUMAN	FGB	Fibrinogen beta chain	1.66173e+08
P02679	FIBG_HUMAN	FGG	Fibrinogen gamma chain	1.64891e+08
P02686	MBP_HUMAN	MBP	Myelin basic protein	7.3767e+07
P02743	SAMP_HUMAN	APCS	Serum amyloid P-component	1.96588e+07
P02745	C1QA_HUMAN	C1QA	Complement C1q subcomponent subunit A	1.27163e+07
P02746	C1QB_HUMAN	C1QB	Complement C1q subcomponent subunit B	8.26197e+06
P02747	C1QC_HUMAN	C1QC	Complement C1q subcomponent subunit C	3.41861e+07
P02748	CO9_HUMAN	C9	Complement component C9	1.45276e+07
P02749	APOH_HUMAN	APOH	Beta-2-glycoprotein 1	1.75736e+07
P02750	A2GL_HUMAN	LRG1	Leucine-rich alpha-2-glycoprotein	1.58887e+07
P02751	FINC_HUMAN	FN1	Fibronectin	1.19578e+08
P02753	RET4_HUMAN	RBP4	Retinol-binding protein 4	7.29467e+06
P02760	AMBP_HUMAN	AMBP	Protein AMBP	1.41674e+07
P02763	A1AG1_HUMAN	ORM1	Alpha-1-acid glycoprotein 1	2.2275e+08
P02765	FETUA_HUMAN	AHSG	Alpha-2-HS-glycoprotein	6.6229e+07
P02766	TTHY_HUMAN	TTR	Transthyretin	5.74127e+07
P02768	ALBU_HUMAN	ALB	Albumin	2.71309e+09
P02774	VTDB_HUMAN	GC	Vitamin D-binding protein	4.5027e+07
P02786	TFR1_HUMAN	TFRC	Transferrin receptor protein 1	3.32574e+07
P02787	TRFE_HUMAN	TF	Serotransferrin	2.58553e+08
P02788	TRFL_HUMAN	LTF	Lactotransferrin	2.55651e+07
P02790	HEMO_HUMAN	HPX	Hemopexin	1.04225e+08
P02792	FRIL_HUMAN	FTL	Ferritin light chain	2.99878e+08
P02794	FRIH_HUMAN	FTH1	Ferritin heavy chain	6.23642e+07
P03952	KLKB1_HUMAN	KLKB1	Plasma kallikrein	2.2668e+06
P04003	C4BPA_HUMAN	C4BPA	C4b-binding protein alpha chain	9.00088e+06
P04004	VTNC_HUMAN	VTN	Vitronectin	7.81511e+07
P04040	CATA_HUMAN	CAT	Catalase	5.2727e+07
P04049	RAF1_HUMAN	RAF1	RAF proto-oncogene serine/threonine-protein kinase	1.41852e+07
P04062	GBA1_HUMAN	GBA1	Lysosomal acid glucosylceramidase	1.19356e+07
P04066	FUCO_HUMAN	FUCA1	Tissue alpha-L-fucosidase	3.26074e+06
P04075	ALDOA_HUMAN	ALDOA	Fructose-bisphosphate aldolase A	3.10877e+08
P04080	CYTB_HUMAN	CSTB	Cystatin-B	3.23909e+08
P04083	ANXA1_HUMAN	ANXA1	Annexin A1	6.77959e+07
P04114	APOB_HUMAN	APOB	Apolipoprotein B-100	2.56405e+07
P04179	SODM_HUMAN	SOD2	Superoxide dismutase [Mn], mitochondrial	5.35038e+07
P04181	OAT_HUMAN	OAT	Ornithine aminotransferase, mitochondrial	7.17872e+07
P04183	KITH_HUMAN	TK1	Thymidine kinase, cytosolic	2.18974e+06
P04196	HRG_HUMAN	HRG	Histidine-rich glycoprotein	3.3839e+07
P04211	LV743_HUMAN	IGLV7-43	Immunoglobulin lambda variable 7-43	1.57769e+07
P04216	THY1_HUMAN	THY1	Thy-1 membrane glycoprotein	2.01391e+07
P04217	A1BG_HUMAN	A1BG	Alpha-1B-glycoprotein	6.20047e+07
P04259	K2C6B_HUMAN	KRT6B	Keratin, type II cytoskeletal 6B	1.01426e+07
P04264	K2C1_HUMAN	KRT1	Keratin, type II cytoskeletal 1	4.47149e+07
P04271	S100B_HUMAN	S100B	Protein S100-B	2.55925e+06
P04275	VWF_HUMAN	VWF	von Willebrand factor	4.06574e+06
P04278	SHBG_HUMAN	SHBG	Sex hormone-binding globulin	1.29584e+06
P04350	TBB4A_HUMAN	TUBB4A	Tubulin beta-4A chain	7.24887e+07
P04406	G3P_HUMAN	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	1.48661e+09
P04424	ARLY_HUMAN	ASL	Argininosuccinate lyase	4.75781e+06
P04433	KV311_HUMAN	IGKV3-11	Immunoglobulin kappa variable 3-11	8.5262e+07
P04439	HLAA_HUMAN	HLA-A	HLA class I histocompatibility antigen, A alpha chain	4.1431e+07
P04626	ERBB2_HUMAN	ERBB2	Receptor tyrosine-protein kinase erbB-2	1.53565e+07
P04632	CPNS1_HUMAN	CAPNS1	Calpain small subunit 1	1.77879e+07
P04637	P53_HUMAN	TP53	Cellular tumor antigen p53	1.29207e+07
P04792	HSPB1_HUMAN	HSPB1	Heat shock protein beta-1	1.42389e+08
P04818	TYSY_HUMAN	TYMS	Thymidylate synthase	949541
P04839	CY24B_HUMAN	CYBB	Cytochrome b-245 heavy chain	1.37034e+06
P04843	RPN1_HUMAN	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	9.43337e+07
P04844	RPN2_HUMAN	RPN2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	4.93265e+07
P04899	GNAI2_HUMAN	GNAI2	Guanine nucleotide-binding protein G(i) subunit alpha-2	8.24331e+07
P04920	B3A2_HUMAN	SLC4A2	Anion exchange protein 2	1.99875e+07
P05023	AT1A1_HUMAN	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1	9.21721e+07
P05026	AT1B1_HUMAN	ATP1B1	Sodium/potassium-transporting ATPase subunit beta-1	1.93059e+07
P05062	ALDOB_HUMAN	ALDOB	Fructose-bisphosphate aldolase B	4.28239e+06
P05067	A4_HUMAN	APP	Amyloid-beta precursor protein	1.10679e+08
P05090	APOD_HUMAN	APOD	Apolipoprotein D	1.08224e+07
P05091	ALDH2_HUMAN	ALDH2	Aldehyde dehydrogenase, mitochondrial	3.6576e+07
P05106	ITB3_HUMAN	ITGB3	Integrin beta-3	1.74384e+06
P05107	ITB2_HUMAN	ITGB2	Integrin beta-2	7.30455e+06
P05109	S10A8_HUMAN	S100A8	Protein S100-A8	2.39478e+08
P05114	HMGN1_HUMAN	HMGN1	Non-histone chromosomal protein HMG-14	8.25136e+06
P05141	ADT2_HUMAN	SLC25A5	ADP/ATP translocase 2	1.64979e+08
P05155	IC1_HUMAN	SERPING1	Plasma protease C1 inhibitor	7.74318e+07
P05156	CFAI_HUMAN	CFI	Complement factor I	6.8831e+06
P05161	ISG15_HUMAN	ISG15	Ubiquitin-like protein ISG15	2.22952e+07
P05164	PERM_HUMAN	MPO	Myeloperoxidase	4.56576e+07
P05165	PCCA_HUMAN	PCCA	Propionyl-CoA carboxylase alpha chain, mitochondrial	8.13857e+06
P05166	PCCB_HUMAN	PCCB	Propionyl-CoA carboxylase beta chain, mitochondrial	5.20494e+06
P05186	PPBT_HUMAN	ALPL	Alkaline phosphatase, tissue-nonspecific isozyme	1.02906e+06
P05198	IF2A_HUMAN	EIF2S1	Eukaryotic translation initiation factor 2 subunit 1	7.45871e+07
P05204	HMGN2_HUMAN	HMGN2	Non-histone chromosomal protein HMG-17	1.32437e+07
P05362	ICAM1_HUMAN	ICAM1	Intercellular adhesion molecule 1	2.2546e+06
P05386	RLA1_HUMAN	RPLP1	Large ribosomal subunit protein P1	2.04188e+08
P05387	RLA2_HUMAN	RPLP2	Large ribosomal subunit protein P2	2.16613e+08
P05388	RLA0_HUMAN	RPLP0	Large ribosomal subunit protein uL10	8.44974e+07
P05412	JUN_HUMAN	JUN	Transcription factor Jun	3.67058e+06
P05413	FABPH_HUMAN	FABP3	Fatty acid-binding protein, heart	6.77393e+06
P05423	RPC4_HUMAN	POLR3D	DNA-directed RNA polymerase III subunit RPC4	3.44669e+06
P05452	TETN_HUMAN	CLEC3B	Tetranectin	5.66467e+06
P05455	LA_HUMAN	SSB	Lupus La protein	1.00501e+08
P05543	THBG_HUMAN	SERPINA7	Thyroxine-binding globulin	1.54131e+06
P05546	HEP2_HUMAN	SERPIND1	Heparin cofactor 2	6.9376e+06
P05549	AP2A_HUMAN	TFAP2A	Transcription factor AP-2-alpha	3.12559e+06
P05556	ITB1_HUMAN	ITGB1	Integrin beta-1	3.76684e+07
P05783	K1C18_HUMAN	KRT18	Keratin, type I cytoskeletal 18	5.86013e+08
P05787	K2C8_HUMAN	KRT8	Keratin, type II cytoskeletal 8	6.97985e+08
P05937	CALB1_HUMAN	CALB1	Calbindin	2.30809e+06
P05997	CO5A2_HUMAN	COL5A2	Collagen alpha-2(V) chain	1.17323e+07
P06132	DCUP_HUMAN	UROD	Uroporphyrinogen decarboxylase	1.65924e+07
P06213	INSR_HUMAN	INSR	Insulin receptor	3.05888e+06
P06280	AGAL_HUMAN	GLA	Alpha-galactosidase A	8.49311e+06
P06310	KV230_HUMAN	IGKV2-30	Immunoglobulin kappa variable 2-30	1.12032e+07
P06312	KV401_HUMAN	IGKV4-1	Immunoglobulin kappa variable 4-1	3.9967e+07
P06331	HV434_HUMAN	IGHV4-34	Immunoglobulin heavy variable 4-34	2.79112e+07
P06396	GELS_HUMAN	GSN	Gelsolin	1.07272e+08
P06400	RB_HUMAN	RB1	Retinoblastoma-associated protein	992755
P06454	PTMA_HUMAN	PTMA	Prothymosin alpha	2.3529e+07
P06493	CDK1_HUMAN	CDK1	Cyclin-dependent kinase 1	1.37515e+07
P06576	ATPB_HUMAN	ATP5F1B	ATP synthase subunit beta, mitochondrial	6.11771e+08
P06681	CO2_HUMAN	C2	Complement C2	5.4808e+06
P06702	S10A9_HUMAN	S100A9	Protein S100-A9	4.04804e+08
P06703	S10A6_HUMAN	S100A6	Protein S100-A6	4.56368e+08
P06727	APOA4_HUMAN	APOA4	Apolipoprotein A-IV	1.57762e+07
P06730	IF4E_HUMAN	EIF4E	Eukaryotic translation initiation factor 4E	3.11915e+07
P06731	CEAM5_HUMAN	CEACAM5	Carcinoembryonic antigen-related cell adhesion molecule 5	1.67079e+07
P06732	KCRM_HUMAN	CKM	Creatine kinase M-type	2.30025e+06
P06733	ENOA_HUMAN	ENO1	Alpha-enolase	1.11562e+09
P06737	PYGL_HUMAN	PYGL	Glycogen phosphorylase, liver form	8.58641e+07
P06744	G6PI_HUMAN	GPI	Glucose-6-phosphate isomerase	1.82703e+08
P06746	DPOLB_HUMAN	POLB	DNA polymerase beta	1.2505e+07
P06748	NPM_HUMAN	NPM1	Nucleophosmin	3.69853e+08
P06753	TPM3_HUMAN	TPM3	Tropomyosin alpha-3 chain	1.56134e+08
P06756	ITAV_HUMAN	ITGAV	Integrin alpha-V	1.17616e+07
P06865	HEXA_HUMAN	HEXA	Beta-hexosaminidase subunit alpha	2.05792e+07
P07099	HYEP_HUMAN	EPHX1	Epoxide hydrolase 1	3.12859e+07
P07108	ACBP_HUMAN	DBI	Acyl-CoA-binding protein	6.05668e+07
P07195	LDHB_HUMAN	LDHB	L-lactate dehydrogenase B chain	1.02816e+09
P07196	NFL_HUMAN	NEFL	Neurofilament light polypeptide	3.28889e+06
P07199	CENPB_HUMAN	CENPB	Major centromere autoantigen B	2.26419e+06
P07203	GPX1_HUMAN	GPX1	Glutathione peroxidase 1	6.60024e+07
P07205	PGK2_HUMAN	PGK2	Phosphoglycerate kinase 2	4.14479e+06
P07225	PROS_HUMAN	PROS1	Vitamin K-dependent protein S	3.64592e+06
P07237	PDIA1_HUMAN	P4HB	Protein disulfide-isomerase	7.2592e+07
P07305	H10_HUMAN	H1-0	Histone H1.0	3.04146e+08
P07311	ACYP1_HUMAN	ACYP1	Acylphosphatase-1	7.93245e+06
P07339	CATD_HUMAN	CTSD	Cathepsin D	7.55998e+07
P07355	ANXA2_HUMAN	ANXA2	Annexin A2	2.21659e+08
P07357	CO8A_HUMAN	C8A	Complement component C8 alpha chain	2.22861e+07
P07358	CO8B_HUMAN	C8B	Complement component C8 beta chain	5.84636e+06
P07360	CO8G_HUMAN	C8G	Complement component C8 gamma chain	1.02647e+07
P07384	CAN1_HUMAN	CAPN1	Calpain-1 catalytic subunit	3.36237e+07
P07437	TBB5_HUMAN	TUBB	Tubulin beta chain	1.41226e+09
P07477	TRY1_HUMAN	PRSS1	Serine protease 1	4.9734e+06
P07478	TRY2_HUMAN	PRSS2	Trypsin-2	3.33488e+06
P07585	PGS2_HUMAN	DCN	Decorin	1.53767e+07
P07602	SAP_HUMAN	PSAP	Prosaposin	2.62825e+07
P07686	HEXB_HUMAN	HEXB	Beta-hexosaminidase subunit beta	4.01528e+07
P07711	CATL1_HUMAN	CTSL	Procathepsin L	4.08071e+06
P07737	PROF1_HUMAN	PFN1	Profilin-1	3.82622e+08
P07738	PMGE_HUMAN	BPGM	Bisphosphoglycerate mutase	3.42331e+06
P07741	APT_HUMAN	APRT	Adenine phosphoribosyltransferase	7.34252e+07
P07814	SYEP_HUMAN	EPRS1	Bifunctional glutamate/proline--tRNA ligase	5.39016e+07
P07858	CATB_HUMAN	CTSB	Cathepsin B	2.93667e+08
P07900	HS90A_HUMAN	HSP90AA1	Heat shock protein HSP 90-alpha	1.34144e+09
P07902	GALT_HUMAN	GALT	Galactose-1-phosphate uridylyltransferase	4.93209e+06
P07910	HNRPC_HUMAN	HNRNPC	Heterogeneous nuclear ribonucleoproteins C1/C2	4.82434e+08
P07942	LAMB1_HUMAN	LAMB1	Laminin subunit beta-1	1.42661e+07
P07947	YES_HUMAN	YES1	Tyrosine-protein kinase Yes	3.17906e+07
P07948	LYN_HUMAN	LYN	Tyrosine-protein kinase Lyn	2.05493e+08
P07951	TPM2_HUMAN	TPM2	Tropomyosin beta chain	6.09975e+07
P07954	FUMH_HUMAN	FH	Fumarate hydratase, mitochondrial	5.92608e+07
P07992	ERCC1_HUMAN	ERCC1	DNA excision repair protein ERCC-1	646438
P07996	TSP1_HUMAN	THBS1	Thrombospondin-1	2.70379e+07
P08047	SP1_HUMAN	SP1	Transcription factor Sp1	2.30786e+06
P08069	IGF1R_HUMAN	IGF1R	Insulin-like growth factor 1 receptor	3.65275e+06
P08123	CO1A2_HUMAN	COL1A2	Collagen alpha-2(I) chain	2.13297e+08
P08133	ANXA6_HUMAN	ANXA6	Annexin A6	8.29482e+07
P08134	RHOC_HUMAN	RHOC	Rho-related GTP-binding protein RhoC	2.24514e+07
P08185	CBG_HUMAN	SERPINA6	Corticosteroid-binding globulin	8.26876e+06
P08195	4F2_HUMAN	SLC3A2	Amino acid transporter heavy chain SLC3A2	3.97702e+07
P08236	BGLR_HUMAN	GUSB	Beta-glucuronidase	1.89393e+07
P08237	PFKAM_HUMAN	PFKM	ATP-dependent 6-phosphofructokinase, muscle type	6.92161e+07
P08238	HS90B_HUMAN	HSP90AB1	Heat shock protein HSP 90-beta	1.36685e+09
P08240	SRPRA_HUMAN	SRPRA	Signal recognition particle receptor subunit alpha	1.5875e+07
P08243	ASNS_HUMAN	ASNS	Asparagine synthetase [glutamine-hydrolyzing]	7.78773e+06
P08246	ELNE_HUMAN	ELANE	Neutrophil elastase	8.4606e+07
P08253	MMP2_HUMAN	MMP2	72 kDa type IV collagenase	4.30079e+06
P08294	SODE_HUMAN	SOD3	Extracellular superoxide dismutase [Cu-Zn]	8.61213e+06
P08311	CATG_HUMAN	CTSG	Cathepsin G	4.39246e+07
P08397	HEM3_HUMAN	HMBS	Porphobilinogen deaminase	1.64658e+07
P08493	MGP_HUMAN	MGP	Matrix Gla protein	4.67119e+06
P08559	ODPA_HUMAN	PDHA1	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	7.51047e+07
P08571	CD14_HUMAN	CD14	Monocyte differentiation antigen CD14	3.1936e+06
P08572	CO4A2_HUMAN	COL4A2	Collagen alpha-2(IV) chain	3.15386e+07
P08574	CY1_HUMAN	CYC1	Cytochrome c1, heme protein, mitochondrial	1.32882e+07
P08575	PTPRC_HUMAN	PTPRC	Receptor-type tyrosine-protein phosphatase C	2.41263e+06
P08579	RU2B_HUMAN	SNRPB2	U2 small nuclear ribonucleoprotein B''	1.29e+07
P08603	CFAH_HUMAN	CFH	Complement factor H	3.11514e+07
P08621	RU17_HUMAN	SNRNP70	U1 small nuclear ribonucleoprotein 70 kDa	1.35446e+08
P08637	FCG3A_HUMAN	FCGR3A	Low affinity immunoglobulin gamma Fc region receptor III-A	3.69759e+06
P08648	ITA5_HUMAN	ITGA5	Integrin alpha-5	1.58603e+06
P08651	NFIC_HUMAN	NFIC	Nuclear factor 1 C-type	6.74665e+06
P08670	VIME_HUMAN	VIM	Vimentin	1.01061e+09
P08697	A2AP_HUMAN	SERPINF2	Alpha-2-antiplasmin	4.87536e+06
P08708	RS17_HUMAN	RPS17	Small ribosomal subunit protein eS17	7.77953e+07
P08727	K1C19_HUMAN	KRT19	Keratin, type I cytoskeletal 19	7.13833e+08
P08729	K2C7_HUMAN	KRT7	Keratin, type II cytoskeletal 7	2.63516e+08
P08754	GNAI3_HUMAN	GNAI3	Guanine nucleotide-binding protein G(i) subunit alpha-3	1.829e+07
P08758	ANXA5_HUMAN	ANXA5	Annexin A5	2.93202e+08
P08779	K1C16_HUMAN	KRT16	Keratin, type I cytoskeletal 16	9.03301e+07
P08865	RSSA_HUMAN	RPSA	Small ribosomal subunit protein uS2	3.33168e+08
P08962	CD63_HUMAN	CD63	CD63 antigen	2.56728e+06
P09001	RM03_HUMAN	MRPL3	Large ribosomal subunit protein uL3m	1.68943e+07
P09012	SNRPA_HUMAN	SNRPA	U1 small nuclear ribonucleoprotein A	4.02408e+07
P09104	ENOG_HUMAN	ENO2	Gamma-enolase	6.49375e+07
P09110	THIK_HUMAN	ACAA1	3-ketoacyl-CoA thiolase, peroxisomal	1.23564e+07
P09132	SRP19_HUMAN	SRP19	Signal recognition particle 19 kDa protein	4.57102e+06
P09211	GSTP1_HUMAN	GSTP1	Glutathione S-transferase P	8.32386e+08
P09234	RU1C_HUMAN	SNRPC	U1 small nuclear ribonucleoprotein C	4.89414e+07
P09237	MMP7_HUMAN	MMP7	Matrilysin	3.74244e+06
P09327	VILI_HUMAN	VIL1	Villin-1	1.36161e+07
P09382	LEG1_HUMAN	LGALS1	Galectin-1	1.14461e+08
P09417	DHPR_HUMAN	QDPR	Dihydropteridine reductase	2.80943e+07
P09429	HMGB1_HUMAN	HMGB1	High mobility group protein B1	5.9693e+08
P09455	RET1_HUMAN	RBP1	Retinol-binding protein 1	2.84583e+07
P09467	F16P1_HUMAN	FBP1	Fructose-1,6-bisphosphatase 1	7.69563e+06
P09471	GNAO_HUMAN	GNAO1	Guanine nucleotide-binding protein G(o) subunit alpha	2.54702e+06
P09486	SPRC_HUMAN	SPARC	SPARC	4.97502e+06
P09488	GSTM1_HUMAN	GSTM1	Glutathione S-transferase Mu 1	1.23557e+06
P09493	TPM1_HUMAN	TPM1	Tropomyosin alpha-1 chain	5.43598e+08
P09496	CLCA_HUMAN	CLTA	Clathrin light chain A	5.17481e+07
P09497	CLCB_HUMAN	CLTB	Clathrin light chain B	5.99217e+06
P09525	ANXA4_HUMAN	ANXA4	Annexin A4	2.76417e+07
P09543	CN37_HUMAN	CNP	2',3'-cyclic-nucleotide 3'-phosphodiesterase	4.40829e+07
P09619	PGFRB_HUMAN	PDGFRB	Platelet-derived growth factor receptor beta	2.80344e+06
P09622	DLDH_HUMAN	DLD	Dihydrolipoyl dehydrogenase, mitochondrial	7.63617e+07
P09651	ROA1_HUMAN	HNRNPA1	Heterogeneous nuclear ribonucleoprotein A1	4.51135e+08
P09661	RU2A_HUMAN	SNRPA1	U2 small nuclear ribonucleoprotein A'	3.74276e+07
P09668	CATH_HUMAN	CTSH	Pro-cathepsin H	6.99528e+07
P09669	COX6C_HUMAN	COX6C	Cytochrome c oxidase subunit 6C	7.1231e+07
P09758	TACD2_HUMAN	TACSTD2	Tumor-associated calcium signal transducer 2	1.57631e+07
P09871	C1S_HUMAN	C1S	Complement C1s subcomponent	1.21092e+07
P09874	PARP1_HUMAN	PARP1	Poly [ADP-ribose] polymerase 1	1.56431e+08
P09884	DPOLA_HUMAN	POLA1	DNA polymerase alpha catalytic subunit	956829
P09913	IFIT2_HUMAN	IFIT2	Interferon-induced protein with tetratricopeptide repeats 2	1.10406e+06
P09914	IFIT1_HUMAN	IFIT1	Interferon-induced protein with tetratricopeptide repeats 1	1.89228e+07
P09917	LOX5_HUMAN	ALOX5	Polyunsaturated fatty acid 5-lipoxygenase	797461
P09936	UCHL1_HUMAN	UCHL1	Ubiquitin carboxyl-terminal hydrolase isozyme L1	3.07542e+08
P09960	LKHA4_HUMAN	LTA4H	Leukotriene A-4 hydrolase	6.1418e+07
P09972	ALDOC_HUMAN	ALDOC	Fructose-bisphosphate aldolase C	3.21616e+07
P0C0L4	CO4A_HUMAN	C4A	Complement C4-A	5.5608e+06
P0C0L5	CO4B_HUMAN	C4B	Complement C4-B	2.42713e+07
P0C0S5	H2AZ_HUMAN	H2AZ1	Histone H2A.Z	2.50694e+08
P0C0S8	H2A1_HUMAN	H2AC11	Histone H2A type 1	1.09738e+07
P0C1Z6	TFPT_HUMAN	TFPT	TCF3 fusion partner	757595
P0C870	JMJD7_HUMAN	JMJD7	Bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7	728006
P0CG12	DERPC_HUMAN	DERPC	Decreased expression in renal and prostate cancer protein	1.30425e+07
P0CG13	CTF8_HUMAN	CHTF8	Chromosome transmission fidelity protein 8 homolog	1.49243e+06
P0CG29	GST2_HUMAN	GSTT2	Glutathione S-transferase theta-2	1.46173e+06
P0CG38	POTEI_HUMAN	POTEI	POTE ankyrin domain family member I	2.87026e+08
P0DI81	TPC2A_HUMAN	TRAPPC2	Trafficking protein particle complex subunit 2	2.20565e+06
P0DMV8	HS71A_HUMAN	HSPA1A	Heat shock 70 kDa protein 1A	2.6493e+08
P0DN76				1.07256e+08
P0DN79				7.42309e+06
P0DOY2	IGLC2_HUMAN	IGLC2	Immunoglobulin lambda constant 2	2.38786e+08
P0DOY3	IGLC3_HUMAN	IGLC3	Immunoglobulin lambda constant 3	2.67455e+07
P0DP23	CALM1_HUMAN	CALM1	Calmodulin-1	4.66402e+08
P0DPB6	RPAC2_HUMAN	POLR1D	DNA-directed RNA polymerases I and III subunit RPAC2	920588
P0DPD7	EFMT4_HUMAN	EEF1AKMT4	EEF1A lysine methyltransferase 4	4.41387e+06
P10109	ADX_HUMAN	FDX1	Adrenodoxin, mitochondrial	5.38832e+06
P10155	RO60_HUMAN	RO60	RNA-binding protein RO60	3.65631e+07
P10253	LYAG_HUMAN	GAA	Lysosomal alpha-glucosidase	1.04612e+08
P10301	RRAS_HUMAN	RRAS	Ras-related protein R-Ras	9.09767e+06
P10321	HLAC_HUMAN	HLA-C	HLA class I histocompatibility antigen, C alpha chain	3.17612e+06
P10398	ARAF_HUMAN	ARAF	Serine/threonine-protein kinase A-Raf	5.55427e+06
P10412	H14_HUMAN	H1-4	Histone H1.4	1.41026e+09
P10515	ODP2_HUMAN	DLAT	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	8.3877e+07
P10586	PTPRF_HUMAN	PTPRF	Receptor-type tyrosine-protein phosphatase F	1.17392e+07
P10588	NR2F6_HUMAN	NR2F6	Nuclear receptor subfamily 2 group F member 6	2.56503e+06
P10599	THIO_HUMAN	TXN	Thioredoxin	3.73769e+08
P10606	COX5B_HUMAN	COX5B	Cytochrome c oxidase subunit 5B, mitochondrial	1.39261e+08
P10619	PPGB_HUMAN	CTSA	Lysosomal protective protein	1.29363e+07
P10620	MGST1_HUMAN	MGST1	Microsomal glutathione S-transferase 1	1.91815e+06
P10636	TAU_HUMAN	MAPT	Microtubule-associated protein tau	336910
P10643	CO7_HUMAN	C7	Complement component C7	4.59594e+06
P10644	KAP0_HUMAN	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit	3.74138e+07
P10645	CMGA_HUMAN	CHGA	Chromogranin-A	1.7882e+06
P10646	TFPI1_HUMAN	TFPI	Tissue factor pathway inhibitor	1.96745e+06
P10768	ESTD_HUMAN	ESD	S-formylglutathione hydrolase	3.22288e+07
P10809	CH60_HUMAN	HSPD1	60 kDa heat shock protein, mitochondrial	9.24324e+08
P10909	CLUS_HUMAN	CLU	Clusterin	7.85523e+07
P10915	HPLN1_HUMAN	HAPLN1	Hyaluronan and proteoglycan link protein 1	1.89829e+06
P11021	BIP_HUMAN	HSPA5	Endoplasmic reticulum chaperone BiP	1.91852e+08
P11047	LAMC1_HUMAN	LAMC1	Laminin subunit gamma-1	7.9088e+07
P11117	PPAL_HUMAN	ACP2	Lysosomal acid phosphatase	1.56282e+07
P11137	MTAP2_HUMAN	MAP2	Microtubule-associated protein 2	1.75535e+07
P11142	HSP7C_HUMAN	HSPA8	Heat shock cognate 71 kDa protein	9.90702e+08
P11166	GTR1_HUMAN	SLC2A1	Solute carrier family 2, facilitated glucose transporter member 1	2.71424e+07
P11169	GTR3_HUMAN	SLC2A3	Solute carrier family 2, facilitated glucose transporter member 3	905020
P11171	EPB41_HUMAN	EPB41	Protein 4.1	5.68478e+06
P11172	UMPS_HUMAN	UMPS	Uridine 5'-monophosphate synthase	1.53761e+07
P11177	ODPB_HUMAN	PDHB	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	9.06345e+07
P11182	ODB2_HUMAN	DBT	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial	2.23178e+07
P11215	ITAM_HUMAN	ITGAM	Integrin alpha-M	6.70788e+06
P11216	PYGB_HUMAN	PYGB	Glycogen phosphorylase, brain form	4.32531e+07
P11233	RALA_HUMAN	RALA	Ras-related protein Ral-A	3.61026e+07
P11234	RALB_HUMAN	RALB	Ras-related protein Ral-B	6.13473e+06
P11274	BCR_HUMAN	BCR	Breakpoint cluster region protein	2.05336e+06
P11279	LAMP1_HUMAN	LAMP1	Lysosome-associated membrane glycoprotein 1	4.68266e+07
P11310	ACADM_HUMAN	ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	5.53945e+07
P11387	TOP1_HUMAN	TOP1	DNA topoisomerase 1	6.42163e+07
P11388	TOP2A_HUMAN	TOP2A	DNA topoisomerase 2-alpha	1.91448e+07
