Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\A20200127caix_yuanch_TCPA_CA_120min_DIA_10.mzML
P07858	CATB_HUMAN	CTSB	Cathepsin B	3.77841e+08
P07900	HS90A_HUMAN	HSP90AA1	Heat shock protein HSP 90-alpha	5.89791e+08
P07902	GALT_HUMAN	GALT	Galactose-1-phosphate uridylyltransferase	8.38772e+06
P07910	HNRPC_HUMAN	HNRNPC	Heterogeneous nuclear ribonucleoproteins C1/C2	3.45231e+08
P07919	QCR6_HUMAN	UQCRH	Cytochrome b-c1 complex subunit 6, mitochondrial	1.8299e+06
P07942	LAMB1_HUMAN	LAMB1	Laminin subunit beta-1	2.38378e+07
P07947	YES_HUMAN	YES1	Tyrosine-protein kinase Yes	1.84284e+07
P07948	LYN_HUMAN	LYN	Tyrosine-protein kinase Lyn	2.69734e+08
P07951	TPM2_HUMAN	TPM2	Tropomyosin beta chain	4.92504e+07
P07954	FUMH_HUMAN	FH	Fumarate hydratase, mitochondrial	1.96259e+07
P07996	TSP1_HUMAN	THBS1	Thrombospondin-1	1.92303e+07
P08123	CO1A2_HUMAN	COL1A2	Collagen alpha-2(I) chain	7.16303e+08
P08133	ANXA6_HUMAN	ANXA6	Annexin A6	2.31621e+08
P08134	RHOC_HUMAN	RHOC	Rho-related GTP-binding protein RhoC	1.6587e+07
P08138	TNR16_HUMAN	NGFR	Tumor necrosis factor receptor superfamily member 16	1.32358e+06
P08185	CBG_HUMAN	SERPINA6	Corticosteroid-binding globulin	3.27114e+06
P08195	4F2_HUMAN	SLC3A2	Amino acid transporter heavy chain SLC3A2	1.54803e+07
P08236	BGLR_HUMAN	GUSB	Beta-glucuronidase	1.14806e+07
P08237	PFKAM_HUMAN	PFKM	ATP-dependent 6-phosphofructokinase, muscle type	1.85744e+07
P08238	HS90B_HUMAN	HSP90AB1	Heat shock protein HSP 90-beta	5.26562e+08
P08240	SRPRA_HUMAN	SRPRA	Signal recognition particle receptor subunit alpha	1.59308e+07
P08243	ASNS_HUMAN	ASNS	Asparagine synthetase [glutamine-hydrolyzing]	2.3909e+06
P08246	ELNE_HUMAN	ELANE	Neutrophil elastase	3.60003e+07
P08253	MMP2_HUMAN	MMP2	72 kDa type IV collagenase	9.81577e+06
P08294	SODE_HUMAN	SOD3	Extracellular superoxide dismutase [Cu-Zn]	3.07511e+07
P08311	CATG_HUMAN	CTSG	Cathepsin G	1.65898e+08
P08397	HEM3_HUMAN	HMBS	Porphobilinogen deaminase	1.6755e+06
P08493	MGP_HUMAN	MGP	Matrix Gla protein	9.36917e+06
P08559	ODPA_HUMAN	PDHA1	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	1.89087e+07
P08567	PLEK_HUMAN	PLEK	Pleckstrin	7.73592e+06
P08571	CD14_HUMAN	CD14	Monocyte differentiation antigen CD14	5.89548e+06
P08572	CO4A2_HUMAN	COL4A2	Collagen alpha-2(IV) chain	7.28204e+07
P08574	CY1_HUMAN	CYC1	Cytochrome c1, heme protein, mitochondrial	1.05241e+07
P08575	PTPRC_HUMAN	PTPRC	Receptor-type tyrosine-protein phosphatase C	2.56211e+07
P08579	RU2B_HUMAN	SNRPB2	U2 small nuclear ribonucleoprotein B''	1.12314e+07
P08603	CFAH_HUMAN	CFH	Complement factor H	2.11293e+07
P08621	RU17_HUMAN	SNRNP70	U1 small nuclear ribonucleoprotein 70 kDa	8.87221e+07
P08631	HCK_HUMAN	HCK	Tyrosine-protein kinase HCK	1.77141e+06
P08637	FCG3A_HUMAN	FCGR3A	Low affinity immunoglobulin gamma Fc region receptor III-A	7.741e+06
P08648	ITA5_HUMAN	ITGA5	Integrin alpha-5	6.35015e+06
P08651	NFIC_HUMAN	NFIC	Nuclear factor 1 C-type	4.17988e+06
P08670	VIME_HUMAN	VIM	Vimentin	1.92091e+09
P08697	A2AP_HUMAN	SERPINF2	Alpha-2-antiplasmin	4.74785e+06
P08708	RS17_HUMAN	RPS17	Small ribosomal subunit protein eS17	8.29048e+07
P08727	K1C19_HUMAN	KRT19	Keratin, type I cytoskeletal 19	3.4871e+09
P08729	K2C7_HUMAN	KRT7	Keratin, type II cytoskeletal 7	1.69849e+08
P08754	GNAI3_HUMAN	GNAI3	Guanine nucleotide-binding protein G(i) subunit alpha-3	1.61698e+07
P08758	ANXA5_HUMAN	ANXA5	Annexin A5	6.09874e+08
P08779	K1C16_HUMAN	KRT16	Keratin, type I cytoskeletal 16	1.66238e+08
P08861;P09093	CEL3A_HUMAN;CEL3B_HUMAN	CELA3A;CELA3B	Chymotrypsin-like elastase family member 3B	3.46932e+06
P08865	RSSA_HUMAN	RPSA	Small ribosomal subunit protein uS2	2.73096e+08
P08962	CD63_HUMAN	CD63	CD63 antigen	1.82347e+06
P09001	RM03_HUMAN	MRPL3	Large ribosomal subunit protein uL3m	3.27217e+06
P09012	SNRPA_HUMAN	SNRPA	U1 small nuclear ribonucleoprotein A	2.96376e+07
P09038	FGF2_HUMAN	FGF2	Fibroblast growth factor 2	6.08451e+06
P09104	ENOG_HUMAN	ENO2	Gamma-enolase	1.95323e+07
P09110	THIK_HUMAN	ACAA1	3-ketoacyl-CoA thiolase, peroxisomal	4.59521e+06
P09132	SRP19_HUMAN	SRP19	Signal recognition particle 19 kDa protein	3.2911e+06
P09211	GSTP1_HUMAN	GSTP1	Glutathione S-transferase P	9.01209e+08
P09234	RU1C_HUMAN	SNRPC	U1 small nuclear ribonucleoprotein C	2.65515e+07
P09238	MMP10_HUMAN	MMP10	Stromelysin-2	5.60907e+06
P09326	CD48_HUMAN	CD48	CD48 antigen	2.12537e+06
P09382	LEG1_HUMAN	LGALS1	Galectin-1	3.61164e+08
P09417	DHPR_HUMAN	QDPR	Dihydropteridine reductase	1.50385e+07
P09429	HMGB1_HUMAN	HMGB1	High mobility group protein B1	1.9901e+08
P09455	RET1_HUMAN	RBP1	Retinol-binding protein 1	6.17578e+07
P09467	F16P1_HUMAN	FBP1	Fructose-1,6-bisphosphatase 1	9.12106e+06
P09471	GNAO_HUMAN	GNAO1	Guanine nucleotide-binding protein G(o) subunit alpha	2.59729e+06
P09486	SPRC_HUMAN	SPARC	SPARC	1.95385e+07
P09488	GSTM1_HUMAN	GSTM1	Glutathione S-transferase Mu 1	2.11811e+07
P09493	TPM1_HUMAN	TPM1	Tropomyosin alpha-1 chain	1.21816e+08
P09496	CLCA_HUMAN	CLTA	Clathrin light chain A	5.33145e+07
P09497	CLCB_HUMAN	CLTB	Clathrin light chain B	1.45919e+07
P09525	ANXA4_HUMAN	ANXA4	Annexin A4	9.75521e+07
P09543	CN37_HUMAN	CNP	2',3'-cyclic-nucleotide 3'-phosphodiesterase	1.57655e+07
P09601	HMOX1_HUMAN	HMOX1	Heme oxygenase 1	9.79454e+06
P09619	PGFRB_HUMAN	PDGFRB	Platelet-derived growth factor receptor beta	8.42797e+06
P09622	DLDH_HUMAN	DLD	Dihydrolipoyl dehydrogenase, mitochondrial	3.8325e+07
P09651	ROA1_HUMAN	HNRNPA1	Heterogeneous nuclear ribonucleoprotein A1	3.22034e+08
P09661	RU2A_HUMAN	SNRPA1	U2 small nuclear ribonucleoprotein A'	1.81998e+07
P09668	CATH_HUMAN	CTSH	Pro-cathepsin H	1.42776e+07
P09669	COX6C_HUMAN	COX6C	Cytochrome c oxidase subunit 6C	7.21804e+07
P09758	TACD2_HUMAN	TACSTD2	Tumor-associated calcium signal transducer 2	5.75158e+07
P09871	C1S_HUMAN	C1S	Complement C1s subcomponent	2.30308e+07
P09874	PARP1_HUMAN	PARP1	Poly [ADP-ribose] polymerase 1	5.09371e+07
P09884	DPOLA_HUMAN	POLA1	DNA polymerase alpha catalytic subunit	1.73232e+06
P09913	IFIT2_HUMAN	IFIT2	Interferon-induced protein with tetratricopeptide repeats 2	650971
P09914	IFIT1_HUMAN	IFIT1	Interferon-induced protein with tetratricopeptide repeats 1	3.14942e+06
P09917	LOX5_HUMAN	ALOX5	Polyunsaturated fatty acid 5-lipoxygenase	7.051e+06
P09936	UCHL1_HUMAN	UCHL1	Ubiquitin carboxyl-terminal hydrolase isozyme L1	8.41547e+06
P09960	LKHA4_HUMAN	LTA4H	Leukotriene A-4 hydrolase	3.37099e+07
P09972	ALDOC_HUMAN	ALDOC	Fructose-bisphosphate aldolase C	3.37149e+07
P0C0L4	CO4A_HUMAN	C4A	Complement C4-A	9.47666e+06
P0C0L5	CO4B_HUMAN	C4B	Complement C4-B	6.31393e+07
P0C0S5;Q71UI9	H2AV_HUMAN;H2AZ_HUMAN	H2AZ1;H2AZ2	Histone H2A.Z	2.79152e+08
P0C7T5	ATX1L_HUMAN	ATXN1L	Ataxin-1-like	2.7318e+06
P0C870	JMJD7_HUMAN	JMJD7	Bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7	1.04805e+06
P0CG12	DERPC_HUMAN	DERPC	Decreased expression in renal and prostate cancer protein	5.68574e+06
P0CG29;P0CG30	GST2_HUMAN;GSTT2_HUMAN	GSTT2;GSTT2B	Glutathione S-transferase theta-2	3.67918e+06
P0CG39	POTEJ_HUMAN	POTEJ	POTE ankyrin domain family member J	7.36489e+08
P0CG47;P0CG48;P62979;P62987	RL40_HUMAN;RS27A_HUMAN;UBB_HUMAN;UBC_HUMAN	RPS27A;UBA52;UBB;UBC	Polyubiquitin-B	1.18625e+09
P0DI81;P0DI82	TPC2A_HUMAN;TPC2B_HUMAN	TRAPPC2;TRAPPC2B	Trafficking protein particle complex subunit 2	1.61431e+06
P0DJI8	SAA1_HUMAN	SAA1	Serum amyloid A-1 protein	1.34062e+06
P0DMM9;P0DMN0	ST1A3_HUMAN;ST1A4_HUMAN	SULT1A3;SULT1A4	Sulfotransferase 1A3	1.12344e+06
P0DMV8;P0DMV9	HS71A_HUMAN;HS71B_HUMAN	HSPA1A;HSPA1B	Heat shock 70 kDa protein 1A	4.75439e+08
P0DOX2	IGA2_HUMAN		Immunoglobulin alpha-2 heavy chain	2.47734e+07
P0DOX5	IGG1_HUMAN		Immunoglobulin gamma-1 heavy chain	6.81659e+08
P0DOX7	IGK_HUMAN		Immunoglobulin kappa light chain	1.5933e+07
P0DOX8	IGL1_HUMAN		Immunoglobulin lambda-1 light chain	4.92327e+08
P0DOY3	IGLC3_HUMAN	IGLC3	Immunoglobulin lambda constant 3	1.1315e+08
P0DP23;P0DP24;P0DP25	CALM1_HUMAN;CALM2_HUMAN;CALM3_HUMAN	CALM1;CALM2;CALM3	Calmodulin-1	3.63685e+08
P0DPB5	RPC22_HUMAN	POLR1D	Protein POLR1D, isoform 2	2.24129e+06
P0DPD7	EFMT4_HUMAN	EEF1AKMT4	EEF1A lysine methyltransferase 4	3.77303e+06
P10109	ADX_HUMAN	FDX1	Adrenodoxin, mitochondrial	4.67515e+06
P10153	RNAS2_HUMAN	RNASE2	Non-secretory ribonuclease	1.33591e+07
P10155	RO60_HUMAN	RO60	RNA-binding protein RO60	2.31439e+07
P10253	LYAG_HUMAN	GAA	Lysosomal alpha-glucosidase	4.46131e+07
P10301	RRAS_HUMAN	RRAS	Ras-related protein R-Ras	3.009e+07
P10321	HLAC_HUMAN	HLA-C	HLA class I histocompatibility antigen, C alpha chain	9.77288e+07
P10398	ARAF_HUMAN	ARAF	Serine/threonine-protein kinase A-Raf	1.10731e+07
P10412	H14_HUMAN	H1-4	Histone H1.4	1.58543e+09
P10415	BCL2_HUMAN	BCL2	Apoptosis regulator Bcl-2	4.6199e+06
P10515	ODP2_HUMAN	DLAT	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	1.87081e+07
P10586	PTPRF_HUMAN	PTPRF	Receptor-type tyrosine-protein phosphatase F	1.47517e+07
P10588	NR2F6_HUMAN	NR2F6	Nuclear receptor subfamily 2 group F member 6	4.95818e+06
P10599	THIO_HUMAN	TXN	Thioredoxin	3.36943e+08
P10606	COX5B_HUMAN	COX5B	Cytochrome c oxidase subunit 5B, mitochondrial	1.44914e+08
P10619	PPGB_HUMAN	CTSA	Lysosomal protective protein	8.0555e+06
P10620	MGST1_HUMAN	MGST1	Microsomal glutathione S-transferase 1	952076
P10643	CO7_HUMAN	C7	Complement component C7	3.19009e+06
P10644	KAP0_HUMAN	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit	4.5511e+07
P10768	ESTD_HUMAN	ESD	S-formylglutathione hydrolase	4.88873e+07
P10809	CH60_HUMAN	HSPD1	60 kDa heat shock protein, mitochondrial	1.66065e+08
P10909	CLUS_HUMAN	CLU	Clusterin	7.77009e+07
P11021	BIP_HUMAN	HSPA5	Endoplasmic reticulum chaperone BiP	3.88804e+08
P11047	LAMC1_HUMAN	LAMC1	Laminin subunit gamma-1	1.00728e+08
P11117	PPAL_HUMAN	ACP2	Lysosomal acid phosphatase	3.90573e+06
P11142	HSP7C_HUMAN	HSPA8	Heat shock cognate 71 kDa protein	8.58142e+08
P11166	GTR1_HUMAN	SLC2A1	Solute carrier family 2, facilitated glucose transporter member 1	2.64124e+07
P11169;Q8TDB8	GTR14_HUMAN;GTR3_HUMAN	SLC2A14;SLC2A3	Solute carrier family 2, facilitated glucose transporter member 3	548181
P11171	EPB41_HUMAN	EPB41	Protein 4.1	4.92553e+06
P11172	UMPS_HUMAN	UMPS	Uridine 5'-monophosphate synthase	1.2542e+07
P11177	ODPB_HUMAN	PDHB	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	2.54408e+07
P11182	ODB2_HUMAN	DBT	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial	2.05139e+07
P11215	ITAM_HUMAN	ITGAM	Integrin alpha-M	4.14303e+06
P11216	PYGB_HUMAN	PYGB	Glycogen phosphorylase, brain form	4.15858e+07
P11233	RALA_HUMAN	RALA	Ras-related protein Ral-A	4.52007e+07
P11234	RALB_HUMAN	RALB	Ras-related protein Ral-B	7.07496e+06
P11274	BCR_HUMAN	BCR	Breakpoint cluster region protein	4.45354e+06
P11279	LAMP1_HUMAN	LAMP1	Lysosome-associated membrane glycoprotein 1	5.37339e+07
P11310	ACADM_HUMAN	ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	2.86283e+07
P11362;P21802;P22455;P22607	FGFR1_HUMAN;FGFR2_HUMAN;FGFR3_HUMAN;FGFR4_HUMAN	FGFR1;FGFR2;FGFR3;FGFR4	Fibroblast growth factor receptor 1	988962
P11387	TOP1_HUMAN	TOP1	DNA topoisomerase 1	2.39202e+07
P11388	TOP2A_HUMAN	TOP2A	DNA topoisomerase 2-alpha	1.02811e+07
P11413	G6PD_HUMAN	G6PD	Glucose-6-phosphate 1-dehydrogenase	3.74964e+07
P11441	UBL4A_HUMAN	UBL4A	Ubiquitin-like protein 4A	7.36044e+06
P11474	ERR1_HUMAN	ESRRA	Steroid hormone receptor ERR1	325655
P11498	PYC_HUMAN	PC	Pyruvate carboxylase, mitochondrial	5.80997e+06
P11586	C1TC_HUMAN	MTHFD1	C-1-tetrahydrofolate synthase, cytoplasmic	4.3114e+07
P11678	PERE_HUMAN	EPX	Eosinophil peroxidase	2.78947e+07
P11717	MPRI_HUMAN	IGF2R	Cation-independent mannose-6-phosphate receptor	6.71597e+06
P11766	ADHX_HUMAN	ADH5	Alcohol dehydrogenase class-3	1.19098e+08
P11802	CDK4_HUMAN	CDK4	Cyclin-dependent kinase 4	1.28674e+07
P11908	PRPS2_HUMAN	PRPS2	Ribose-phosphate pyrophosphokinase 2	2.48912e+06
P11940	PABP1_HUMAN	PABPC1	Polyadenylate-binding protein 1	7.45124e+07
P12004	PCNA_HUMAN	PCNA	Proliferating cell nuclear antigen	5.45148e+07
P12035	K2C3_HUMAN	KRT3	Keratin, type II cytoskeletal 3	3.16838e+06
P12036	NFH_HUMAN	NEFH	Neurofilament heavy polypeptide	668370
P12074	CX6A1_HUMAN	COX6A1	Cytochrome c oxidase subunit 6A1, mitochondrial	1.06835e+07
P12081	HARS1_HUMAN	HARS1	Histidine--tRNA ligase, cytoplasmic	2.53291e+07
P12109	CO6A1_HUMAN	COL6A1	Collagen alpha-1(VI) chain	3.19562e+08
P12110	CO6A2_HUMAN	COL6A2	Collagen alpha-2(VI) chain	1.91092e+08
P12111	CO6A3_HUMAN	COL6A3	Collagen alpha-3(VI) chain	2.87676e+08
P12235	ADT1_HUMAN	SLC25A4	ADP/ATP translocase 1	4.2861e+06
P12236	ADT3_HUMAN	SLC25A6	ADP/ATP translocase 3	1.56843e+07
P12268	IMDH2_HUMAN	IMPDH2	Inosine-5'-monophosphate dehydrogenase 2	2.77923e+07
P12270	TPR_HUMAN	TPR	Nucleoprotein TPR	1.27311e+07
P12277	KCRB_HUMAN	CKB	Creatine kinase B-type	2.07256e+07
P12429	ANXA3_HUMAN	ANXA3	Annexin A3	2.35019e+07
P12532	KCRU_HUMAN	CKMT1A	Creatine kinase U-type, mitochondrial	9.02991e+07
P12544	GRAA_HUMAN	GZMA	Granzyme A	4.68061e+06
P12694	ODBA_HUMAN	BCKDHA	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	9.0528e+06
P12724	ECP_HUMAN	RNASE3	Eosinophil cationic protein	2.30578e+07
P12814	ACTN1_HUMAN	ACTN1	Alpha-actinin-1	2.94032e+08
P12821	ACE_HUMAN	ACE	Angiotensin-converting enzyme	1.14958e+07
P12829	MYL4_HUMAN	MYL4	Myosin light chain 4	2.09632e+06
P12830	CADH1_HUMAN	CDH1	Cadherin-1	3.94864e+07
P12931	SRC_HUMAN	SRC	Proto-oncogene tyrosine-protein kinase Src	2.31463e+07
P12955	PEPD_HUMAN	PEPD	Xaa-Pro dipeptidase	2.9412e+07
P12956	XRCC6_HUMAN	XRCC6	X-ray repair cross-complementing protein 6	8.8833e+07
P13010	XRCC5_HUMAN	XRCC5	X-ray repair cross-complementing protein 5	8.03129e+07
P13051	UNG_HUMAN	UNG	Uracil-DNA glycosylase	4.99782e+06
P13073	COX41_HUMAN	COX4I1	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	8.15238e+07
P13284	GILT_HUMAN	IFI30	Gamma-interferon-inducible lysosomal thiol reductase	1.00675e+08
P13473	LAMP2_HUMAN	LAMP2	Lysosome-associated membrane glycoprotein 2	2.54629e+07
P13489	RINI_HUMAN	RNH1	Ribonuclease inhibitor	8.23928e+07
P13591	NCAM1_HUMAN	NCAM1	Neural cell adhesion molecule 1	2.06166e+06
P13611	CSPG2_HUMAN	VCAN	Versican core protein	5.53654e+07
P13612	ITA4_HUMAN	ITGA4	Integrin alpha-4	2.49747e+06
P13639	EF2_HUMAN	EEF2	Elongation factor 2	3.93169e+08
P13645	K1C10_HUMAN	KRT10	Keratin, type I cytoskeletal 10	2.25429e+08
P13646	K1C13_HUMAN	KRT13	Keratin, type I cytoskeletal 13	1.05197e+09
P13647	K2C5_HUMAN	KRT5	Keratin, type II cytoskeletal 5	4.50918e+09
P13667	PDIA4_HUMAN	PDIA4	Protein disulfide-isomerase A4	9.79206e+07
P13671	CO6_HUMAN	C6	Complement component C6	2.09037e+06
P13674	P4HA1_HUMAN	P4HA1	Prolyl 4-hydroxylase subunit alpha-1	1.33776e+07
P13686	PPA5_HUMAN	ACP5	Tartrate-resistant acid phosphatase type 5	2.93955e+06
P13688	CEAM1_HUMAN	CEACAM1	Carcinoembryonic antigen-related cell adhesion molecule 1	1.20274e+06
P13693	TCTP_HUMAN	TPT1	Translationally-controlled tumor protein	9.38364e+07
P13716	HEM2_HUMAN	ALAD	Delta-aminolevulinic acid dehydratase	1.22431e+07
P13727	PRG2_HUMAN	PRG2	Bone marrow proteoglycan	4.46427e+06
P13747	HLAE_HUMAN	HLA-E	HLA class I histocompatibility antigen, alpha chain E	3.38718e+06
P13762	DRB4_HUMAN	HLA-DRB4	HLA class II histocompatibility antigen, DR beta 4 chain	1.1036e+07
P13796	PLSL_HUMAN	LCP1	Plastin-2	2.1488e+08
P13797	PLST_HUMAN	PLS3	Plastin-3	7.29549e+07
P13798	ACPH_HUMAN	APEH	Acylamino-acid-releasing enzyme	2.06257e+07
P13804	ETFA_HUMAN	ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial	3.72852e+07
P13807	GYS1_HUMAN	GYS1	Glycogen [starch] synthase, muscle	5.87518e+06
P13861	KAP2_HUMAN	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit	2.47986e+07
P13928	ANXA8_HUMAN	ANXA8	Annexin A8	4.67984e+07
P13984	T2FB_HUMAN	GTF2F2	General transcription factor IIF subunit 2	4.7242e+06
P13987	CD59_HUMAN	CD59	CD59 glycoprotein	3.93626e+07
P14136	GFAP_HUMAN	GFAP	Glial fibrillary acidic protein	1.0017e+07
P14174	MIF_HUMAN	MIF	Macrophage migration inhibitory factor	9.56762e+07
P14314	GLU2B_HUMAN	PRKCSH	Glucosidase 2 subunit beta	8.55336e+07
P14316	IRF2_HUMAN	IRF2	Interferon regulatory factor 2	1.97741e+06
P14317	HCLS1_HUMAN	HCLS1	Hematopoietic lineage cell-specific protein	4.20949e+07
P14324	FPPS_HUMAN	FDPS	Farnesyl pyrophosphate synthase	3.8028e+07
P14384	CBPM_HUMAN	CPM	Carboxypeptidase M	1.14125e+06
P14406	CX7A2_HUMAN	COX7A2	Cytochrome c oxidase subunit 7A2, mitochondrial	1.72054e+07
P14543	NID1_HUMAN	NID1	Nidogen-1	8.81908e+07
P14550	AK1A1_HUMAN	AKR1A1	Aldo-keto reductase family 1 member A1	5.27972e+07
P14618	KPYM_HUMAN	PKM	Pyruvate kinase PKM	1.27335e+09
P14621	ACYP2_HUMAN	ACYP2	Acylphosphatase-2	3.53273e+06
P14625	ENPL_HUMAN	HSP90B1	Endoplasmin	4.32579e+08
P14635	CCNB1_HUMAN	CCNB1	G2/mitotic-specific cyclin-B1	844029
P14649	MYL6B_HUMAN	MYL6B	Myosin light chain 6B	2.7553e+06
P14678;P63162	RSMB_HUMAN;RSMN_HUMAN	SNRPB;SNRPN	Small nuclear ribonucleoprotein-associated proteins B and B'	9.04416e+07
P14735	IDE_HUMAN	IDE	Insulin-degrading enzyme	1.34382e+07
P14780	MMP9_HUMAN	MMP9	Matrix metalloproteinase-9	1.73837e+06
P14854	CX6B1_HUMAN	COX6B1	Cytochrome c oxidase subunit 6B1	8.60363e+06
P14859	PO2F1_HUMAN	POU2F1	POU domain, class 2, transcription factor 1	2.95923e+06
P14866	HNRPL_HUMAN	HNRNPL	Heterogeneous nuclear ribonucleoprotein L	8.99791e+07
P14868	SYDC_HUMAN	DARS1	Aspartate--tRNA ligase, cytoplasmic	4.05917e+07
P14923	PLAK_HUMAN	JUP	Junction plakoglobin	1.38518e+08
P14927	QCR7_HUMAN	UQCRB	Cytochrome b-c1 complex subunit 7	9.05108e+06
P15088	CBPA3_HUMAN	CPA3	Mast cell carboxypeptidase A	8.88364e+07
P15090	FABP4_HUMAN	FABP4	Fatty acid-binding protein, adipocyte	2.7429e+07
P15104	GLNA_HUMAN	GLUL	Glutamine synthetase	5.2635e+06
P15121	ALDR_HUMAN	AKR1B1	Aldo-keto reductase family 1 member B1	7.98285e+07
P15144	AMPN_HUMAN	ANPEP	Aminopeptidase N	9.53151e+06
P15153	RAC2_HUMAN	RAC2	Ras-related C3 botulinum toxin substrate 2	3.24627e+07
P15170	ERF3A_HUMAN	GSPT1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	1.96971e+07
P15289	ARSA_HUMAN	ARSA	Arylsulfatase A	5.08235e+06
P15291	B4GT1_HUMAN	B4GALT1	Beta-1,4-galactosyltransferase 1	7.74879e+06
P15311	EZRI_HUMAN	EZR	Ezrin	1.66492e+08
P15374	UCHL3_HUMAN	UCHL3	Ubiquitin carboxyl-terminal hydrolase isozyme L3	2.04697e+07
P15408	FOSL2_HUMAN	FOSL2	Fos-related antigen 2	2.24314e+06
P15428	PGDH_HUMAN	HPGD	15-hydroxyprostaglandin dehydrogenase [NAD(+)]	9.81848e+06
P15498	VAV_HUMAN	VAV1	Proto-oncogene vav	2.31377e+07
P15502	ELN_HUMAN	ELN	Elastin	3.28539e+06
P15531	NDKA_HUMAN	NME1	Nucleoside diphosphate kinase A	3.33553e+08
P15559	NQO1_HUMAN	NQO1	NAD(P)H dehydrogenase [quinone] 1	3.54191e+07
P15586	GNS_HUMAN	GNS	N-acetylglucosamine-6-sulfatase	8.02029e+06
P15735	PHKG2_HUMAN	PHKG2	Phosphorylase b kinase gamma catalytic chain, liver/testis isoform	6.16362e+06
P15848	ARSB_HUMAN	ARSB	Arylsulfatase B	1.83081e+06
P15880	RS2_HUMAN	RPS2	Small ribosomal subunit protein uS5	2.08755e+08
P15884	ITF2_HUMAN	TCF4	Transcription factor 4	774192
P15924	DESP_HUMAN	DSP	Desmoplakin	2.85158e+08
P15927	RFA2_HUMAN	RPA2	Replication protein A 32 kDa subunit	2.64465e+07
P16070	CD44_HUMAN	CD44	CD44 antigen	8.29308e+07
P16083	NQO2_HUMAN	NQO2	Ribosyldihydronicotinamide dehydrogenase [quinone]	8.3011e+06
P16104	H2AX_HUMAN	H2AX	Histone H2AX	1.10774e+10
P16144	ITB4_HUMAN	ITGB4	Integrin beta-4	3.27509e+07
P16150	LEUK_HUMAN	SPN	Leukosialin	8.24523e+06
P16152	CBR1_HUMAN	CBR1	Carbonyl reductase [NADPH] 1	1.37003e+08
P16219	ACADS_HUMAN	ACADS	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	1.22161e+07
P16220	CREB1_HUMAN	CREB1	Cyclic AMP-responsive element-binding protein 1	6.13376e+06
P16278	BGAL_HUMAN	GLB1	Beta-galactosidase	6.0045e+06
P16284	PECA1_HUMAN	PECAM1	Platelet endothelial cell adhesion molecule	7.03222e+06
P16298	PP2BB_HUMAN	PPP3CB	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform	6.11599e+06
P16333	NCK1_HUMAN	NCK1	Cytoplasmic protein NCK1	1.07828e+07
P16401	H15_HUMAN	H1-5	Histone H1.5	1.03647e+09
P16402	H13_HUMAN	H1-3	Histone H1.3	3.97563e+06
P16403	H12_HUMAN	H1-2	Histone H1.2	9.16861e+06
P16422	EPCAM_HUMAN	EPCAM	Epithelial cell adhesion molecule	3.02077e+06
P16435	NCPR_HUMAN	POR	NADPH--cytochrome P450 reductase	1.98811e+07
P16615	AT2A2_HUMAN	ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	3.50982e+07
P16885	PLCG2_HUMAN	PLCG2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	5.01125e+06
P16930	FAAA_HUMAN	FAH	Fumarylacetoacetase	9.05444e+06
P16949	STMN1_HUMAN	STMN1	Stathmin	5.75553e+07
P16989	YBOX3_HUMAN	YBX3	Y-box-binding protein 3	4.42362e+07
P17026	ZNF22_HUMAN	ZNF22	Zinc finger protein 22	1.00959e+07
P17028	ZNF24_HUMAN	ZNF24	Zinc finger protein 24	2.21533e+06
P17050	NAGAB_HUMAN	NAGA	Alpha-N-acetylgalactosaminidase	7.49888e+06
P17096	HMGA1_HUMAN	HMGA1	High mobility group protein HMG-I/HMG-Y	2.05557e+07
P17174	AATC_HUMAN	GOT1	Aspartate aminotransferase, cytoplasmic	3.5814e+07
P17252	KPCA_HUMAN	PRKCA	Protein kinase C alpha type	3.27198e+06
P17275	JUNB_HUMAN	JUNB	Transcription factor JunB	1.38193e+07
P17301	ITA2_HUMAN	ITGA2	Integrin alpha-2	7.81216e+06
P17302	CXA1_HUMAN	GJA1	Gap junction alpha-1 protein	7.49109e+06
P17480	UBF1_HUMAN	UBTF	Nucleolar transcription factor 1	1.61245e+07
P17544	ATF7_HUMAN	ATF7	Cyclic AMP-dependent transcription factor ATF-7	369594
