Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\B20190315yix_KRUK_DIA_b1_13.mzML
P20061	TCO1_HUMAN	TCN1	Transcobalamin-1	1.3806e+07
P20073	ANXA7_HUMAN	ANXA7	Annexin A7	6.16156e+07
P20132	SDHL_HUMAN	SDS	L-serine dehydratase/L-threonine deaminase	1.63588e+07
P20231;Q15661	TRYB1_HUMAN;TRYB2_HUMAN	TPSAB1;TPSB2	Tryptase beta-2	1.56054e+07
P20290	BTF3_HUMAN	BTF3	Transcription factor BTF3	1.0839e+08
P20336	RAB3A_HUMAN	RAB3A	Ras-related protein Rab-3A	1.0286e+06
P20339	RAB5A_HUMAN	RAB5A	Ras-related protein Rab-5A	2.11045e+07
P20340	RAB6A_HUMAN	RAB6A	Ras-related protein Rab-6A	3.15086e+07
P20591	MX1_HUMAN	MX1	Interferon-induced GTP-binding protein Mx1	3.73822e+07
P20592	MX2_HUMAN	MX2	Interferon-induced GTP-binding protein Mx2	1.80819e+06
P20618	PSB1_HUMAN	PSMB1	Proteasome subunit beta type-1	1.35084e+08
P20674	COX5A_HUMAN	COX5A	Cytochrome c oxidase subunit 5A, mitochondrial	4.64004e+07
P20700	LMNB1_HUMAN	LMNB1	Lamin-B1	1.751e+08
P20774	MIME_HUMAN	OGN	Mimecan	3.04452e+08
P20810	ICAL_HUMAN	CAST	Calpastatin	3.53504e+07
P20839	IMDH1_HUMAN	IMPDH1	Inosine-5'-monophosphate dehydrogenase 1	3.39407e+06
P20933	ASPG_HUMAN	AGA	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	1.26604e+07
P20936	RASA1_HUMAN	RASA1	Ras GTPase-activating protein 1	2.65927e+06
P20962	PTMS_HUMAN	PTMS	Parathymosin	1.26407e+08
P21127;Q9UQ88	CD11A_HUMAN;CD11B_HUMAN	CDK11A;CDK11B	Cyclin-dependent kinase 11B	1.68815e+07
P21217;P51993;Q11128	FUT3_HUMAN;FUT5_HUMAN;FUT6_HUMAN	FUT3;FUT5;FUT6	3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3	763325
P21266	GSTM3_HUMAN	GSTM3	Glutathione S-transferase Mu 3	4.63004e+07
P21281	VATB2_HUMAN	ATP6V1B2	V-type proton ATPase subunit B, brain isoform	4.91719e+07
P21283	VATC1_HUMAN	ATP6V1C1	V-type proton ATPase subunit C 1	2.00139e+07
P21291	CSRP1_HUMAN	CSRP1	Cysteine and glycine-rich protein 1	2.29531e+09
P21333	FLNA_HUMAN	FLNA	Filamin-A	2.52102e+09
P21397	AOFA_HUMAN	MAOA	Amine oxidase [flavin-containing] A	1.08998e+08
P21399	ACOHC_HUMAN	ACO1	Cytoplasmic aconitate hydratase	2.1817e+07
P21589	5NTD_HUMAN	NT5E	5'-nucleotidase	3.67905e+07
P21796	VDAC1_HUMAN	VDAC1	Voltage-dependent anion-selective channel protein 1	1.20657e+08
P21810	PGS1_HUMAN	BGN	Biglycan	2.46614e+08
P21912	SDHB_HUMAN	SDHB	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	2.03812e+07
P21926	CD9_HUMAN	CD9	CD9 antigen	1.46299e+07
P21964	COMT_HUMAN	COMT	Catechol O-methyltransferase	3.75389e+07
P21980	TGM2_HUMAN	TGM2	Protein-glutamine gamma-glutamyltransferase 2	3.35652e+08
P22033	MUTA_HUMAN	MMUT	Methylmalonyl-CoA mutase, mitochondrial	6.23597e+07
P22059	OSBP1_HUMAN	OSBP	Oxysterol-binding protein 1	1.47608e+07
P22061	PIMT_HUMAN	PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	6.80836e+07
P22087	FBRL_HUMAN	FBL	rRNA 2'-O-methyltransferase fibrillarin	1.73466e+08
P22102	PUR2_HUMAN	GART	Trifunctional purine biosynthetic protein adenosine-3	5.769e+07
P22105	TENX_HUMAN	TNXB	Tenascin-X	2.52742e+07
P22234	PUR6_HUMAN	PAICS	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase	6.80356e+07
P22307	SCP2_HUMAN	SCP2	Sterol carrier protein 2	1.10164e+07
P22314	UBA1_HUMAN	UBA1	Ubiquitin-like modifier-activating enzyme 1	2.13462e+08
P22352	GPX3_HUMAN	GPX3	Glutathione peroxidase 3	8.42237e+07
P22392	NDKB_HUMAN	NME2	Nucleoside diphosphate kinase B	1.33253e+08
P22415;Q15853	USF1_HUMAN;USF2_HUMAN	USF1;USF2	Upstream stimulatory factor 1	3.56696e+06
P22570	ADRO_HUMAN	FDXR	NADPH:adrenodoxin oxidoreductase, mitochondrial	9.37873e+06
P22626	ROA2_HUMAN	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	1.27772e+09
P22695	QCR2_HUMAN	UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial	6.50873e+07
P23141	EST1_HUMAN	CES1	Liver carboxylesterase 1	3.11894e+07
P23142	FBLN1_HUMAN	FBLN1	Fibulin-1	6.54321e+06
P23193	TCEA1_HUMAN	TCEA1	Transcription elongation factor A protein 1	3.65936e+07
P23219	PGH1_HUMAN	PTGS1	Prostaglandin G/H synthase 1	6.55016e+06
P23229	ITA6_HUMAN	ITGA6	Integrin alpha-6	3.87072e+07
P23246	SFPQ_HUMAN	SFPQ	Splicing factor, proline- and glutamine-rich	3.10853e+08
P23258;Q9NRH3	TBG1_HUMAN;TBG2_HUMAN	TUBG1;TUBG2	Tubulin gamma-1 chain	1.17478e+07
P23284	PPIB_HUMAN	PPIB	Peptidyl-prolyl cis-trans isomerase B	4.64669e+08
P23368	MAOM_HUMAN	ME2	NAD-dependent malic enzyme, mitochondrial	2.27179e+07
P23381	SYWC_HUMAN	WARS1	Tryptophan--tRNA ligase, cytoplasmic	9.76712e+07
P23396	RS3_HUMAN	RPS3	Small ribosomal subunit protein uS3	2.34562e+08
P23434	GCSH_HUMAN	GCSH	Glycine cleavage system H protein, mitochondrial	3.99195e+06
P23469	PTPRE_HUMAN	PTPRE	Receptor-type tyrosine-protein phosphatase epsilon	992451
P23497	SP100_HUMAN	SP100	Nuclear autoantigen Sp-100	2.76823e+07
P23511	NFYA_HUMAN	NFYA	Nuclear transcription factor Y subunit alpha	2.24807e+06
P23526	SAHH_HUMAN	AHCY	Adenosylhomocysteinase	1.3073e+08
P23528	COF1_HUMAN	CFL1	Cofilin-1	9.14073e+08
P23588	IF4B_HUMAN	EIF4B	Eukaryotic translation initiation factor 4B	8.23116e+07
P23634	AT2B4_HUMAN	ATP2B4	Plasma membrane calcium-transporting ATPase 4	2.77649e+07
P23786	CPT2_HUMAN	CPT2	Carnitine O-palmitoyltransferase 2, mitochondrial	8.2822e+07
P23919	KTHY_HUMAN	DTYMK	Thymidylate kinase	1.92955e+07
P23921	RIR1_HUMAN	RRM1	Ribonucleoside-diphosphate reductase large subunit	7.82309e+06
P24043	LAMA2_HUMAN	LAMA2	Laminin subunit alpha-2	1.088e+07
P24534	EF1B_HUMAN	EEF1B2	Elongation factor 1-beta	1.72573e+08
P24539	AT5F1_HUMAN	ATP5PB	ATP synthase F(0) complex subunit B1, mitochondrial	3.91644e+07
P24557	THAS_HUMAN	TBXAS1	Thromboxane-A synthase	4.48212e+06
P24666	PPAC_HUMAN	ACP1	Low molecular weight phosphotyrosine protein phosphatase	1.21586e+07
P24752	THIL_HUMAN	ACAT1	Acetyl-CoA acetyltransferase, mitochondrial	1.06243e+08
P24821	TENA_HUMAN	TNC	Tenascin	3.51501e+08
P24844	MYL9_HUMAN	MYL9	Myosin regulatory light polypeptide 9	5.64096e+08
P24928	RPB1_HUMAN	POLR2A	DNA-directed RNA polymerase II subunit RPB1	1.13467e+07
P25092	GUC2C_HUMAN	GUCY2C	Guanylyl cyclase C	3.96731e+06
P25098	ARBK1_HUMAN	GRK2	Beta-adrenergic receptor kinase 1	1.62524e+07
P25205	MCM3_HUMAN	MCM3	DNA replication licensing factor MCM3	4.34975e+07
P25208	NFYB_HUMAN	NFYB	Nuclear transcription factor Y subunit beta	1.40894e+07
P25311	ZA2G_HUMAN	AZGP1	Zinc-alpha-2-glycoprotein	2.47512e+07
P25325	THTM_HUMAN	MPST	3-mercaptopyruvate sulfurtransferase	7.44581e+07
P25398	RS12_HUMAN	RPS12	Small ribosomal subunit protein eS12	1.04429e+08
P25490	TYY1_HUMAN	YY1	Transcriptional repressor protein YY1	1.85007e+07
P25685	DNJB1_HUMAN	DNAJB1	DnaJ homolog subfamily B member 1	2.24681e+07
P25686	DNJB2_HUMAN	DNAJB2	DnaJ homolog subfamily B member 2	5.83467e+06
P25705	ATPA_HUMAN	ATP5F1A	ATP synthase subunit alpha, mitochondrial	6.50268e+08
P25774	CATS_HUMAN	CTSS	Cathepsin S	5.28736e+07
P25786	PSA1_HUMAN	PSMA1	Proteasome subunit alpha type-1	1.03163e+08
P25787	PSA2_HUMAN	PSMA2	Proteasome subunit alpha type-2	5.9592e+07
P25788	PSA3_HUMAN	PSMA3	Proteasome subunit alpha type-3	9.88165e+07
P25789	PSA4_HUMAN	PSMA4	Proteasome subunit alpha type-4	4.66263e+07
P25815	S100P_HUMAN	S100P	Protein S100-P	2.24957e+08
P26006	ITA3_HUMAN	ITGA3	Integrin alpha-3	2.95996e+07
P26038	MOES_HUMAN	MSN	Moesin	4.06741e+08
P26196	DDX6_HUMAN	DDX6	Probable ATP-dependent RNA helicase DDX6	2.96002e+07
P26358	DNMT1_HUMAN	DNMT1	DNA (cytosine-5)-methyltransferase 1	4.75296e+06
P26368	U2AF2_HUMAN	U2AF2	Splicing factor U2AF 65 kDa subunit	8.9917e+07
P26373	RL13_HUMAN	RPL13	Large ribosomal subunit protein eL13	4.7134e+08
P26440	IVD_HUMAN	IVD	Isovaleryl-CoA dehydrogenase, mitochondrial	2.45893e+07
P26447	S10A4_HUMAN	S100A4	Protein S100-A4	6.87322e+07
P26583	HMGB2_HUMAN	HMGB2	High mobility group protein B2	1.13927e+08
P26599	PTBP1_HUMAN	PTBP1	Polypyrimidine tract-binding protein 1	1.79068e+08
P26639	SYTC_HUMAN	TARS1	Threonine--tRNA ligase 1, cytoplasmic	8.051e+07
P26640	SYVC_HUMAN	VARS1	Valine--tRNA ligase	6.78159e+07
P26641	EF1G_HUMAN	EEF1G	Elongation factor 1-gamma	1.7174e+08
P26885	FKBP2_HUMAN	FKBP2	Peptidyl-prolyl cis-trans isomerase FKBP2	6.70003e+07
P27105	STOM_HUMAN	STOM	Stomatin	1.81048e+08
P27144	KAD4_HUMAN	AK4	Adenylate kinase 4, mitochondrial	7.15319e+06
P27216	ANX13_HUMAN	ANXA13	Annexin A13	6.68644e+07
P27338	AOFB_HUMAN	MAOB	Amine oxidase [flavin-containing] B	1.68778e+07
P27348	1433T_HUMAN	YWHAQ	14-3-3 protein theta	1.47373e+08
P27361	MK03_HUMAN	MAPK3	Mitogen-activated protein kinase 3	7.60162e+07
P27448	MARK3_HUMAN	MARK3	MAP/microtubule affinity-regulating kinase 3	2.52249e+06
P27487	DPP4_HUMAN	DPP4	Dipeptidyl peptidase 4	1.37308e+07
P27635	RL10_HUMAN	RPL10	Large ribosomal subunit protein uL16	1.79887e+08
P27658	CO8A1_HUMAN	COL8A1	Collagen alpha-1(VIII) chain	2.46352e+06
P27694	RFA1_HUMAN	RPA1	Replication protein A 70 kDa DNA-binding subunit	2.14615e+07
P27695	APEX1_HUMAN	APEX1	DNA-(apurinic or apyrimidinic site) endonuclease	4.8896e+07
P27707	DCK_HUMAN	DCK	Deoxycytidine kinase	5.48303e+06
P27708	PYR1_HUMAN	CAD	CAD protein	1.03993e+07
P27797	CALR_HUMAN	CALR	Calreticulin	1.49089e+08
P27816	MAP4_HUMAN	MAP4	Microtubule-associated protein 4	1.14083e+08
P27824	CALX_HUMAN	CANX	Calnexin	5.99999e+07
P27986	P85A_HUMAN	PIK3R1	Phosphatidylinositol 3-kinase regulatory subunit alpha	4.8278e+07
P27987	IP3KB_HUMAN	ITPKB	Inositol-trisphosphate 3-kinase B	6.72863e+06
P28062	PSB8_HUMAN	PSMB8	Proteasome subunit beta type-8	3.14579e+07
P28065	PSB9_HUMAN	PSMB9	Proteasome subunit beta type-9	2.89599e+07
P28066	PSA5_HUMAN	PSMA5	Proteasome subunit alpha type-5	6.80518e+07
P28070	PSB4_HUMAN	PSMB4	Proteasome subunit beta type-4	3.17056e+07
P28072	PSB6_HUMAN	PSMB6	Proteasome subunit beta type-6	1.47139e+07
P28074	PSB5_HUMAN	PSMB5	Proteasome subunit beta type-5	6.01378e+06
P28161	GSTM2_HUMAN	GSTM2	Glutathione S-transferase Mu 2	4.21484e+07
P28288	ABCD3_HUMAN	ABCD3	ATP-binding cassette sub-family D member 3	1.6133e+07
P28289	TMOD1_HUMAN	TMOD1	Tropomodulin-1	2.4635e+07
P28290	ITPI2_HUMAN	ITPRID2	Protein ITPRID2	5.20068e+06
P28331	NDUS1_HUMAN	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	5.71538e+07
P28340	DPOD1_HUMAN	POLD1	DNA polymerase delta catalytic subunit	1.89249e+06
P28482	MK01_HUMAN	MAPK1	Mitogen-activated protein kinase 1	7.99854e+07
P28676	GRAN_HUMAN	GCA	Grancalcin	3.75324e+06
P28838	AMPL_HUMAN	LAP3	Cytosol aminopeptidase	2.65175e+08
P29083	T2EA_HUMAN	GTF2E1	General transcription factor IIE subunit 1	3.80571e+06
P29084	T2EB_HUMAN	GTF2E2	Transcription initiation factor IIE subunit beta	2.88946e+06
P29144	TPP2_HUMAN	TPP2	Tripeptidyl-peptidase 2	8.04534e+06
P29218	IMPA1_HUMAN	IMPA1	Inositol monophosphatase 1	1.57687e+07
P29323	EPHB2_HUMAN	EPHB2	Ephrin type-B receptor 2	1.50113e+07
P29350	PTN6_HUMAN	PTPN6	Tyrosine-protein phosphatase non-receptor type 6	1.44411e+07
P29353;P98077	SHC1_HUMAN;SHC2_HUMAN	SHC1;SHC2	SHC-transforming protein 1	4.68371e+06
P29401	TKT_HUMAN	TKT	Transketolase	4.29022e+08
P29466	CASP1_HUMAN	CASP1	Caspase-1	1.79961e+07
P29536	LMOD1_HUMAN	LMOD1	Leiomodin-1	1.33334e+08
P29558	RBMS1_HUMAN	RBMS1	RNA-binding motif, single-stranded-interacting protein 1	6.50176e+06
P29590	PML_HUMAN	PML	Protein PML	2.34883e+07
P29622	KAIN_HUMAN	SERPINA4	Kallistatin	1.48044e+07
P29692	EF1D_HUMAN	EEF1D	Elongation factor 1-delta	1.74503e+08
P29728	OAS2_HUMAN	OAS2	2'-5'-oligoadenylate synthase 2	1.6445e+07
P29966	MARCS_HUMAN	MARCKS	Myristoylated alanine-rich C-kinase substrate	7.68699e+07
P29992	GNA11_HUMAN	GNA11	Guanine nucleotide-binding protein subunit alpha-11	2.28268e+07
P30038	AL4A1_HUMAN	ALDH4A1	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	1.5973e+07
P30039	PBLD_HUMAN	PBLD	Phenazine biosynthesis-like domain-containing protein	1.05366e+07
P30040	ERP29_HUMAN	ERP29	Endoplasmic reticulum resident protein 29	1.15623e+08
P30041	PRDX6_HUMAN	PRDX6	Peroxiredoxin-6	1.4675e+08
P30043	BLVRB_HUMAN	BLVRB	Flavin reductase (NADPH)	2.48659e+07
P30044	PRDX5_HUMAN	PRDX5	Peroxiredoxin-5, mitochondrial	1.94662e+08
P30046	DOPD_HUMAN	DDT	D-dopachrome decarboxylase	4.62044e+07
P30048	PRDX3_HUMAN	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial	7.98049e+07
P30049	ATPD_HUMAN	ATP5F1D	ATP synthase subunit delta, mitochondrial	1.24771e+08
P30050	RL12_HUMAN	RPL12	Large ribosomal subunit protein uL11	2.27591e+08
P30084	ECHM_HUMAN	ECHS1	Enoyl-CoA hydratase, mitochondrial	1.03826e+08
P30085	KCY_HUMAN	CMPK1	UMP-CMP kinase	1.18871e+08
P30086	PEBP1_HUMAN	PEBP1	Phosphatidylethanolamine-binding protein 1	7.3699e+08
P30101	PDIA3_HUMAN	PDIA3	Protein disulfide-isomerase A3	2.9671e+08
P30153	2AAA_HUMAN	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	9.87722e+07
P30260	CDC27_HUMAN	CDC27	Cell division cycle protein 27 homolog	3.14774e+06
P30273	FCERG_HUMAN	FCER1G	High affinity immunoglobulin epsilon receptor subunit gamma	1.55761e+07
P30419	NMT1_HUMAN	NMT1	Glycylpeptide N-tetradecanoyltransferase 1	1.87662e+07
P30519	HMOX2_HUMAN	HMOX2	Heme oxygenase 2	3.79263e+07
P30520	PURA2_HUMAN	ADSS2	Adenylosuccinate synthetase isozyme 2	2.59329e+07
P30533	AMRP_HUMAN	LRPAP1	Alpha-2-macroglobulin receptor-associated protein	1.59184e+07
P30566	PUR8_HUMAN	ADSL	Adenylosuccinate lyase	3.48425e+07
P30622	CLIP1_HUMAN	CLIP1	CAP-Gly domain-containing linker protein 1	1.16268e+07
P30626	SORCN_HUMAN	SRI	Sorcin	1.95075e+08
P30740	ILEU_HUMAN	SERPINB1	Leukocyte elastase inhibitor	2.15127e+08
P30837	AL1B1_HUMAN	ALDH1B1	Aldehyde dehydrogenase X, mitochondrial	6.73916e+07
P30876	RPB2_HUMAN	POLR2B	DNA-directed RNA polymerase II subunit RPB2	2.80391e+06
P31040	SDHA_HUMAN	SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	2.86774e+07
P31146	COR1A_HUMAN	CORO1A	Coronin-1A	2.27001e+08
P31150	GDIA_HUMAN	GDI1	Rab GDP dissociation inhibitor alpha	3.60181e+07
P31153	METK2_HUMAN	MAT2A	S-adenosylmethionine synthase isoform type-2	5.87831e+07
P31323	KAP3_HUMAN	PRKAR2B	cAMP-dependent protein kinase type II-beta regulatory subunit	9.65377e+06
P31327	CPSM_HUMAN	CPS1	Carbamoyl-phosphate synthase [ammonia], mitochondrial	1.1474e+07
P31350	RIR2_HUMAN	RRM2	Ribonucleoside-diphosphate reductase subunit M2	1.55289e+07
P31431	SDC4_HUMAN	SDC4	Syndecan-4	2.52657e+06
P31483	TIA1_HUMAN	TIA1	Cytotoxic granule associated RNA binding protein TIA1	1.65521e+07
P31689	DNJA1_HUMAN	DNAJA1	DnaJ homolog subfamily A member 1	2.14429e+07
P31749	AKT1_HUMAN	AKT1	RAC-alpha serine/threonine-protein kinase	7.0312e+06
P31751	AKT2_HUMAN	AKT2	RAC-beta serine/threonine-protein kinase	2.32549e+06
P31930	QCR1_HUMAN	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	8.58946e+07
P31937	3HIDH_HUMAN	HIBADH	3-hydroxyisobutyrate dehydrogenase, mitochondrial	1.91758e+07
P31939	PUR9_HUMAN	ATIC	Bifunctional purine biosynthesis protein ATIC	1.00887e+08
P31942	HNRH3_HUMAN	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	9.98649e+07
P31943	HNRH1_HUMAN	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	1.78494e+08
P31946	1433B_HUMAN	YWHAB	14-3-3 protein beta/alpha	2.40466e+08
P31947	1433S_HUMAN	SFN	14-3-3 protein sigma	3.88266e+07
P31948	STIP1_HUMAN	STIP1	Stress-induced-phosphoprotein 1	1.23637e+08
P31949	S10AB_HUMAN	S100A11	Protein S100-A11	7.23948e+07
P31997	CEAM8_HUMAN	CEACAM8	Carcinoembryonic antigen-related cell adhesion molecule 8	1.10869e+07
P32119	PRDX2_HUMAN	PRDX2	Peroxiredoxin-2	1.79079e+08
P32189;Q14410	GLPK2_HUMAN;GLPK_HUMAN	GK;GK2	Glycerol kinase	3.01341e+06
P32321	DCTD_HUMAN	DCTD	Deoxycytidylate deaminase	1.29996e+06
P32455	GBP1_HUMAN	GBP1	Guanylate-binding protein 1	2.84673e+07
P32456	GBP2_HUMAN	GBP2	Guanylate-binding protein 2	5.30862e+07
P32929	CGL_HUMAN	CTH	Cystathionine gamma-lyase	1.59672e+06
P32942	ICAM3_HUMAN	ICAM3	Intercellular adhesion molecule 3	1.11646e+06
P32969	RL9_HUMAN	RPL9	Large ribosomal subunit protein uL6	2.2728e+08
P33121	ACSL1_HUMAN	ACSL1	Long-chain-fatty-acid--CoA ligase 1	1.27112e+07
P33151	CADH5_HUMAN	CDH5	Cadherin-5	7.37738e+07
P33176	KINH_HUMAN	KIF5B	Kinesin-1 heavy chain	4.61909e+07
P33240	CSTF2_HUMAN	CSTF2	Cleavage stimulation factor subunit 2	2.50248e+07
P33241	LSP1_HUMAN	LSP1	Lymphocyte-specific protein 1	5.55287e+07
P33316	DUT_HUMAN	DUT	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	9.07788e+06
P33527	MRP1_HUMAN	ABCC1	Multidrug resistance-associated protein 1	4.89017e+06
P33991	MCM4_HUMAN	MCM4	DNA replication licensing factor MCM4	3.1918e+07
P33992	MCM5_HUMAN	MCM5	DNA replication licensing factor MCM5	2.00411e+07
P33993	MCM7_HUMAN	MCM7	DNA replication licensing factor MCM7	3.24534e+07
P34897	GLYM_HUMAN	SHMT2	Serine hydroxymethyltransferase, mitochondrial	3.1943e+07
P34913	HYES_HUMAN	EPHX2	Bifunctional epoxide hydrolase 2	1.33465e+07
P34931	HS71L_HUMAN	HSPA1L	Heat shock 70 kDa protein 1-like	5.10184e+08
P34932	HSP74_HUMAN	HSPA4	Heat shock 70 kDa protein 4	6.75045e+07
P34949	MPI_HUMAN	MPI	Mannose-6-phosphate isomerase	5.51603e+06
P35052	GPC1_HUMAN	GPC1	Glypican-1	7.70063e+06
P35080	PROF2_HUMAN	PFN2	Profilin-2	1.6801e+07
P35221	CTNA1_HUMAN	CTNNA1	Catenin alpha-1	9.90482e+07
P35222	CTNB1_HUMAN	CTNNB1	Catenin beta-1	7.42845e+07
P35232	PHB1_HUMAN	PHB1	Prohibitin 1	1.67808e+08
P35237	SPB6_HUMAN	SERPINB6	Serpin B6	1.0471e+08
P35241	RADI_HUMAN	RDX	Radixin	2.02697e+07
P35244	RFA3_HUMAN	RPA3	Replication protein A 14 kDa subunit	3.29864e+07
P35249	RFC4_HUMAN	RFC4	Replication factor C subunit 4	9.71006e+06
P35250	RFC2_HUMAN	RFC2	Replication factor C subunit 2	3.36794e+06
P35251	RFC1_HUMAN	RFC1	Replication factor C subunit 1	1.23892e+06
P35268	RL22_HUMAN	RPL22	Large ribosomal subunit protein eL22	4.262e+08
P35269	T2FA_HUMAN	GTF2F1	General transcription factor IIF subunit 1	1.10684e+07
P35270	SPRE_HUMAN	SPR	Sepiapterin reductase	3.83458e+07
P35443	TSP4_HUMAN	THBS4	Thrombospondin-4	1.55499e+07
P35527	K1C9_HUMAN	KRT9	Keratin, type I cytoskeletal 9	1.79634e+08
P35555	FBN1_HUMAN	FBN1	Fibrillin-1	2.46092e+07
P35558	PCKGC_HUMAN	PCK1	Phosphoenolpyruvate carboxykinase, cytosolic [GTP]	853947
P35573	GDE_HUMAN	AGL	Glycogen debranching enzyme	1.77668e+07
P35579	MYH9_HUMAN	MYH9	Myosin-9	4.53353e+08
P35580	MYH10_HUMAN	MYH10	Myosin-10	3.01287e+07
P35606	COPB2_HUMAN	COPB2	Coatomer subunit beta'	4.27478e+07
P35610	SOAT1_HUMAN	SOAT1	Sterol O-acyltransferase 1	6.11871e+06
P35611	ADDA_HUMAN	ADD1	Alpha-adducin	3.78669e+07
P35613	BASI_HUMAN	BSG	Basigin	3.14838e+07
P35637	FUS_HUMAN	FUS	RNA-binding protein FUS	2.03031e+08
P35658	NU214_HUMAN	NUP214	Nuclear pore complex protein Nup214	8.76352e+06
P35659	DEK_HUMAN	DEK	Protein DEK	2.03668e+07
P35749	MYH11_HUMAN	MYH11	Myosin-11	1.40139e+09
P35754	GLRX1_HUMAN	GLRX	Glutaredoxin-1	7.85662e+06
P35813	PPM1A_HUMAN	PPM1A	Protein phosphatase 1A	8.8718e+06
P35900	K1C20_HUMAN	KRT20	Keratin, type I cytoskeletal 20	1.92517e+08
P35908	K22E_HUMAN	KRT2	Keratin, type II cytoskeletal 2 epidermal	6.47344e+07
P35914	HMGCL_HUMAN	HMGCL	Hydroxymethylglutaryl-CoA lyase, mitochondrial	7.38256e+06
P35998	PRS7_HUMAN	PSMC2	26S proteasome regulatory subunit 7	2.68425e+07
P36269	GGT5_HUMAN	GGT5	Glutathione hydrolase 5 proenzyme	1.81884e+07
P36405	ARL3_HUMAN	ARL3	ADP-ribosylation factor-like protein 3	2.00568e+07
P36507	MP2K2_HUMAN	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2	5.59738e+06
P36542	ATPG_HUMAN	ATP5F1C	ATP synthase subunit gamma, mitochondrial	9.34039e+07
P36543	VATE1_HUMAN	ATP6V1E1	V-type proton ATPase subunit E 1	3.55483e+07
P36578	RL4_HUMAN	RPL4	Large ribosomal subunit protein uL4	4.27039e+08
P36776	LONM_HUMAN	LONP1	Lon protease homolog, mitochondrial	1.97421e+07
P36871	PGM1_HUMAN	PGM1	Phosphoglucomutase-1	4.71235e+07
P36873	PP1G_HUMAN	PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	2.03208e+07
P36915	GNL1_HUMAN	GNL1	Guanine nucleotide-binding protein-like 1	7.99096e+06
P36952	SPB5_HUMAN	SERPINB5	Serpin B5	1.55976e+07
P36955	PEDF_HUMAN	SERPINF1	Pigment epithelium-derived factor	3.30748e+07
P36957	ODO2_HUMAN	DLST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	1.16191e+08
P36969	GPX4_HUMAN	GPX4	Phospholipid hydroperoxide glutathione peroxidase	4.36867e+06
P37108	SRP14_HUMAN	SRP14	Signal recognition particle 14 kDa protein	1.01238e+08
P37198	NUP62_HUMAN	NUP62	Nuclear pore glycoprotein p62	8.76441e+06
P37802	TAGL2_HUMAN	TAGLN2	Transgelin-2	1.48181e+09
P37837	TALDO_HUMAN	TALDO1	Transaldolase	2.4333e+08
P38117	ETFB_HUMAN	ETFB	Electron transfer flavoprotein subunit beta	8.70325e+07
P38159	RBMX_HUMAN	RBMX	RNA-binding motif protein, X chromosome	2.53778e+08
P38571	LICH_HUMAN	LIPA	Lysosomal acid lipase/cholesteryl ester hydrolase	1.63743e+07
P38606	VATA_HUMAN	ATP6V1A	V-type proton ATPase catalytic subunit A	4.3998e+07
P38646	GRP75_HUMAN	HSPA9	Stress-70 protein, mitochondrial	2.82432e+08
P38919	IF4A3_HUMAN	EIF4A3	Eukaryotic initiation factor 4A-III	1.2963e+08
P39019	RS19_HUMAN	RPS19	Small ribosomal subunit protein eS19	2.87086e+08
P39023	RL3_HUMAN	RPL3	Large ribosomal subunit protein uL3	1.10702e+08
P39059	COFA1_HUMAN	COL15A1	Collagen alpha-1(XV) chain	7.31347e+06
P39060	COIA1_HUMAN	COL18A1	Collagen alpha-1(XVIII) chain	6.16747e+07
P39656	OST48_HUMAN	DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	9.57447e+07
P39687	AN32A_HUMAN	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A	2.62534e+08
P39748	FEN1_HUMAN	FEN1	Flap endonuclease 1	3.35895e+07
P40121	CAPG_HUMAN	CAPG	Macrophage-capping protein	2.3429e+08
P40123	CAP2_HUMAN	CAP2	Adenylyl cyclase-associated protein 2	2.20262e+07
P40199	CEAM6_HUMAN	CEACAM6	Carcinoembryonic antigen-related cell adhesion molecule 6	6.60791e+07
