Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01.mzML
P31412	VATC_YEAST	VMA5	V-type proton ATPase subunit C	8.386e+06
P31431	SDC4_HUMAN	SDC4	Syndecan-4	9.87988e+06
P31483	TIA1_HUMAN	TIA1	Nucleolysin TIA-1 isoform p40	5.71159e+06
P31539	HS104_YEAST	HSP104	Heat shock protein 104	4.71628e+07
P31641	SC6A6_HUMAN	SLC6A6	Sodium- and chloride-dependent taurine transporter	1.81688e+06
P31688	TPS2_YEAST	TPS2	Trehalose-phosphatase	1.12454e+07
P31689	DNJA1_HUMAN	DNAJA1	DnaJ homolog subfamily A member 1	4.73364e+07
P31751	AKT2_HUMAN	AKT2	RAC-beta serine/threonine-protein kinase	1.86817e+06
P31787	ACBP_YEAST	ACB1	Acyl-CoA-binding protein	7.29602e+07
P31930	QCR1_HUMAN	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	4.7191e+07
P31937	3HIDH_HUMAN	HIBADH	3-hydroxyisobutyrate dehydrogenase, mitochondrial	6.62303e+06
P31939	PUR9_HUMAN	ATIC	Bifunctional purine biosynthesis protein ATIC	5.16377e+07
P31942	HNRH3_HUMAN	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	6.30291e+07
P31943	HNRH1_HUMAN	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	2.86502e+08
P31944	CASPE_HUMAN	CASP14	Caspase-14	745668
P31946	1433B_HUMAN	YWHAB	14-3-3 protein beta/alpha	1.68111e+08
P31947	1433S_HUMAN	SFN	14-3-3 protein sigma	1.09478e+08
P31948	STIP1_HUMAN	STIP1	Stress-induced-phosphoprotein 1	1.02933e+08
P31949	S10AB_HUMAN	S100A11	Protein S100-A11	7.5272e+08
P32004	L1CAM_HUMAN	L1CAM	Neural cell adhesion molecule L1	1.24832e+07
P32074	COPG_YEAST	SEC21	Coatomer subunit gamma	3.9598e+06
P32119	PRDX2_HUMAN	PRDX2	Peroxiredoxin-2	2.54674e+08
P32178	CHMU_YEAST	ARO7	Chorismate mutase	4.64376e+06
P32179	MET22_YEAST	MET22	3'(2'),5'-bisphosphate nucleotidase	6.46376e+06
P32189;Q14409	GLPK3_HUMAN;GLPK_HUMAN	GK;GK3P	Glycerol kinase	1.01083e+06
P32190	GLPK_YEAST	GUT1	Glycerol kinase	459264
P32191	GPDM_YEAST	GUT2	Glycerol-3-phosphate dehydrogenase, mitochondrial	5.17656e+06
P32263	P5CR_YEAST	PRO3	Pyrroline-5-carboxylate reductase	8.63797e+06
P32264	PROB_YEAST	PRO1	Glutamate 5-kinase	195864
P32288	GLNA_YEAST	GLN1	Glutamine synthetase	3.89652e+06
P32316	ACH1_YEAST	ACH1	Acetyl-CoA hydrolase	1.11464e+08
P32320	CDD_HUMAN	CDA	Cytidine deaminase	1.72051e+07
P32321	DCTD_HUMAN	DCTD	Deoxycytidylate deaminase	4.01034e+06
P32322	P5CR1_HUMAN	PYCR1	Pyrroline-5-carboxylate reductase 1, mitochondrial	2.35143e+07
P32324	EF2_YEAST	EFT1	Elongation factor 2	1.0578e+08
P32327	PYC2_YEAST	PYC2	Pyruvate carboxylase 2	1.03028e+07
P32329	YPS1_YEAST	YPS1	Aspartic proteinase 3	3.55669e+06
P32332	OAC1_YEAST	OAC1	Mitochondrial oxaloacetate transport protein	8.20831e+06
P32335	MSS51_YEAST	MSS51	Protein MSS51, mitochondrial	185355
P32337	IMB3_YEAST	PSE1	Importin subunit beta-3	1.35706e+06
P32340	NDI1_YEAST	NDI1	Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial	4.41558e+06
P32342	SRP21_YEAST	SRP21	Signal recognition particle subunit SRP21	205805
P32351	IMPX_YEAST	IMP2'	Sugar utilization regulatory protein IMP2	87938.1
P32352	ERG2_YEAST	ERG2	C-8 sterol isomerase	1.00532e+07
P32356	TREA_YEAST	NTH1	Neutral trehalase	1.55404e+07
P32366	VA0D_YEAST	VMA6	V-type proton ATPase subunit d	6.74526e+06
P32368	SAC1_YEAST	SAC1	Phosphatidylinositol-3-phosphatase SAC1	2.66254e+06
P32377	MVD1_YEAST	MVD1	Diphosphomevalonate decarboxylase	9.39142e+06
P32379	PSA5_YEAST	PUP2	Proteasome subunit alpha type-5	1.57171e+07
P32381	ARP2_YEAST	ARP2	Actin-related protein 2	6.09101e+06
P32419	MDHP_YEAST	MDH3	Malate dehydrogenase, peroxisomal	9.6134e+06
P32445	RIM1_YEAST	RIM1	Single-stranded DNA-binding protein RIM1, mitochondrial	2.38037e+07
P32449	AROG_YEAST	ARO4	Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited	1.50758e+07
P32451	BIOB_YEAST	BIO2	Biotin synthase, mitochondrial	1.96781e+06
P32453	ATP11_YEAST	ATP11	Protein ATP11, mitochondrial	814469
P32454	APE2_YEAST	APE2	Aminopeptidase 2, mitochondrial	5.5168e+06
P32457	CDC3_YEAST	CDC3	Cell division control protein 3	4.43657e+06
P32458	CDC11_YEAST	CDC11	Cell division control protein 11	1.93775e+06
P32462	ERG24_YEAST	ERG24	Delta(14)-sterol reductase	581345
P32463	ACPM_YEAST	ACP1	Acyl carrier protein, mitochondrial	5.70247e+06
P32466	HXT3_YEAST	HXT3	Low-affinity glucose transporter HXT3	2.6092e+06
P32468	CDC12_YEAST	CDC12	Cell division control protein 12	2.62222e+06
P32469	DPH5_YEAST	DPH5	Diphthine methyl ester synthase	6.51144e+06
P32471	EF1B_YEAST	EFB1	Elongation factor 1-beta	1.18316e+08
P32472	FKBP2_YEAST	FPR2	Peptidyl-prolyl cis-trans isomerase FPR2	7.11404e+06
P32473	ODPB_YEAST	PDB1	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	2.48169e+07
P32474	EUG1_YEAST	EUG1	Protein disulfide-isomerase EUG1	1.86956e+06
P32477	GSH1_YEAST	GSH1	Glutamate--cysteine ligase	1.91868e+06
P32481	IF2G_YEAST	GCD11	Eukaryotic translation initiation factor 2 subunit gamma	1.31442e+07
P32485	HOG1_YEAST	HOG1	Mitogen-activated protein kinase HOG1	1.71194e+06
P32495	NHP2_YEAST	NHP2	H/ACA ribonucleoprotein complex subunit NHP2	7.66471e+06
P32496	RPN12_YEAST	RPN12	26S proteasome regulatory subunit RPN12	7.1801e+06
P32497	EIF3C_YEAST	NIP1	Eukaryotic translation initiation factor 3 subunit C	4.4712e+06
P32499	NUP2_YEAST	NUP2	Nucleoporin NUP2	1.87179e+06
P32505	NAB2_YEAST	NAB2	Nuclear polyadenylated RNA-binding protein NAB2	415892
P32521	PAN1_YEAST	PAN1	Actin cytoskeleton-regulatory complex protein PAN1	2.62511e+06
P32523	PRP19_YEAST	PRP19	Pre-mRNA-processing factor 19	1.12964e+06
P32527	ZUO1_YEAST	ZUO1	Zuotin	1.2061e+07
P32529	RPA12_YEAST	RPA12	DNA-directed RNA polymerase I subunit RPA12	5.39222e+06
P32558	SPT16_YEAST	SPT16	FACT complex subunit SPT16	1.84824e+06
P32561	RPD3_YEAST	RPD3	Histone deacetylase RPD3	1.69279e+06
P32563	VPH1_YEAST	VPH1	V-type proton ATPase subunit a, vacuolar isoform	5.39945e+06
P32565	RPN2_YEAST	RPN2	26S proteasome regulatory subunit RPN2	8.39896e+06
P32582	CBS_YEAST	CYS4	Cystathionine beta-synthase	2.88635e+07
P32588	PUB1_YEAST	PUB1	Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1	1.50716e+07
P32589	HSP7F_YEAST	SSE1	Heat shock protein homolog SSE1	3.0688e+07
P32590	HSP79_YEAST	SSE2	Heat shock protein homolog SSE2	8.2312e+06
P32598	PP12_YEAST	GLC7	Serine/threonine-protein phosphatase PP1-2	2.12995e+07
P32599	FIMB_YEAST	SAC6	Fimbrin	1.82865e+07
P32602	SEC17_YEAST	SEC17	Alpha-soluble NSF attachment protein	4.9861e+06
P32604	F26_YEAST	FBP26	Fructose-2,6-bisphosphatase	582942
P32608	RTG2_YEAST	RTG2	Retrograde regulation protein 2	1.88564e+06
P32610	VATD_YEAST	VMA8	V-type proton ATPase subunit D	8.71303e+06
P32614	FRDS_YEAST	FRD1	Fumarate reductase 1	7.45382e+06
P32628	RAD23_YEAST	RAD23	UV excision repair protein RAD23	4.58191e+06
P32629	ANP1_YEAST	ANP1	Mannan polymerase II complex ANP1 subunit	289252
P32643	TMT1_YEAST	TMT1	Trans-aconitate 3-methyltransferase	2.37071e+07
P32744	CLAS2_CAEEL	cls-2	Protein CLASP-2	975312
P32771	FADH_YEAST	SFA1	S-(hydroxymethyl)glutathione dehydrogenase	2.86515e+07
P32774	T2AG_YEAST	TOA2	Transcription initiation factor IIA subunit 2	1.87315e+06
P32775	GLGB_YEAST	GLC3	1,4-alpha-glucan-branching enzyme	8.6739e+06
P32780	TF2H1_HUMAN	GTF2H1	General transcription factor IIH subunit 1	2.91314e+06
P32787	MG101_YEAST	MGM101	Mitochondrial genome maintenance protein MGM101	5.84816e+06
P32790	SLA1_YEAST	SLA1	Actin cytoskeleton-regulatory complex protein SLA1	1.59899e+06
P32795	YME1_YEAST	YME1	Mitochondrial inner membrane i-AAA protease supercomplex subunit YME1	1.17387e+06
P32796	CACP_YEAST	CAT2	Carnitine O-acetyltransferase, mitochondrial	1.16723e+06
P32799	COX13_YEAST	COX13	Cytochrome c oxidase subunit 13, mitochondrial	1.38858e+07
P32803	EMP24_YEAST	EMP24	Endosomal protein P24B	3.20316e+06
P32835;P32836	GSP1_YEAST;GSP2_YEAST	GSP1;GSP2	GTP-binding nuclear protein GSP1/CNR1	2.81316e+07
P32843	YME2_YEAST	YME2	Mitochondrial escape protein 2	1.4052e+06
P32857	PTM1_YEAST	PTM1	Membrane protein PTM1	1.28828e+06
P32860	NFU1_YEAST	NFU1	NifU-like protein, mitochondrial	2.45148e+06
P32861	UGPA1_YEAST	UGP1	UTP--glucose-1-phosphate uridylyltransferase	3.13815e+07
P32867	SSO1_YEAST	SSO1	Protein SSO1	1.17988e+07
P32891	DLD1_YEAST	DLD1	D-lactate dehydrogenase [cytochrome] 1, mitochondrial	5.39719e+06
P32895	KPR1_YEAST	PRS1	Ribose-phosphate pyrophosphokinase 1	2.57691e+06
P32898	CYM1_YEAST	CYM1	Mitochondrial presequence protease	491266
P32902	RT04_YEAST	MRP4	37S ribosomal protein MRP4, mitochondrial	367090
P32911	SUI1_YEAST	SUI1	Eukaryotic translation initiation factor eIF-1	1.47705e+07
P32915	SC61A_YEAST	SEC61	Protein transport protein SEC61	3.59584e+06
P32916	SRPR_YEAST	SRP101	Signal recognition particle receptor subunit alpha homolog	487518
P32929	CGL_HUMAN	CTH	Cystathionine gamma-lyase	3.15798e+06
P32939	YPT7_YEAST	YPT7	GTP-binding protein YPT7	4.44885e+06
P32969	RL9_HUMAN	RPL9	60S ribosomal protein L9	1.75282e+08
P33121	ACSL1_HUMAN	ACSL1	Long-chain-fatty-acid--CoA ligase 1	1.23483e+06
P33176	KINH_HUMAN	KIF5B	Kinesin-1 heavy chain	1.55748e+07
P33201	MRT4_YEAST	MRT4	Ribosome assembly factor MRT4	2.56788e+06
P33204	ARPC4_YEAST	ARC19	Actin-related protein 2/3 complex subunit 4	4.61388e+06
P33240	CSTF2_HUMAN	CSTF2	Cleavage stimulation factor subunit 2	1.64306e+07
P33297	PRS6A_YEAST	RPT5	26S proteasome regulatory subunit 6A	2.53779e+07
P33298	PRS6B_YEAST	RPT3	26S proteasome regulatory subunit 6B homolog	4.07226e+06
P33299	PRS7_YEAST	RPT1	26S proteasome regulatory subunit 7 homolog	6.17407e+06
P33315	TKT2_YEAST	TKL2	Transketolase 2	1.79554e+07
P33316	DUT_HUMAN	DUT	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	1.04478e+08
P33317	DUT_YEAST	DUT1	Deoxyuridine 5'-triphosphate nucleotidohydrolase	964539
P33322	CBF5_YEAST	CBF5	H/ACA ribonucleoprotein complex subunit CBF5	3.66251e+06
P33324	YKJ1_YEAST	YKL091C	CRAL-TRIO domain-containing protein YKL091C	827742
P33327	DHE2_YEAST	GDH2	NAD-specific glutamate dehydrogenase	1.82227e+06
P33330	SERC_YEAST	SER1	Phosphoserine aminotransferase	4.80769e+06
P33331	NTF2_YEAST	NTF2	Nuclear transport factor 2	3.31186e+07
P33333	PLSC_YEAST	SLC1	Probable 1-acyl-sn-glycerol-3-phosphate acyltransferase	1.49264e+06
P33338	SLA2_YEAST	SLA2	Protein SLA2	1.52074e+06
P33399	LHP1_YEAST	LHP1	La protein homolog	3.67222e+06
P33401	PGM1_YEAST	PGM1	Phosphoglucomutase 1	588568
P33416	HSP78_YEAST	HSP78	Heat shock protein 78, mitochondrial	1.92165e+07
P33442	RS3A1_YEAST	RPS1A	40S ribosomal protein S1-A	6.16403e+07
P33527	MRP1_HUMAN	ABCC1	Multidrug resistance-associated protein 1	1.02968e+07
P33552	CKS2_HUMAN	CKS2	Cyclin-dependent kinases regulatory subunit 2	3.23e+06
P33734	HIS5_YEAST	HIS7	Imidazole glycerol phosphate synthase hisHF	3.08316e+06
P33755	NPL4_YEAST	NPL4	Nuclear protein localization protein 4	407980
P33767	OSTB_YEAST	WBP1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1	1.90691e+06
P33775	PMT1_YEAST	PMT1	Dolichyl-phosphate-mannose--protein mannosyltransferase 1	3.25524e+06
P33892	GCN1_YEAST	GCN1	eIF-2-alpha kinase activator GCN1	1.35381e+06
P33897	ABCD1_HUMAN	ABCD1	ATP-binding cassette sub-family D member 1	4.41513e+06
P33981	TTK_HUMAN	TTK	Dual specificity protein kinase TTK	2.06709e+06
P33991	MCM4_HUMAN	MCM4	DNA replication licensing factor MCM4	3.11184e+07
P33992	MCM5_HUMAN	MCM5	DNA replication licensing factor MCM5	3.09574e+07
P33993	MCM7_HUMAN	MCM7	DNA replication licensing factor MCM7	2.2376e+07
P34059	GALNS_HUMAN	GALNS	N-acetylgalactosamine-6-sulfatase	410133
P34160	NCBP1_YEAST	STO1	Nuclear cap-binding protein complex subunit 1	765585
P34163	TGL1_YEAST	TGL1	Sterol esterase TGL1	462098
P34167	IF4B_YEAST	TIF3	Eukaryotic translation initiation factor 4B	1.31829e+07
P34183	SYH_CAEEL	hars-1	Histidine--tRNA ligase	2.13794e+07
P34213	RAB6A_CAEEL	rab-6.1	Ras-related protein Rab-6.1	723969
P34216	EDE1_YEAST	EDE1	EH domain-containing and endocytosis protein 1	3.85592e+06
P34221	PP2C3_YEAST	PTC3	Protein phosphatase 2C homolog 3	2.20872e+06
P34223	UBX1_YEAST	SHP1	UBX domain-containing protein 1	3.26251e+06
P34227	PRX1_YEAST	PRX1	Peroxiredoxin PRX1, mitochondrial	2.44428e+07
P34240	ZRT3_YEAST	ZRT3	Zinc-regulated transporter 3	120619
P34255	ECHH_CAEEL	B0303.3	Probable 3-ketoacyl-CoA thiolase	2.04655e+07
P34258	YKA7_CAEEL	B0303.7	Uncharacterized protein B0303.7	746997
P34274	TIPRL_CAEEL	C02C2.6	TIP41-like protein	1.03541e+06
P34280	YKK3_CAEEL	C02F5.3	Uncharacterized GTP-binding protein C02F5.3	2.7645e+06
P34286	PSB1_CAEEL	pbs-6	Proteasome subunit beta type-1	2.24104e+07
P34308	CAN_CAEEL	clp-1	Calpain clp-1	6.77682e+06
P34328	HSP10_CAEEL	hsp-12.2	Heat shock protein Hsp-12.2	9.53225e+07
P34329	PDIA4_CAEEL	C14B9.2	Probable protein disulfide-isomerase A4	1.00068e+07
P34331	PLK1_CAEEL	plk-1	Serine/threonine-protein kinase plk-1	766606
P34334	RL21_CAEEL	rpl-21	60S ribosomal protein L21	1.70928e+08
P34339	EIF3A_CAEEL	egl-45	Eukaryotic translation initiation factor 3 subunit A	1.78142e+07
P34340	COL90_CAEEL	col-90	Putative cuticle collagen 90	6.13249e+06
P34342	RGP2_CAEEL	ran-2	Ran GTPase-activating protein 2	2.65948e+06
P34343	NU133_CAEEL	npp-15	Nuclear pore complex protein 15	763661
P34345	GSTO1_CAEEL	gsto-1	Glutathione transferase omega-1	2.23126e+07
P34346	KAD2_CAEEL	let-754	Adenylate kinase	4.07933e+07
P34355	ACX15_CAEEL	acox-1.5	Probable peroxisomal acyl-coenzyme A oxidase 1.5	6.02889e+06
P34369	PRP8_CAEEL	prp-8	Pre-mRNA-splicing factor 8 homolog	5.93996e+06
P34382	FAR1_CAEEL	far-1	Fatty-acid and retinol-binding protein 1	8.67236e+06
P34383	FAR2_CAEEL	far-2	Fatty-acid and retinol-binding protein 2	2.91073e+06
P34384	RM44_CAEEL	mrpl-44	Ribosomal protein L44, mitochondrial	2.26213e+07
P34385	MCCB_CAEEL	F02A9.10	Probable methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	8.29814e+06
P34388	RT09_CAEEL	mrps-9	Probable 40S ribosomal protein S9, mitochondrial	4.14661e+06
P34392	YLS7_CAEEL	F09G8.7	Uncharacterized protein F09G8.7	1.89321e+06
P34415	YLZ2_CAEEL	F42H10.2	Uncharacterized protein F42H10.2	1.50327e+06
P34416	LASP1_CAEEL	F42H10.3	LIM and SH3 domain protein F42H10.3	3.59011e+06
P34431	RETR1_CAEEL	retr-1	Retrotransposon-like protein 1	1.31578e+06
P34434	YL54_CAEEL	F44E2.4	Uncharacterized protein F44E2.4	4.42228e+06
P34436	MSRB_CAEEL	F44E2.6	Probable methionine-R-sulfoxide reductase B	556144
P34438	YL58_CAEEL	F44E2.8	Uncharacterized protein F44E2.8	7.15352e+06
P34445	YL87_CAEEL	F54C8.7	Uncharacterized protein F54C8.7	2.34826e+06
P34446	PAT2_CAEEL	pat-2	Integrin alpha pat-2	4.69019e+06
P34453	PEX19_CAEEL	prx-19	Putative peroxisomal biogenesis factor 19	4.3698e+06
P34455	ACON_CAEEL	aco-2	Probable aconitate hydratase, mitochondrial	7.00662e+07
P34460	EF1B1_CAEEL	eef-1B.1	Probable elongation factor 1-beta/1-delta 1	7.97311e+07
P34461	SODE_CAEEL	sod-4	Extracellular superoxide dismutase [Cu-Zn]	2.5361e+06
P34462	VATD_CAEEL	vha-14	V-type proton ATPase subunit D	2.39263e+07
P34466	CLU_CAEEL	clu-1	Clustered mitochondria protein homolog	9.7203e+06
P34475	TBG_CAEEL	tbg-1	Tubulin gamma chain	514602
P34476	RPAC2_CAEEL	rpac-19	Probable DNA-directed RNA polymerases I and III subunit RPAC2	3.23345e+06
P34477	UBC7_CAEEL	ubc-7	Probable ubiquitin-conjugating enzyme E2 7	7.14133e+06
P34492	YMQ1_CAEEL	K02D10.1	Putative NipSnap protein K02D10.1	4.36881e+06
P34496	MTSS1_CAEEL	mtss-1	Single-stranded DNA-binding protein, mitochondrial	2.16725e+07
P34500	TTR2_CAEEL	ttr-2	Transthyretin-like protein 2	3.11177e+07
P34504	YMV2_CAEEL	K04H4.2	Uncharacterized protein K04H4.2	9.84703e+06
P34517	GPDH2_CAEEL	gpdh-2	Probable glycerol-3-phosphate dehydrogenase 2	1.37205e+07
P34519	TXTP_CAEEL	K11H3.3	Putative tricarboxylate transport protein, mitochondrial	1.73198e+07
P34524	BRX1_CAEEL	K12H4.3	Ribosome biogenesis protein BRX1 homolog	2.4263e+06
P34525	SPCS3_CAEEL	spcs-3	Probable signal peptidase complex subunit 3	4.17382e+06
P34526	YM65_CAEEL	K12H4.5	Uncharacterized protein K12H4.5	6.19062e+06
P34528	YM67_CAEEL	K12H4.7	Putative serine protease K12H4.7	1.15987e+07
P34537	BRE1_CAEEL	rfp-1	E3 ubiquitin-protein ligase bre-1	1.05276e+06
P34539	ATP5E_CAEEL	R05D3.6	Putative ATP synthase subunit epsilon, mitochondrial	7.59587e+07
P34540	KINH_CAEEL	unc-116	Kinesin heavy chain	8.55729e+06
P34542	YNC9_CAEEL	R05D3.9/R05D3.10	Uncharacterized protein R05D3.9	1.50388e+06
P34552	ALXA_CAEEL	alx-1	Apoptosis-linked gene 2-interacting protein X 1	6.59242e+06
P34556	CDK1_CAEEL	cdk-1	Cyclin-dependent kinase 1	1.57264e+06
P34559	ECHM_CAEEL	ech-6	Probable enoyl-CoA hydratase, mitochondrial	1.06753e+08
P34560	RMD1_CAEEL	rmd-1	Regulator of microtubule dynamics protein 1	1.3855e+06
P34563	IF5A1_CAEEL	iff-1	Eukaryotic translation initiation factor 5A-1	4.36814e+08
P34574	CLH_CAEEL	chc-1	Probable clathrin heavy chain 1	1.1428e+07
P34575	CISY_CAEEL	cts-1	Probable citrate synthase, mitochondrial	1.16807e+08
P34576	MUA3_CAEEL	mua-3	Transmembrane cell adhesion receptor mua-3	619352
P34580	DDX47_CAEEL	T26G10.1	Putative ATP-dependent RNA helicase T26G10.1	1.33958e+06
P34599	MTX2_CAEEL	mtx-2	Metaxin-2 homolog	1.57806e+06
P34604	EI2BA_CAEEL	ZK1098.4	Probable translation initiation factor eIF-2B subunit alpha	2.9467e+06
P34605	TPPC3_CAEEL	trpp-3	Trafficking protein particle complex subunit 3 homolog	1.92204e+06
P34610	PCP1_CAEEL	pcp-1	Putative serine protease pcp-1	6.32132e+06
P34618	CEC1_CAEEL	cec-1	Chromo domain-containing protein cec-1	2.42906e+06
P34623	DDRGK_CAEEL	ufbp-1	DDRGK domain-containing protein 1	1.83008e+06
P34629	AMPL_CAEEL	lap-1	Leucine aminopeptidase 1	993090
P34631	UBXN4_CAEEL	ubxn-4	UBX domain-containing protein 4	1.94572e+06
P34640	DDX55_CAEEL	ZK512.2	Probable ATP-dependent RNA helicase DDX55 homolog	1.92387e+06
P34642	SRP09_CAEEL	ZK512.4	Signal recognition particle 9 kDa protein	4.32967e+06
P34645	YOQ7_CAEEL	ZK512.7	Uncharacterized protein ZK512.7	5.84102e+06
P34647	MCM6_CAEEL	mcm-6	DNA replication licensing factor mcm-6	1.89545e+06
P34650	MPI_CAEEL	ZK632.4	Probable mannose-6-phosphate isomerase	9.70247e+06
P34652	CALX_CAEEL	cnx-1	Calnexin	7.28099e+06
P34661	UFM1_CAEEL	ufm-1	Ubiquitin-fold modifier 1	2.47554e+07
P34662	RL35_CAEEL	rpl-35	60S ribosomal protein L35	1.40664e+08
P34664	YOY6_CAEEL	ZK652.6	Uncharacterized protein ZK652.6	343363
P34666	COQ5_CAEEL	coq-5	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	3.61278e+07
P34669	OST3_CAEEL	ZK686.3	Probable dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 3	1.29985e+07
P34673	FAHD1_CAEEL	fahd-1	Fumarylacetoacetate hydrolase domain-containing protein 1	7.10179e+06
P34676	PCP5_CAEEL	pcp-5	Prolyl carboxy peptidase like protein 5	1.41568e+06
P34685	CAPZA_CAEEL	cap-1	F-actin-capping protein subunit alpha	2.38016e+07
P34686	CAPZB_CAEEL	cap-2	F-actin-capping protein subunit beta	6.9414e+06
P34689	GLH1_CAEEL	glh-1	ATP-dependent RNA helicase glh-1	1.30346e+07
P34690	TBA2_CAEEL	tba-2	Tubulin alpha-2 chain	4.44058e+08
P34692	U183_CAEEL	T01G9.2	UPF0183 protein T01G9.2	918064
P34696	HSP11_CAEEL	hsp-16.1	Heat shock protein Hsp-16.1/Hsp-16.11	2.28222e+08
P34697	SODC_CAEEL	sod-1	Superoxide dismutase [Cu-Zn]	4.67508e+07
P34703	SPT6H_CAEEL	emb-5	Suppressor of Ty 6 homolog	960309
P34714	SPRC_CAEEL	ost-1	SPARC	1.01867e+07
P34730	BMH2_YEAST	BMH2	Protein BMH2	1.06203e+08
P34748	RT23_CAEEL	mrps-23	Probable 28S ribosomal protein S23, mitochondrial	3.88185e+06
P34760	TSA1_YEAST	TSA1	Peroxiredoxin TSA1	2.69834e+08
P34815	UNC18_CAEEL	unc-18	Putative acetylcholine regulator unc-18	5.49582e+06
P34896	GLYC_HUMAN	SHMT1	Serine hydroxymethyltransferase, cytosolic	5.8055e+06
P34897	GLYM_HUMAN	SHMT2	Serine hydroxymethyltransferase, mitochondrial	1.15798e+08
P34931	HS71L_HUMAN	HSPA1L	Heat shock 70 kDa protein 1-like	1.93717e+08
P34932	HSP74_HUMAN	HSPA4	Heat shock 70 kDa protein 4	4.85481e+07
P34949	MPI_HUMAN	MPI	Mannose-6-phosphate isomerase	1.02437e+07
P35052	GPC1_HUMAN	GPC1	Glypican-1	2.09085e+06
P35127	UBL1_YEAST	YUH1	Ubiquitin carboxyl-terminal hydrolase YUH1	1.13232e+06
P35129;P61077;P62837	UB2D2_HUMAN;UB2D3_HUMAN;UBC2_CAEEL	UBE2D2;UBE2D3;let-70	Ubiquitin-conjugating enzyme E2 2	5.08001e+07
P35169	TOR1_YEAST	TOR1	Serine/threonine-protein kinase TOR1	1.56928e+07
P35176	CYPD_YEAST	CPR5	Peptidyl-prolyl cis-trans isomerase D	6.24465e+06
P35179	SC61G_YEAST	SSS1	Protein transport protein SSS1	1.37495e+07
P35180	TOM20_YEAST	TOM20	Mitochondrial import receptor subunit TOM20	3.8529e+06
P35189	TAF14_YEAST	TAF14	Transcription initiation factor TFIID subunit 14	2.61745e+06
P35191	MDJ1_YEAST	MDJ1	DnaJ homolog 1, mitochondrial	1.30423e+06
P35195	ECM15_YEAST	ECM15	UPF0045 protein ECM15	151917
P35197	GCS1_YEAST	GCS1	ADP-ribosylation factor GTPase-activating protein GCS1	1.05618e+06
P35221	CTNA1_HUMAN	CTNNA1	Catenin alpha-1	5.80055e+06
P35232	PHB_HUMAN	PHB	Prohibitin	8.31757e+07
P35237	SPB6_HUMAN	SERPINB6	Serpin B6	6.15412e+07
P35241	RADI_HUMAN	RDX	Radixin	3.17917e+07
P35244	RFA3_HUMAN	RPA3	Replication protein A 14 kDa subunit	1.29437e+07
P35249	RFC4_HUMAN	RFC4	Replication factor C subunit 4	2.3423e+07
P35250	RFC2_HUMAN	RFC2	Replication factor C subunit 2	1.82963e+07
P35251	RFC1_HUMAN	RFC1	Replication factor C subunit 1	5.46139e+06
P35268	RL22_HUMAN	RPL22	60S ribosomal protein L22	2.50057e+08
P35269	T2FA_HUMAN	GTF2F1	General transcription factor IIF subunit 1	5.42801e+06
P35270	SPRE_HUMAN	SPR	Sepiapterin reductase	9.07976e+06
P35354	PGH2_HUMAN	PTGS2	Prostaglandin G/H synthase 2	4.7491e+06
P35573	GDE_HUMAN	AGL	Glycogen debranching enzyme	5.70366e+07
P35579	MYH9_HUMAN	MYH9	Myosin-9	4.56175e+07
P35580	MYH10_HUMAN	MYH10	Myosin-10	1.22534e+06
P35606	COPB2_HUMAN	COPB2	Coatomer subunit beta'	3.99683e+07
P35610	SOAT1_HUMAN	SOAT1	Sterol O-acyltransferase 1	1.53716e+07
P35611	ADDA_HUMAN	ADD1	Alpha-adducin	3.02465e+06
P35613	BASI_HUMAN	BSG	Basigin	1.53117e+08
P35637	FUS_HUMAN	FUS	RNA-binding protein FUS	9.40394e+07
P35658	NU214_HUMAN	NUP214	Nuclear pore complex protein Nup214	1.4417e+07
P35659	DEK_HUMAN	DEK	Protein DEK	6.18021e+07
P35691	TCTP_YEAST	TMA19	Translationally-controlled tumor protein homolog	7.60737e+07
P35719	MRP8_YEAST	MRP8	Uncharacterized protein MRP8	1.43042e+07
P35723	YET1_YEAST	YET1	Endoplasmic reticulum transmembrane protein 1	8.38236e+06
P35732	DEF1_YEAST	DEF1	RNA polymerase II degradation factor 1	8.76212e+06
P35754	GLRX1_HUMAN	GLRX	Glutaredoxin-1	3.69904e+06
P35813	PPM1A_HUMAN	PPM1A	Protein phosphatase 1A	4.42857e+06
