Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03.mzML
P24031	PPA3_YEAST	PHO3	Constitutive acid phosphatase	4.69221e+06
P24276	SSD1_YEAST	SSD1	Protein SSD1	7.93526e+06
P24280	SEC14_YEAST	SEC14	SEC14 cytosolic factor	1.19488e+07
P24311	COX7B_HUMAN	COX7B	Cytochrome c oxidase subunit 7B, mitochondrial	1.34079e+07
P24390;P33947	ERD21_HUMAN;ERD22_HUMAN	KDELR1;KDELR2	ER lumen protein-retaining receptor 1	3.93849e+06
P24468	COT2_HUMAN	NR2F2	COUP transcription factor 2	1.30828e+06
P24521	ERG8_YEAST	ERG8	Phosphomevalonate kinase	4.0005e+06
P24534	EF1B_HUMAN	EEF1B2	Elongation factor 1-beta	5.90613e+07
P24539	AT5F1_HUMAN	ATP5PB	ATP synthase F(0) complex subunit B1, mitochondrial	5.49572e+07
P24666	PPAC_HUMAN	ACP1	Low molecular weight phosphotyrosine protein phosphatase	6.8179e+07
P24752	THIL_HUMAN	ACAT1	Acetyl-CoA acetyltransferase, mitochondrial	4.69483e+07
P24783	DBP2_YEAST	DBP2	ATP-dependent RNA helicase DBP2	3.0952e+06
P24784	DBP1_YEAST	DBP1	ATP-dependent RNA helicase DBP1	1.67715e+06
P24887	NU1M_CAEEL	nduo-1	NADH-ubiquinone oxidoreductase chain 1	1.6408e+06
P24890	CYB_CAEEL	ctb-1	Cytochrome b	2.71918e+06
P24894	COX2_CAEEL	ctc-2	Cytochrome c oxidase subunit 2	1.93143e+07
P24928	RPB1_HUMAN	POLR2A	DNA-directed RNA polymerase II subunit RPB1	1.89515e+07
P24941	CDK2_HUMAN	CDK2	Cyclin-dependent kinase 2	9.50126e+06
P25036	YSP3_YEAST	YSP3	Subtilisin-like protease 3	3.16116e+06
P25037	UBP1_YEAST	UBP1	Ubiquitin carboxyl-terminal hydrolase 1	1.8052e+06
P25039	EFGM_YEAST	MEF1	Elongation factor G, mitochondrial	4.02254e+06
P25043	PSB2_YEAST	PUP1	Proteasome subunit beta type-2	1.17744e+07
P25044	PTP1_YEAST	PTP1	Tyrosine-protein phosphatase 1	772651
P25045	LCB1_YEAST	LCB1	Serine palmitoyltransferase 1	1.08814e+06
P25087	ERG6_YEAST	ERG6	Sterol 24-C-methyltransferase	2.5087e+07
P25098	ARBK1_HUMAN	GRK2	Beta-adrenergic receptor kinase 1	1.85093e+06
P25205	MCM3_HUMAN	MCM3	DNA replication licensing factor MCM3	4.3049e+07
P25208	NFYB_HUMAN	NFYB	Nuclear transcription factor Y subunit beta	8.01401e+06
P25270	MRM1_YEAST	MRM1	rRNA methyltransferase 1, mitochondrial	241453
P25293	NAP1_YEAST	NAP1	Nucleosome assembly protein	1.76184e+07
P25294	SIS1_YEAST	SIS1	Protein SIS1	2.00031e+07
P25296	CANB_YEAST	CNB1	Calcineurin subunit B	8.15694e+06
P25298	RNA14_YEAST	RNA14	mRNA 3'-end-processing protein RNA14	1.04289e+07
P25303	SCJ1_YEAST	SCJ1	DnaJ-related protein SCJ1	1.52822e+06
P25325	THTM_HUMAN	MPST	3-mercaptopyruvate sulfurtransferase	7.73892e+06
P25334	CYPR_YEAST	CPR4	Peptidyl-prolyl cis-trans isomerase CPR4	549493
P25339	PUF4_YEAST	PUF4	Pumilio homology domain family member 4	479977
P25340	ERG4_YEAST	ERG4	Delta(24(24(1)))-sterol reductase	2.55481e+06
P25342	CDC10_YEAST	CDC10	Cell division control protein 10	4.66086e+06
P25343	RV161_YEAST	RVS161	Reduced viability upon starvation protein 161	1.07026e+07
P25349	YCP4_YEAST	YCP4	Flavoprotein-like protein YCP4	2.08293e+07
P25358	ELO2_YEAST	ELO2	Elongation of fatty acids protein 2	2.09947e+06
P25361	YCT3_YEAST	YCR043C	Uncharacterized protein YCR043C	312392
P25367	RNQ1_YEAST	RNQ1	[PIN+] prion protein RNQ1	6.55356e+06
P25369	LSB5_YEAST	LSB5	LAS seventeen-binding protein 5	1.70392e+06
P25371	ADP1_YEAST	ADP1	Probable ATP-dependent permease	722089
P25372	TRX3_YEAST	TRX3	Thioredoxin-3, mitochondrial	2.54103e+07
P25373	GLRX1_YEAST	GRX1	Glutaredoxin-1	6.66915e+07
P25374	NFS1_YEAST	NFS1	Cysteine desulfurase, mitochondrial	1.39152e+07
P25375	PRTD_YEAST	PRD1	Saccharolysin	3.76423e+06
P25376	AGP1_YEAST	AGP1	General amino acid permease AGP1	1.67511e+06
P25378	RHEB_YEAST	RHB1	Rheb-like protein RHB1	443618
P25398	RS12_HUMAN	RPS12	40S ribosomal protein S12	1.35841e+08
P25440	BRD2_HUMAN	BRD2	Bromodomain-containing protein 2	1.39711e+06
P25441	RPC4_YEAST	RPC53	DNA-directed RNA polymerase III subunit RPC4	9.72722e+06
P25443	RS2_YEAST	RPS2	40S ribosomal protein S2	9.51243e+07
P25451	PSB3_YEAST	PUP3	Proteasome subunit beta type-3	7.89084e+06
P25490	TYY1_HUMAN	YY1	Transcriptional repressor protein YY1	6.45873e+06
P25491	MAS5_YEAST	YDJ1	Mitochondrial protein import protein MAS5	1.22047e+07
P25555	GBP2_YEAST	GBP2	Single-strand telomeric DNA-binding protein GBP2	4.1388e+06
P25560	RER1_YEAST	RER1	Protein RER1	1.92109e+06
P25566	MXR2_YEAST	MXR2	Peptide methionine sulfoxide reductase 2	5.17951e+06
P25567	SRO9_YEAST	SRO9	RNA-binding protein SRO9	3.98096e+06
P25569	GID7_YEAST	GID7	Glucose-induced degradation protein 7	513754
P25574	EMC1_YEAST	EMC1	ER membrane protein complex subunit 1	1.12648e+06
P25576	POF1_YEAST	POF1	Nicotinamide mononucleotide adenylyltransferase	340615
P25605	ILV6_YEAST	ILV6	Acetolactate synthase small subunit, mitochondrial	2.72686e+07
P25608;P54007	YCZ2_YEAST;YL460_YEAST	YCR102C;YLR460C	Uncharacterized protein YCR102C	1.90944e+07
P25612;P47182;Q07747	AAD10_YEAST;AAD3_YEAST;AAD4_YEAST	AAD10;AAD3;AAD4	Putative aryl-alcohol dehydrogenase AAD3	3.53834e+06
P25617	YCQ6_YEAST	YCR016W	Uncharacterized protein YCR016W	475894
P25619	HSP30_YEAST	HSP30	30 kDa heat shock protein	1.18293e+07
P25623	SYP1_YEAST	SYP1	Suppressor of yeast profilin deletion	5.90155e+06
P25626	IMG1_YEAST	IMG1	54S ribosomal protein IMG1, mitochondrial	558426
P25631	YCU1_YEAST	YCR051W	Ankyrin repeat-containing protein YCR051W	1.87723e+06
P25632	RSC6_YEAST	RSC6	Chromatin structure-remodeling complex protein RSC6	2.50853e+06
P25638	TAH1_YEAST	TAH1	TPR repeat-containing protein associated with Hsp90	1.47621e+06
P25644	PAT1_YEAST	PAT1	DNA topoisomerase 2-associated protein PAT1	2.45308e+06
P25654	YCY0_YEAST	YCR090C	UPF0587 protein YCR090C	1.80968e+06
P25655	NOT1_YEAST	CDC39	General negative regulator of transcription subunit 1	2.19075e+06
P25659	FUB1_YEAST	FUB1	Silencing boundary-establishment protein FUB1	1.93421e+06
P25685	DNJB1_HUMAN	DNAJB1	DnaJ homolog subfamily B member 1	1.64764e+07
P25694	CDC48_YEAST	CDC48	Cell division control protein 48	6.59078e+07
P25705	ATPA_HUMAN	ATP5F1A	ATP synthase subunit alpha, mitochondrial	3.56844e+08
P25719	CYPC_YEAST	CPR3	Peptidyl-prolyl cis-trans isomerase C, mitochondrial	3.83673e+07
P25786	PSA1_HUMAN	PSMA1	Proteasome subunit alpha type-1	1.02831e+08
P25787	PSA2_HUMAN	PSMA2	Proteasome subunit alpha type-2	4.24147e+07
P25788	PSA3_HUMAN	PSMA3	Proteasome subunit alpha type-3	4.93064e+07
P25789	PSA4_HUMAN	PSMA4	Proteasome subunit alpha type-4	3.7691e+07
P25807	CPR1_CAEEL	cpr-1	Gut-specific cysteine proteinase	1.50264e+07
P25815	S100P_HUMAN	S100P	Protein S100-P	1.74615e+08
P26006	ITA3_HUMAN	ITGA3	Integrin alpha-3	5.96376e+06
P26038	MOES_HUMAN	MSN	Moesin	1.48823e+08
P26196	DDX6_HUMAN	DDX6	Probable ATP-dependent RNA helicase DDX6	9.39793e+06
P26263	PDC6_YEAST	PDC6	Pyruvate decarboxylase isozyme 3	2.14576e+07
P26321	RL5_YEAST	RPL5	60S ribosomal protein L5	8.78606e+07
P26358	DNMT1_HUMAN	DNMT1	DNA (cytosine-5)-methyltransferase 1	1.01551e+07
P26368	U2AF2_HUMAN	U2AF2	Splicing factor U2AF 65 kDa subunit	4.16842e+07
P26373	RL13_HUMAN	RPL13	60S ribosomal protein L13	2.64803e+08
P26440	IVD_HUMAN	IVD	Isovaleryl-CoA dehydrogenase, mitochondrial	1.24261e+07
P26447	S10A4_HUMAN	S100A4	Protein S100-A4	4.37617e+08
P26570	PPZ1_YEAST	PPZ1	Serine/threonine-protein phosphatase PP-Z1	1.00448e+06
P26583	HMGB2_HUMAN	HMGB2	High mobility group protein B2	7.4982e+07
P26599	PTBP1_HUMAN	PTBP1	Polypyrimidine tract-binding protein 1	1.32019e+08
P26637	SYLC_YEAST	CDC60	Leucine--tRNA ligase, cytoplasmic	3.51126e+07
P26639	SYTC_HUMAN	TARS1	Threonine--tRNA ligase 1, cytoplasmic	1.06579e+08
P26640	SYVC_HUMAN	VARS1	Valine--tRNA ligase	2.28588e+07
P26641	EF1G_HUMAN	EEF1G	Elongation factor 1-gamma	2.09935e+08
P26754	RFA2_YEAST	RFA2	Replication factor A protein 2	3.0119e+06
P26755	RFA3_YEAST	RFA3	Replication factor A protein 3	2.69581e+06
P26783	RS5_YEAST	RPS5	40S ribosomal protein S5	2.074e+08
P26784	RL16A_YEAST	RPL16A	60S ribosomal protein L16-A	9.46816e+07
P26785	RL16B_YEAST	RPL16B	60S ribosomal protein L16-B	5.99489e+07
P26786	RS7A_YEAST	RPS7A	40S ribosomal protein S7-A	1.0134e+08
P26885	FKBP2_HUMAN	FKBP2	Peptidyl-prolyl cis-trans isomerase FKBP2	3.01093e+07
P27105	STOM_HUMAN	STOM	Erythrocyte band 7 integral membrane protein	6.20167e+07
P27144	KAD4_HUMAN	AK4	Adenylate kinase 4, mitochondrial	1.75442e+07
P27338	AOFB_HUMAN	MAOB	Amine oxidase [flavin-containing] B	473275
P27348	1433T_HUMAN	YWHAQ	14-3-3 protein theta	3.87751e+08
P27361	MK03_HUMAN	MAPK3	Mitogen-activated protein kinase 3	4.56861e+06
P27420	HSP7C_CAEEL	hsp-3	Heat shock 70 kDa protein C	6.93426e+07
P27448	MARK3_HUMAN	MARK3	MAP/microtubule affinity-regulating kinase 3	584659
P27449	VATL_HUMAN	ATP6V0C	V-type proton ATPase 16 kDa proteolipid subunit	4.28614e+06
P27466	KCC1_YEAST	CMK1	Calcium/calmodulin-dependent protein kinase I	6.99414e+06
P27472	GYS2_YEAST	GSY2	Glycogen [starch] synthase isoform 2	8.93714e+06
P27476	NSR1_YEAST	NSR1	Nuclear localization sequence-binding protein	1.84324e+07
P27604	SAHH_CAEEL	ahcy-1	Adenosylhomocysteinase	3.86951e+08
P27614	CBPS_YEAST	CPS1	Carboxypeptidase S	6.08587e+06
P27616	PUR7_YEAST	ADE1	Phosphoribosylaminoimidazole-succinocarboxamide synthase	6.10282e+06
P27635	RL10_HUMAN	RPL10	60S ribosomal protein L10	1.24284e+08
P27639	IF4A_CAEEL	inf-1	Eukaryotic initiation factor 4A	9.47929e+07
P27680	COQ3_YEAST	COQ3	Ubiquinone biosynthesis O-methyltransferase, mitochondrial	1.6934e+06
P27692	SPT5_YEAST	SPT5	Transcription elongation factor SPT5	3.31818e+06
P27694	RFA1_HUMAN	RPA1	Replication protein A 70 kDa DNA-binding subunit	5.23071e+07
P27695	APEX1_HUMAN	APEX1	DNA-(apurinic or apyrimidinic site) endonuclease	6.74435e+07
P27707	DCK_HUMAN	DCK	Deoxycytidine kinase	4.82249e+06
P27708	PYR1_HUMAN	CAD	CAD protein	2.61849e+07
P27796	THIK_YEAST	POT1	3-ketoacyl-CoA thiolase, peroxisomal	3.233e+06
P27797	CALR_HUMAN	CALR	Calreticulin	1.69544e+08
P27798	CALR_CAEEL	crt-1	Calreticulin	8.56407e+07
P27809	KRE2_YEAST	KRE2	Glycolipid 2-alpha-mannosyltransferase	5.25114e+06
P27810	KTR1_YEAST	KTR1	Alpha-1,2 mannosyltransferase KTR1	5.07145e+06
P27816	MAP4_HUMAN	MAP4	Microtubule-associated protein 4	3.67516e+07
P27824	CALX_HUMAN	CANX	Calnexin	1.32755e+08
P27882	ERV1_YEAST	ERV1	Mitochondrial FAD-linked sulfhydryl oxidase ERV1	2.32666e+06
P27929	NAM9_YEAST	NAM9	37S ribosomal protein NAM9, mitochondrial	1.02383e+06
P27999	RPB9_YEAST	RPB9	DNA-directed RNA polymerase II subunit RPB9	2.61238e+06
P28000	RPAC2_YEAST	RPC19	DNA-directed RNA polymerases I and III subunit RPAC2	5.02348e+06
P28003	FUN19_YEAST	FUN19	SWIRM domain-containing protein FUN19	1.46395e+06
P28007	GAR1_YEAST	GAR1	H/ACA ribonucleoprotein complex subunit GAR1	6.39637e+06
P28062	PSB8_HUMAN	PSMB8	Proteasome subunit beta type-8	1.57208e+07
P28065	PSB9_HUMAN	PSMB9	Proteasome subunit beta type-9	4.30744e+06
P28066	PSA5_HUMAN	PSMA5	Proteasome subunit alpha type-5	4.27249e+07
P28070	PSB4_HUMAN	PSMB4	Proteasome subunit beta type-4	2.3721e+07
P28072	PSB6_HUMAN	PSMB6	Proteasome subunit beta type-6	5.41913e+07
P28074	PSB5_HUMAN	PSMB5	Proteasome subunit beta type-5	4.21362e+07
P28239	IPYR2_YEAST	PPA2	Inorganic pyrophosphatase, mitochondrial	741397
P28241	IDH2_YEAST	IDH2	Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial	2.4844e+07
P28272	PYRD_YEAST	URA1	Dihydroorotate dehydrogenase (fumarate)	3.90382e+07
P28273	OPLA_YEAST	OXP1	5-oxoprolinase	1.07959e+06
P28274	URA7_YEAST	URA7	CTP synthase 1	5.48977e+06
P28288	ABCD3_HUMAN	ABCD3	ATP-binding cassette sub-family D member 3	4.7772e+06
P28290	ITPI2_HUMAN	ITPRID2	Protein ITPRID2	3.66376e+06
P28321	MGLL_YEAST	YJU3	Monoglyceride lipase	4.96187e+06
P28331	NDUS1_HUMAN	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	1.43241e+07
P28340	DPOD1_HUMAN	POLD1	DNA polymerase delta catalytic subunit	4.18278e+07
P28347	TEAD1_HUMAN	TEAD1	Transcriptional enhancer factor TEF-1	3.14718e+06
P28482	MK01_HUMAN	MAPK1	Mitogen-activated protein kinase 1	8.36298e+06
P28495	CAPZA_YEAST	CAP1	F-actin-capping protein subunit alpha	6.94809e+06
P28548	CSK2B_CAEEL	kin-10	Casein kinase II subunit beta	1.39714e+07
P28625	YIM1_YEAST	YIM1	Protein YIM1	4.24697e+06
P28702	RXRB_HUMAN	RXRB	Retinoic acid receptor RXR-beta	2.12356e+06
P28707	SBA1_YEAST	SBA1	Co-chaperone protein SBA1	3.85399e+07
P28715	ERCC5_HUMAN	ERCC5	DNA repair protein complementing XP-G cells	1.27428e+06
P28737	MSP1_YEAST	MSP1	Protein MSP1	1.15585e+06
P28777	AROC_YEAST	ARO2	Chorismate synthase	1.08237e+07
P28778	RT06_YEAST	MRP17	37S ribosomal protein MRP17, mitochondrial	343721
P28789	HEM3_YEAST	HEM3	Porphobilinogen deaminase	1.02715e+06
P28799	GRN_HUMAN	GRN	Progranulin	7.88419e+06
P28817	HIBCH_YEAST	EHD3	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	1.48183e+06
P28834	IDH1_YEAST	IDH1	Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial	2.62582e+07
P28838	AMPL_HUMAN	LAP3	Cytosol aminopeptidase	7.77592e+06
P29083	T2EA_HUMAN	GTF2E1	General transcription factor IIE subunit 1	1.91549e+06
P29084	T2EB_HUMAN	GTF2E2	Transcription initiation factor IIE subunit beta	2.32957e+06
P29144	TPP2_HUMAN	TPP2	Tripeptidyl-peptidase 2	1.56076e+07
P29218	IMPA1_HUMAN	IMPA1	Inositol monophosphatase 1	5.74112e+06
P29295	HRR25_YEAST	HRR25	Casein kinase I homolog HRR25	1.14297e+06
P29311	BMH1_YEAST	BMH1	Protein BMH1	1.03889e+08
P29317	EPHA2_HUMAN	EPHA2	Ephrin type-A receptor 2	1.35479e+06
P29350	PTN6_HUMAN	PTPN6	Tyrosine-protein phosphatase non-receptor type 6	623948
P29353	SHC1_HUMAN	SHC1	SHC-transforming protein 1	3.56558e+06
P29372	3MG_HUMAN	MPG	DNA-3-methyladenine glycosylase	3.14069e+07
P29401	TKT_HUMAN	TKT	Transketolase	4.90412e+08
P29453	RL8B_YEAST	RPL8B	60S ribosomal protein L8-B	1.09383e+08
P29468	PAP_YEAST	PAP1	Poly(A) polymerase	368666
P29478	SEC65_YEAST	SEC65	Signal recognition particle subunit SEC65	2.64732e+06
P29508	SPB3_HUMAN	SERPINB3	Serpin B3	4.21833e+06
P29509	TRXB1_YEAST	TRR1	Thioredoxin reductase 1	2.62551e+07
P29547	EF1G1_YEAST	CAM1	Elongation factor 1-gamma 1	3.33343e+07
P29558;Q6XE24	RBMS1_HUMAN;RBMS3_HUMAN	RBMS1;RBMS3	RNA-binding motif, single-stranded-interacting protein 1	881415
P29590	PML_HUMAN	PML	Protein PML	3.61712e+06
P29691	EF2_CAEEL	eef-2	Elongation factor 2	3.89403e+08
P29692	EF1D_HUMAN	EEF1D	Elongation factor 1-delta	8.69099e+07
P29703	FNTA_YEAST	RAM2	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	1.54697e+06
P29704	FDFT_YEAST	ERG9	Squalene synthase	1.20374e+07
P29952	MPI_YEAST	PMI40	Mannose-6-phosphate isomerase	1.95969e+07
P29992	GNA11_HUMAN	GNA11	Guanine nucleotide-binding protein subunit alpha-11	5.28418e+06
P30040	ERP29_HUMAN	ERP29	Endoplasmic reticulum resident protein 29	3.35116e+07
P30041	PRDX6_HUMAN	PRDX6	Peroxiredoxin-6	2.48389e+08
P30043	BLVRB_HUMAN	BLVRB	Flavin reductase (NADPH)	6.33052e+07
P30044	PRDX5_HUMAN	PRDX5	Peroxiredoxin-5, mitochondrial	5.73714e+07
P30046	DOPD_HUMAN	DDT	D-dopachrome decarboxylase	2.54612e+07
P30047	GFRP_HUMAN	GCHFR	GTP cyclohydrolase 1 feedback regulatory protein	4.46641e+06
P30048	PRDX3_HUMAN	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial	1.14474e+08
P30049	ATPD_HUMAN	ATP5F1D	ATP synthase subunit delta, mitochondrial	5.43509e+07
P30050	RL12_HUMAN	RPL12	60S ribosomal protein L12	2.3982e+08
P30084	ECHM_HUMAN	ECHS1	Enoyl-CoA hydratase, mitochondrial	1.25149e+08
P30085	KCY_HUMAN	CMPK1	UMP-CMP kinase	1.43081e+07
P30086	PEBP1_HUMAN	PEBP1	Phosphatidylethanolamine-binding protein 1	1.63583e+08
P30101	PDIA3_HUMAN	PDIA3	Protein disulfide-isomerase A3	2.50327e+08
P30153	2AAA_HUMAN	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	3.25588e+07
P30154	2AAB_HUMAN	PPP2R1B	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform	6.15065e+06
P30260	CDC27_HUMAN	CDC27	Cell division cycle protein 27 homolog	4.2845e+06
P30402	PYRX_YEAST	URA10	Orotate phosphoribosyltransferase 2	1.20161e+07
P30405	PPIF_HUMAN	PPIF	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	3.91785e+07
P30408	T4S1_HUMAN	TM4SF1	Transmembrane 4 L6 family member 1	2.97303e+07
P30419	NMT1_HUMAN	NMT1	Glycylpeptide N-tetradecanoyltransferase 1	1.29363e+07
P30519	HMOX2_HUMAN	HMOX2	Heme oxygenase 2	5.21227e+06
P30520	PURA2_HUMAN	ADSS2	Adenylosuccinate synthetase isozyme 2	9.19802e+06
P30533	AMRP_HUMAN	LRPAP1	Alpha-2-macroglobulin receptor-associated protein	1.58148e+07
P30536	TSPO_HUMAN	TSPO	Translocator protein	1.65709e+07
P30566	PUR8_HUMAN	ADSL	Adenylosuccinate lyase	9.94417e+06
P30605	ITR1_YEAST	ITR1	Myo-inositol transporter 1	6.3327e+06
P30619	SEC1_YEAST	SEC1	Protein transport protein SEC1	1.202e+06
P30622	CLIP1_HUMAN	CLIP1	CAP-Gly domain-containing linker protein 1	6.29471e+06
P30624	LCF1_YEAST	FAA1	Long-chain-fatty-acid--CoA ligase 1	1.67183e+07
P30625	KAPR_CAEEL	kin-2	cAMP-dependent protein kinase regulatory subunit	2.32175e+07
P30626	SORCN_HUMAN	SRI	Sorcin	1.53437e+08
P30627	GLBH_CAEEL	glb-1	Globin-like protein	4.52792e+06
P30628	VPP1_CAEEL	unc-32	Probable V-type proton ATPase 116 kDa subunit a	3.45416e+06
P30629	YOU2_CAEEL	ZK637.2	Uncharacterized protein ZK637.2	1.1563e+07
P30632	ASNA_CAEEL	asna-1	ATPase asna-1	3.25154e+06
P30642	EIF3D_CAEEL	eif-3.D	Eukaryotic translation initiation factor 3 subunit D	8.50771e+06
P30656	PSB5_YEAST	PRE2	Proteasome subunit beta type-5	1.71854e+07
P30657	PSB7_YEAST	PRE4	Proteasome subunit beta type-7	6.1481e+06
P30665	MCM4_YEAST	MCM4	DNA replication licensing factor MCM4	1.70252e+07
P30740	ILEU_HUMAN	SERPINB1	Leukocyte elastase inhibitor	1.84262e+07
P30771	NAM7_YEAST	NAM7	ATP-dependent helicase NAM7	1.14648e+06
P30822	XPO1_YEAST	CRM1	Exportin-1	1.61519e+06
P30825	SL7A1_HUMAN	SLC7A1	High affinity cationic amino acid transporter 1	2.70771e+06
P30837	AL1B1_HUMAN	ALDH1B1	Aldehyde dehydrogenase X, mitochondrial	2.42325e+06
P30876	RPB2_HUMAN	POLR2B	DNA-directed RNA polymerase II subunit RPB2	8.14374e+06
P30902	ATP7_YEAST	ATP7	ATP synthase subunit d, mitochondrial	3.78601e+07
P30952	MLS1_YEAST	MLS1	Malate synthase 1	2.42638e+06
P30990	NEUT_HUMAN	NTS	Neurotensin/neuromedin N	1.46267e+06
P31040	SDHA_HUMAN	SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	9.02774e+07
P31116	DHOM_YEAST	HOM6	Homoserine dehydrogenase	4.0379e+07
P31150	GDIA_HUMAN	GDI1	Rab GDP dissociation inhibitor alpha	4.6583e+06
P31153	METK2_HUMAN	MAT2A	S-adenosylmethionine synthase isoform type-2	3.49615e+08
P31161	SODM1_CAEEL	sod-2	Superoxide dismutase [Mn] 1, mitochondrial	1.66067e+07
P31260	HXA10_HUMAN	HOXA10	Homeobox protein Hox-A10	686039
P31321	KAP1_HUMAN	PRKAR1B	cAMP-dependent protein kinase type I-beta regulatory subunit	1.37388e+06
P31327	CPSM_HUMAN	CPS1	Carbamoyl-phosphate synthase [ammonia], mitochondrial	3.32348e+08
P31350	RIR2_HUMAN	RRM2	Ribonucleoside-diphosphate reductase subunit M2	1.36815e+07
P31373	CYS3_YEAST	CYS3	Cystathionine gamma-lyase	7.55623e+07
P31374	PSK1_YEAST	PSK1	Serine/threonine-protein kinase PSK1	575827
P31382	PMT2_YEAST	PMT2	Dolichyl-phosphate-mannose--protein mannosyltransferase 2	1.18716e+07
P31383	2AAA_YEAST	TPD3	Protein phosphatase PP2A regulatory subunit A	6.83696e+06
P31384	CCR4_YEAST	CCR4	Glucose-repressible alcohol dehydrogenase transcriptional effector	1.1344e+06
P31412	VATC_YEAST	VMA5	V-type proton ATPase subunit C	1.39257e+07
P31431	SDC4_HUMAN	SDC4	Syndecan-4	7.17459e+06
P31483	TIA1_HUMAN	TIA1	Nucleolysin TIA-1 isoform p40	5.08461e+06
P31539	HS104_YEAST	HSP104	Heat shock protein 104	4.47429e+07
P31688	TPS2_YEAST	TPS2	Trehalose-phosphatase	1.84565e+07
P31689	DNJA1_HUMAN	DNAJA1	DnaJ homolog subfamily A member 1	3.3643e+07
P31749	AKT1_HUMAN	AKT1	RAC-alpha serine/threonine-protein kinase	1.37009e+06
P31755	OCH1_YEAST	OCH1	Initiation-specific alpha-1,6-mannosyltransferase	1.1514e+06
P31787	ACBP_YEAST	ACB1	Acyl-CoA-binding protein	9.8233e+07
P31930	QCR1_HUMAN	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	6.04207e+07
P31937	3HIDH_HUMAN	HIBADH	3-hydroxyisobutyrate dehydrogenase, mitochondrial	9.47057e+06
P31939	PUR9_HUMAN	ATIC	Bifunctional purine biosynthesis protein ATIC	3.14614e+07
P31942	HNRH3_HUMAN	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	4.96623e+07
P31943	HNRH1_HUMAN	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	2.17263e+08
P31944	CASPE_HUMAN	CASP14	Caspase-14	708900
P31946	1433B_HUMAN	YWHAB	14-3-3 protein beta/alpha	1.26889e+08
P31947	1433S_HUMAN	SFN	14-3-3 protein sigma	8.68197e+07
P31948	STIP1_HUMAN	STIP1	Stress-induced-phosphoprotein 1	1.1144e+08
P31949	S10AB_HUMAN	S100A11	Protein S100-A11	5.96304e+08
P32004	L1CAM_HUMAN	L1CAM	Neural cell adhesion molecule L1	1.17809e+07
P32074	COPG_YEAST	SEC21	Coatomer subunit gamma	6.49396e+06
P32119	PRDX2_HUMAN	PRDX2	Peroxiredoxin-2	1.86068e+08
P32178	CHMU_YEAST	ARO7	Chorismate mutase	4.77926e+06
P32179	MET22_YEAST	MET22	3'(2'),5'-bisphosphate nucleotidase	8.38188e+06
P32189;Q14409	GLPK3_HUMAN;GLPK_HUMAN	GK;GK3P	Glycerol kinase	813834
P32190	GLPK_YEAST	GUT1	Glycerol kinase	7.44587e+06
P32191	GPDM_YEAST	GUT2	Glycerol-3-phosphate dehydrogenase, mitochondrial	1.38144e+07
P32263	P5CR_YEAST	PRO3	Pyrroline-5-carboxylate reductase	1.5713e+07
P32264	PROB_YEAST	PRO1	Glutamate 5-kinase	422762
P32288	GLNA_YEAST	GLN1	Glutamine synthetase	1.93633e+07
P32316	ACH1_YEAST	ACH1	Acetyl-CoA hydrolase	1.3896e+08
P32319	VPS10_YEAST	PEP1	Vacuolar protein sorting/targeting protein VPS10	551271
P32320	CDD_HUMAN	CDA	Cytidine deaminase	1.43743e+07
P32321	DCTD_HUMAN	DCTD	Deoxycytidylate deaminase	1.09987e+06
P32322	P5CR1_HUMAN	PYCR1	Pyrroline-5-carboxylate reductase 1, mitochondrial	1.54901e+07
P32324	EF2_YEAST	EFT1	Elongation factor 2	2.80585e+08
P32327	PYC2_YEAST	PYC2	Pyruvate carboxylase 2	1.44074e+07
P32329	YPS1_YEAST	YPS1	Aspartic proteinase 3	4.52341e+06
P32331	YMC1_YEAST	YMC1	Mitochondrial glycine transporter YMC1	947929
P32332	OAC1_YEAST	OAC1	Mitochondrial oxaloacetate transport protein	5.53367e+06
P32335	MSS51_YEAST	MSS51	Protein MSS51, mitochondrial	2.42172e+06
P32337	IMB3_YEAST	PSE1	Importin subunit beta-3	1.69436e+06
P32340	NDI1_YEAST	NDI1	Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial	9.46705e+06
P32342	SRP21_YEAST	SRP21	Signal recognition particle subunit SRP21	412621
